BX = 000 Event : 1
0x00 1|000|10111010000101|000000101100110000|0000001010|00001000101000|001001000000000000000000|1|0000001|0000001111|0011001|111111110000|111111111|1|0000001|0000011000|0011001|111111001011|000000000|0|0000000|0000000000|0000000|000000000000|000000000|0|0000000|0000000000|0000000|000000000000|000000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000 0x8ba140b300282282400008103ccff87fe041833f9600000000000000000000000000000000000000000000000000000000000000000000000000
0x01 1|000|11010010000110|000010110110000000|1111000000|00001110010110|001000000000001001001000|1|0000011|0010011001|1111110|000000011000|000001000|0|0000000|0000000000|0000000|000000000000|000000000|0|0000000|0000000000|0000000|000000000000|000000000|0|0000000|0000000000|0000000|000000000000|000000000|1|0000011|0010000000|000000000001|111111111111|1011000|1|0000011|0010000000|000000000101|111111111010|0010001|1|0000011|0010001010|000000001001|111111110101|0010010|0|0000000|0000000000|000000000000|000000000000|0000000 0x8d2182d80f0039620024883267f00c020000000000000000000000000000000000083200007ffec4190000bff4460c8a009ff524000000000000
0x02 1|000|01001101011100|000101011111110001|1101001101|11110111101000|001001001000000000000000|1|0000100|0000100101|0001100|111111101000|111111110|1|0000100|0000100110|1100100|000000001101|000000001|1|0000100|0000011000|1100100|000000110110|000000000|0|0000000|0000000000|0000000|000000000000|000000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000 0x84d7057f1d37de82480008409467f47fa1026c801a0184063201b000000000000000000000000000000000000000000000000000000000000000
0x03 1|000|11000010101001|000100010000011001|0001001011|00000001010011|001001001001000000000000|1|0000111|0010001011|0000010|111111110000|000000011|1|0000111|0010001001|1100010|111111101010|000000011|1|0000111|0010000110|0011010|111111010101|000000000|1|0000111|0010000111|0011101|111110101100|000000001|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000 0x8c2a4441912c0532490008722c17f800e1c89c5fd40387218d7ea8021c873bf58010000000000000000000000000000000000000000000000000
0x04 1|000|10100101010100|000100000101010111|1111100010|11101111110011|001000000000001001001000|1|0001001|0010011110|0001010|111100111000|000001011|0|0000000|0000000000|0000000|000000000000|000000000|0|0000000|0000000000|0000000|000000000000|000000000|0|0000000|0000000000|0000000|000000000000|000000000|1|0001001|0010101011|100010010111|111111110110|0000111|1|0001001|0010010111|000000000010|111111110110|0000010|1|0001001|0100010110|000000000110|111111110100|0101100|0|0000000|0000000000|000000000000|000000000000|0000000 0x8a5504157f8bbf320024889278579c02c0000000000000000000000000000000000892ae25ffd83c492e005fec0a2516006ff458000000000000
0x05 1|000|01010001111011|000110110010000000|1111010110|00000011111110|001001001000000000000000|1|0001010|0010001100|0000010|111101111000|111111111|1|0001010|0000001110|0011000|111010111010|000000001|1|0001010|0000000100|0011101|111000000111|000000001|0|0000000|0000000000|0000000|000000000000|000000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000 0x851ec6c80f580fe2480008a23017bc7fe280e31d74018a010ef03804000000000000000000000000000000000000000000000000000000000000
0x06 1|000|00110110010101|000111010101100010|0001010010|00000100110100|001001001000000000000000|1|0001011|0010001111|0011000|000000110000|111111110|1|0001011|0010001010|1100111|000001011001|000000011|1|0001011|0010000010|1100011|000010101011|000000010|0|0000000|0000000000|0000000|000000000000|000000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000 0x8365475621481342480008b23cc0187fa2c8ace0b2038b20b1855808000000000000000000000000000000000000000000000000000000000000
0x07 1|000|10101001001111|000101100000101000|0001001110|00001000111000|001001001000000000000000|1|0001100|0010010011|1101101|000001100000|111111010|1|0001100|0100000100|0011110|000010000100|111111111|1|0001100|0100000101|0011101|000010111100|111111111|0|0000000|0000000000|0000000|000000000000|000000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000 0x8a93c58281382382480008c24f68307ea31043c109ff8c414e85e7fc000000000000000000000000000000000000000000000000000000000000
0x08 1|000|01000010010000|001100010100010011|1111101010|11110000011010|001000000000001001001000|1|0001101|0100010001|0100001|111101010000|111110111|0|0000000|0000000000|0000000|000000000000|000000000|0|0000000|0000000000|0000000|000000000000|000000000|0|0000000|0000000000|0000000|000000000000|000000000|1|0001101|0100010001|000000000000|111111110001|0010011|1|0001101|0100010110|000000000010|111111011111|1010001|1|0001101|0100010111|000000000110|111111100100|1010110|0|0000000|0000000000|000000000000|000000000000|0000000 0x84240c513fabc1a2002488d4450fa87dc00000000000000000000000000000000008d444003fc49c6a2c005fbf463517006fe4ac000000000000
0x09 1|000|01000111110001|001110001000011110|1110010011|00000000111111|001001001001000000000000|1|0001111|0110000001|0001110|000000000000|000000000|1|0001111|0100010000|0011101|111111010000|000000001|1|0001111|0100001001|1100111|111110110111|111111111|1|0001111|0100000001|0011101|111100110011|000000001|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000|0|0000000|0000000000|000000000000|000000000000|0000000 0x847c4e21ee4c03f2490008f60470000023d103bfa0018f4273fdbffe3d013be66010000000000000000000000000000000000000000000000000
