BX = 000 Event : 1
BX = 001 Event : 2
0x09 0010110|0100110 0x0B26
0x0a 0010111|0011100 0x0B9C
0x0b 0010111|0011101 0x0B9D
0x0c 0010111|0011111 0x0B9F
0x0d 0011000|0011010 0x0C1A
0x0e 0011000|0011100 0x0C1C
0x0f 0011000|0011101 0x0C1D
0x10 0011000|0011111 0x0C1F
0x11 0011001|0010110 0x0C96
BX = 010 Event : 19
BX = 011 Event : 20
BX = 100 Event : 21
BX = 101 Event : 22
0x00 0001010|0011010 0x051A
0x01 0001101|0000110 0x0686
0x02 0010010|0011010 0x091A
0x03 0010011|0011010 0x099A
0x04 0010100|0011010 0x0A1A
0x05 0010101|0011010 0x0A9A
0x06 0011100|0011010 0x0E1A
BX = 110 Event : 23
BX = 111 Event : 24
0x00 0000100|0010001 0x0211
0x01 0000100|0010010 0x0212
0x02 0001000|0010001 0x0411
0x03 0001000|0010010 0x0412
0x04 0001001|0010001 0x0491
0x05 0001001|0010010 0x0492
0x06 0001001|0000010 0x0482
BX = 000 Event : 25
0x00 0000001|0010010 0x0092
0x01 0000011|0010010 0x0192
0x02 0000100|0010010 0x0212
0x03 0000101|0110001 0x02B1
0x04 0000110|0110001 0x0331
0x05 0001000|0010010 0x0412
BX = 001 Event : 26
0x00 0001000|0011000 0x0418
0x01 0001101|0000110 0x0686
BX = 010 Event : 27
0x00 0001111|0100110 0x07A6
0x01 0001111|0100111 0x07A7
0x02 0001111|0101101 0x07AD
0x03 0010000|0101101 0x082D
0x04 0010110|0011100 0x0B1C
0x05 0010111|0011100 0x0B9C
BX = 011 Event : 28
0x00 0000011|0110000 0x01B0
0x01 0000101|0100001 0x02A1
0x02 0001011|0100001 0x05A1
0x03 0001110|0100001 0x0721
0x04 0001111|0000110 0x0786
0x05 0010000|0000110 0x0806
BX = 100 Event : 29
0x00 0001110|0110111 0x0737
0x01 0001111|0110111 0x07B7
0x02 0010010|0110111 0x0937
0x03 0011011|0110111 0x0DB7
0x04 0011100|0110111 0x0E37
0x05 0011101|0100010 0x0EA2
BX = 101 Event : 30
0x00 0001000|0000011 0x0403
0x01 0001100|0111011 0x063B
BX = 110 Event : 31
BX = 111 Event : 32
0x00 0000011|0000111 0x0187
0x01 0001010|0000111 0x0507
BX = 000 Event : 33
0x00 0000101|0000001 0x0281
0x01 0000101|0000010 0x0282
0x02 0000101|0000011 0x0283
0x03 0000110|0000001 0x0301
0x04 0001010|0000001 0x0501
0x05 0001010|0000010 0x0502
0x06 0001010|0000011 0x0503
0x07 0001011|0000001 0x0581
0x08 0001011|0000010 0x0582
0x09 0001011|0000011 0x0583
0x0a 0001100|0000001 0x0601
0x0b 0001110|0000001 0x0701
