BX = 000 Event : 1
BX = 001 Event : 2
0x00 0000011|0001110 0x018E
0x01 0000100|0001110 0x020E
0x02 0010011|0001110 0x098E
BX = 010 Event : 59
BX = 011 Event : 60
BX = 100 Event : 61
0x00 0000110|0110001 0x0331
0x01 0000110|0110101 0x0335
0x02 0010010|0110100 0x0934
0x03 0110001|0110100 0x18B4
BX = 101 Event : 62
BX = 110 Event : 63
0x00 0010110|0100101 0x0B25
0x01 0100011|0100101 0x11A5
BX = 111 Event : 64
0x00 0000101|0010111 0x0297
0x01 0001001|0011011 0x049B
0x02 0001011|0010111 0x0597
0x03 0001011|0011000 0x0598
BX = 000 Event : 65
0x00 0001010|0001000 0x0508
BX = 001 Event : 66
0x00 0000000|0000000 0x0000
0x01 0100000|0000000 0x1000
BX = 010 Event : 67
0x00 0000010|0001001 0x0109
0x01 0000011|0001001 0x0189
0x02 0000100|0001001 0x0209
0x03 0001110|0000010 0x0702
0x04 0010001|0000001 0x0881
0x05 0101011|0001001 0x1589
0x06 0101101|0000001 0x1681
BX = 011 Event : 68
0x00 0000010|0001111 0x010F
0x01 0000010|0100001 0x0121
BX = 100 Event : 69
0x00 0100110|0000001 0x1301
BX = 101 Event : 70
BX = 110 Event : 71
0x00 0000010|0101111 0x012F
BX = 111 Event : 72
0x00 0010011|0101110 0x09AE
0x01 0011101|0110000 0x0EB0
0x02 0011110|0110000 0x0F30
0x03 0011111|0110000 0x0FB0
0x04 0011111|0110001 0x0FB1
0x05 0100000|0110000 0x1030
0x06 0100000|0110001 0x1031
0x07 0100001|0110000 0x10B0
0x08 0100010|0110000 0x1130
0x09 0100011|0110000 0x11B0
0x0a 0100011|0110001 0x11B1
0x0b 0100100|0110000 0x1230
0x0c 0100100|0110001 0x1231
0x0d 0100101|0110000 0x12B0
0x0e 0100101|0110001 0x12B1
0x0f 0101011|0101110 0x15AE
BX = 000 Event : 73
BX = 001 Event : 74
BX = 010 Event : 75
0x00 0000001|0000000 0x0080
0x01 0001011|0011000 0x0598
0x02 0100000|0000000 0x1000
0x03 0100011|0000000 0x1180
0x04 0100100|0000000 0x1200
BX = 011 Event : 76
0x00 0000011|0100111 0x01A7
0x01 0000011|0101000 0x01A8
0x02 0000011|0101010 0x01AA
0x03 0001110|0000000 0x0700
BX = 100 Event : 77
0x00 0000001|0100011 0x00A3
0x01 0000010|0000000 0x0100
0x02 0000010|0000001 0x0101
0x03 0000010|0001101 0x010D
0x04 0000010|0001110 0x010E
0x05 0000100|0100011 0x0223
0x06 0000111|0011110 0x039E
0x07 0000111|0011111 0x039F
BX = 101 Event : 78
BX = 110 Event : 79
