BX = 000 Event : 1
BX = 001 Event : 2
BX = 010 Event : 3
BX = 011 Event : 4
0x03 1001010|0111011 0x253B
BX = 011 Event : 68
0x00 0000100|0100010 0x0222
0x01 0001110|0100001 0x0721
0x02 0010000|0100001 0x0821
0x03 0010101|0100010 0x0AA2
BX = 100 Event : 69
0x00 0101011|0000011 0x1583
0x01 0101011|0000100 0x1584
0x02 0101011|0000101 0x1585
0x03 0110000|0000011 0x1803
0x04 0110000|0000100 0x1804
BX = 101 Event : 70
0x00 0100001|0001011 0x108B
0x01 0100001|0001100 0x108C
0x02 0100010|0000010 0x1102
BX = 110 Event : 71
0x00 0001000|0010110 0x0416
0x01 0010000|0000011 0x0803
0x02 0010011|0010110 0x0996
BX = 111 Event : 72
BX = 000 Event : 73
BX = 001 Event : 74
0x00 0000101|0011101 0x029D
0x01 0010001|0011101 0x089D
0x02 0010010|0011101 0x091D
0x03 0010011|0011101 0x099D
BX = 010 Event : 75
0x00 0000100|0000000 0x0200
BX = 011 Event : 76
0x00 0000000|0100010 0x0022
0x01 0000001|0100010 0x00A2
0x02 0000010|0100010 0x0122
0x03 0000011|0100010 0x01A2
0x04 0000100|0100010 0x0222
0x05 0000101|0100010 0x02A2
0x06 0001100|0011011 0x061B
0x07 0010101|0011100 0x0A9C
0x08 0010101|0100010 0x0AA2
0x09 0010110|0011100 0x0B1C
0x0a 0010110|0100010 0x0B22
BX = 100 Event : 77
BX = 101 Event : 78
0x00 0000000|0010001 0x0011
0x01 0010011|0010001 0x0991
BX = 110 Event : 79
BX = 111 Event : 80
BX = 000 Event : 81
BX = 001 Event : 82
BX = 010 Event : 83
BX = 011 Event : 84
0x00 0000100|0100111 0x0227
0x01 0000110|0000110 0x0306
0x02 0000110|0001000 0x0308
0x03 0011011|0101000 0x0DA8
0x04 0011110|0000100 0x0F04
0x05 0011111|0000100 0x0F84
0x06 0101100|0000100 0x1604
0x07 0101101|0000100 0x1684
0x08 0110100|0000111 0x1A07
0x09 0110110|0000111 0x1B07
