BX = 000 Event : 1
0x09 0001111|0100101 0x07A5
BX = 101 Event : 22
0x00 0010000|0111001 0x0839
0x01 0010000|0111010 0x083A
0x02 0010000|0111011 0x083B
0x03 0111000|0101111 0x1C2F
BX = 110 Event : 23
0x00 0010001|0010011 0x0893
0x01 0010101|0011101 0x0A9D
BX = 111 Event : 24
0x00 0010000|0101001 0x0829
0x01 0100110|0101001 0x1329
BX = 000 Event : 25
0x00 0000101|0011010 0x029A
0x01 0001110|0011010 0x071A
0x02 0001111|0011010 0x079A
BX = 001 Event : 26
0x00 0000000|0101000 0x0028
0x01 0000000|0101001 0x0029
0x02 0010101|0101000 0x0AA8
0x03 0010101|0101001 0x0AA9
BX = 010 Event : 27
0x00 0010000|0000010 0x0802
0x01 0011111|0111011 0x0FBB
BX = 011 Event : 28
0x00 0000100|0110100 0x0234
0x01 0000101|0110100 0x02B4
BX = 100 Event : 29
0x00 0011010|0100011 0x0D23
0x01 0101011|0100011 0x15A3
0x02 0101110|0101101 0x172D
0x03 0101110|0101110 0x172E
BX = 101 Event : 30
0x00 0000110|0110011 0x0333
0x01 0000110|0110101 0x0335
0x02 0101101|0110011 0x16B3
0x03 0101101|0110101 0x16B5
0x04 0101110|0110011 0x1733
0x05 0101110|0110101 0x1735
BX = 110 Event : 31
0x00 0001011|0001011 0x058B
BX = 111 Event : 32
0x00 0000000|0000001 0x0001
0x01 0000000|0000010 0x0002
0x02 0001011|1001101 0x05CD
0x03 0001011|1001110 0x05CE
0x04 0001100|1001101 0x064D
0x05 0001100|1001110 0x064E
0x06 0001101|1001101 0x06CD
0x07 0001101|1001110 0x06CE
0x08 0001110|1001101 0x074D
0x09 0001110|1001110 0x074E
0x0a 0001111|1001101 0x07CD
0x0b 0001111|1001110 0x07CE
0x0c 0010000|1001101 0x084D
0x0d 0010000|1001110 0x084E
0x0e 0010011|1010101 0x09D5
0x0f 0010101|1010101 0x0AD5
BX = 000 Event : 33
0x00 0001101|0101011 0x06AB
0x01 0001110|0101011 0x072B
BX = 001 Event : 34
0x00 0010100|0011010 0x0A1A
0x01 0011000|0111100 0x0C3C
0x02 0011001|0111100 0x0CBC
0x03 0011101|0111100 0x0EBC
0x04 0011110|0111100 0x0F3C
BX = 010 Event : 35
0x00 0101000|0001010 0x140A
BX = 011 Event : 36
BX = 100 Event : 37
0x00 0000001|0000101 0x0085
0x01 0100101|1010101 0x12D5
0x02 0100110|1010101 0x1355
0x03 0101001|0000101 0x1485
BX = 101 Event : 38
0x00 0010110|0010001 0x0B11
0x01 0010110|0010100 0x0B14
0x02 0010111|0010001 0x0B91
0x03 0010111|0010100 0x0B94
0x04 0011000|0010001 0x0C11
0x05 0011000|0010100 0x0C14
0x06 0011001|0010001 0x0C91
0x07 0011001|0010100 0x0C94
BX = 110 Event : 39
0x00 0000000|0000101 0x0005
0x01 0000001|0000101 0x0085
0x02 0010001|0000101 0x0885
0x03 0011001|0000101 0x0C85
BX = 111 Event : 40
0x00 0001110|0000110 0x0706
0x01 0001110|0001001 0x0709
BX = 000 Event : 41
0x00 0000101|0011100 0x029C
0x01 0000101|0011101 0x029D
0x02 0001010|0011100 0x051C
0x03 0001010|0011101 0x051D
BX = 001 Event : 42
0x00 0000010|0010100 0x0114
0x01 0000010|0010101 0x0115
BX = 010 Event : 43
0x00 0001000|1000111 0x0447
BX = 011 Event : 44
BX = 100 Event : 45
0x00 0000101|0010111 0x0297
BX = 101 Event : 46
0x00 0001101|0000001 0x0681
0x01 0001101|0000010 0x0682
0x02 0001101|0100000 0x06A0
0x03 0001110|0000001 0x0701
0x04 0001110|0000010 0x0702
0x05 0001110|0100000 0x0720
0x06 0011100|0000001 0x0E01
0x07 0011100|0000010 0x0E02
0x08 0011100|0100000 0x0E20
0x09 0011101|0000001 0x0E81
0x0a 0011101|0000010 0x0E82
0x0b 0011101|0100000 0x0EA0
BX = 110 Event : 47
BX = 111 Event : 48
0x00 0001111|0000000 0x0780
BX = 000 Event : 49
0x00 0001011|0000011 0x0583
0x01 0001100|0000011 0x0603
0x02 0010010|0000011 0x0903
0x03 0010100|0000011 0x0A03
BX = 001 Event : 50
BX = 010 Event : 51
BX = 011 Event : 52
0x00 0000011|0111000 0x01B8
0x01 0000011|0111001 0x01B9
0x02 0000011|0111010 0x01BA
0x03 0000110|0111000 0x0338
