BX = 000 Event : 1
0x04 0001001|0001011 0x048B
0x05 0001001|0001100 0x048C
0x06 0001001|0010011 0x0493
0x07 0001010|0011001 0x0519
BX = 101 Event : 14
0x00 0000000|0001010 0x000A
0x01 0000000|0001011 0x000B
0x02 0000000|0001101 0x000D
0x03 0000000|0001110 0x000E
0x04 0010001|0101111 0x08AF
BX = 110 Event : 15
0x00 0000011|0101010 0x01AA
0x01 0000011|0101011 0x01AB
0x02 0000011|0101100 0x01AC
0x03 0000011|0101101 0x01AD
0x04 0010010|0000010 0x0902
0x05 0010010|0000110 0x0906
0x06 0010010|0000111 0x0907
0x07 0010010|0010000 0x0910
0x08 0010010|0010001 0x0911
0x09 0010011|0110011 0x09B3
0x0a 0010011|0000000 0x0980
0x0b 0010011|0110101 0x09B5
0x0c 0010011|0111010 0x09BA
0x0d 0010011|0111011 0x09BB
0x0e 0010100|0110011 0x0A33
0x0f 0010100|0000000 0x0A00
0x10 0010100|0110101 0x0A35
0x11 0010100|0111010 0x0A3A
0x12 0010100|0111011 0x0A3B
BX = 111 Event : 16
0x00 0000101|0000101 0x0285
0x01 0001011|0010011 0x0593
0x02 0001011|0010100 0x0594
0x03 0001100|0001101 0x060D
0x04 0001101|0001101 0x068D
0x05 0001111|0001101 0x078D
0x06 0010010|0010110 0x0916
0x07 0010010|0010111 0x0917
BX = 000 Event : 17
0x00 0000100|0010010 0x0212
0x01 0000100|0010011 0x0213
0x02 0000101|0010010 0x0292
0x03 0000101|0010011 0x0293
0x04 0001000|0101111 0x042F
0x05 0001001|0000110 0x0486
0x06 0001001|0000111 0x0487
0x07 0001001|0110011 0x04B3
0x08 0001100|0011001 0x0619
0x09 0001110|0011001 0x0719
0x0a 0001111|0011001 0x0799
BX = 001 Event : 18
0x00 0000001|0000011 0x0083
0x01 0000001|0000100 0x0084
0x02 0000010|0000011 0x0103
0x03 0000010|0000100 0x0104
BX = 010 Event : 19
0x00 0001000|0000111 0x0407
0x01 0001000|0001100 0x040C
0x02 0001000|0001111 0x040F
0x03 0001000|0010000 0x0410
0x04 0001001|0000100 0x0484
0x05 0001001|0000111 0x0487
0x06 0001001|0001100 0x048C
0x07 0001001|0001111 0x048F
0x08 0001001|0010000 0x0490
0x09 0001010|0000100 0x0504
0x0a 0001010|0000111 0x0507
0x0b 0001010|0001100 0x050C
0x0c 0001010|0001111 0x050F
0x0d 0001010|0010000 0x0510
0x0e 0001100|0000101 0x0605
0x0f 0001100|0000111 0x0607
0x10 0001100|0001100 0x060C
0x11 0001100|0001111 0x060F
0x12 0001100|0010000 0x0610
0x13 0001101|0000101 0x0685
0x14 0001101|0000111 0x0687
0x15 0001101|0001100 0x068C
0x16 0001101|0001111 0x068F
0x17 0001101|0010000 0x0690
BX = 011 Event : 20
0x00 0001001|0000101 0x0485
0x01 0001001|0000111 0x0487
0x02 0001001|0001101 0x048D
0x03 0001001|0010000 0x0490
0x04 0001001|0010001 0x0491
0x05 0001001|0010011 0x0493
0x06 0001010|0000101 0x0505
0x07 0001010|0000111 0x0507
0x08 0001010|0001101 0x050D
0x09 0001010|0010000 0x0510
0x0a 0001010|0010001 0x0511
0x0b 0001010|0010011 0x0513
0x0c 0001111|0000101 0x0785
0x0d 0001111|0000111 0x0787
0x0e 0001111|0001101 0x078D
0x0f 0001111|0010000 0x0790
0x10 0001111|0010001 0x0791
0x11 0001111|0010011 0x0793
