BX = 000 Event : 1
BX = 001 Event : 2
BX = 010 Event : 3
0x00 0001111|0010101 0x0795
BX = 010 Event : 67
0x00 0010001|0011010 0x089A
0x01 0010001|0011100 0x089C
0x02 0011100|0011010 0x0E1A
0x03 0011111|0011010 0x0F9A
0x04 0101011|0111011 0x15BB
0x05 1000011|0011010 0x219A
BX = 011 Event : 68
BX = 100 Event : 69
BX = 101 Event : 70
0x00 0011000|0001101 0x0C0D
0x01 0101000|0001101 0x140D
BX = 110 Event : 71
0x00 0000010|0010111 0x0117
0x01 0000010|0011010 0x011A
BX = 111 Event : 72
BX = 000 Event : 73
0x00 0010111|0000011 0x0B83
0x01 0101110|0000011 0x1703
0x02 0101111|0000011 0x1783
BX = 001 Event : 74
BX = 010 Event : 75
BX = 011 Event : 76
BX = 100 Event : 77
BX = 101 Event : 78
BX = 110 Event : 79
0x00 0001100|0000001 0x0601
BX = 111 Event : 80
0x00 0000000|0010011 0x0013
BX = 000 Event : 81
0x00 0001110|0000101 0x0705
0x01 0010111|0000101 0x0B85
BX = 001 Event : 82
0x00 0010100|0000101 0x0A05
0x01 0010101|0000101 0x0A85
BX = 010 Event : 83
BX = 011 Event : 84
0x00 0001011|0000110 0x0586
0x01 0001011|0001010 0x058A
0x02 0001110|0001100 0x070C
0x03 0010011|0001010 0x098A
BX = 100 Event : 85
0x00 0100110|0000010 0x1302
0x01 0100111|0000010 0x1382
0x02 0101100|0010101 0x1615
0x03 0101100|0010111 0x1617
0x04 0101100|0011001 0x1619
0x05 0101100|0011010 0x161A
0x06 0110000|0011111 0x181F
BX = 101 Event : 86
0x00 0010010|0000011 0x0903
0x01 0100010|0000011 0x1103
0x02 0101000|0000011 0x1403
0x03 1000010|0000100 0x2104
0x04 1010101|0000011 0x2A83
0x05 1010111|0000011 0x2B83
BX = 110 Event : 87
BX = 111 Event : 88
BX = 000 Event : 89
0x00 0110010|0011011 0x191B
0x01 0110011|0011011 0x199B
0x02 0111100|0000011 0x1E03
BX = 001 Event : 90
BX = 010 Event : 91
0x00 0001101|0000001 0x0681
0x01 0001110|0000110 0x0706
0x02 0001111|0000110 0x0786
0x03 0010010|0010001 0x0911
0x04 0011001|0000100 0x0C84
0x05 0011001|0000101 0x0C85
0x06 0011010|0000100 0x0D04
0x07 0011010|0000101 0x0D05
0x08 0011111|0010001 0x0F91
0x09 0100010|0000001 0x1101
0x0a 0100100|0000110 0x1206
0x0b 0100110|0000001 0x1301
0x0c 0100111|0000001 0x1381
0x0d 0101000|0000001 0x1401
0x0e 0101001|0000001 0x1481
BX = 011 Event : 92
BX = 100 Event : 93
0x00 0001100|0001000 0x0608
0x01 0001100|0001001 0x0609
BX = 101 Event : 94
BX = 110 Event : 95
0x00 0000100|0010111 0x0217
0x01 0000101|0010111 0x0297
BX = 111 Event : 96
0x00 0010111|0000011 0x0B83
0x01 0011001|0000011 0x0C83
BX = 000 Event : 97
BX = 001 Event : 98
BX = 010 Event : 99
0x00 0011110|0011100 0x0F1C
BX = 011 Event : 100
0x00 0001100|0000000 0x0600
0x01 0010110|0001000 0x0B08
0x02 0100010|0000000 0x1100
0x03 0100011|0000000 0x1180
0x04 0100100|0001000 0x1208
