BX = 000 Event : 1
0x0b 0000101|0110000 0x02B0
0x0c 0001101|0000010 0x0682
0x0d 0001101|0011101 0x069D
0x0e 0001101|0000100 0x0684
0x0f 0001101|0000101 0x0685
0x10 0001101|0000110 0x0686
BX = 011 Event : 12
0x00 0000010|0101010 0x012A
0x01 0000010|0101011 0x012B
0x02 0000010|0101100 0x012C
0x03 0001011|0001010 0x058A
0x04 0001011|0001011 0x058B
0x05 0010000|0001010 0x080A
0x06 0010000|0001011 0x080B
BX = 100 Event : 13
0x00 0000000|0000110 0x0006
0x01 0000000|0001000 0x0008
0x02 0000000|0001010 0x000A
0x03 0000001|0000101 0x0085
0x04 0000001|0000110 0x0086
0x05 0000001|0001000 0x0088
0x06 0000001|0001010 0x008A
0x07 0000010|0011001 0x0119
0x08 0000011|0011001 0x0199
0x09 0000110|0010001 0x0311
0x0a 0000110|0010100 0x0314
0x0b 0000110|0010101 0x0315
BX = 101 Event : 14
0x00 0000010|0110011 0x0133
0x01 0000010|0110100 0x0134
0x02 0000010|0110101 0x0135
0x03 0000011|0110011 0x01B3
0x04 0000011|0110100 0x01B4
0x05 0000011|0110101 0x01B5
0x06 0000111|0011010 0x039A
0x07 0000111|0011011 0x039B
0x08 0000111|0011100 0x039C
0x09 0001010|0011010 0x051A
0x0a 0001010|0011011 0x051B
0x0b 0001010|0011100 0x051C
0x0c 0001011|0011010 0x059A
0x0d 0001011|0011011 0x059B
0x0e 0001011|0011100 0x059C
BX = 110 Event : 15
0x00 0000000|0001110 0x000E
0x01 0000001|0001110 0x008E
0x02 0000010|0101100 0x012C
0x03 0000011|0101100 0x01AC
0x04 0000111|0100110 0x03A6
0x05 0000111|0101100 0x03AC
0x06 0001000|0101100 0x042C
BX = 111 Event : 16
BX = 000 Event : 17
0x00 0000000|0000111 0x0007
0x01 0000010|0001101 0x010D
0x02 0000010|0000001 0x0101
BX = 001 Event : 18
0x00 0001001|0001100 0x048C
0x01 0001001|0001101 0x048D
BX = 010 Event : 19
0x00 0000011|0010001 0x0191
BX = 011 Event : 20
0x00 0000011|0011101 0x019D
0x01 0000011|0000100 0x0184
0x02 0000011|0000101 0x0185
0x03 0000011|0100001 0x01A1
BX = 100 Event : 21
0x00 0000011|0000010 0x0182
0x01 0000011|0000100 0x0184
0x02 0000011|0000101 0x0185
0x03 0000011|0000110 0x0186
0x04 0000011|0000111 0x0187
0x05 0000011|0001000 0x0188
0x06 0000111|0010000 0x0390
0x07 0000111|0010001 0x0391
0x08 0000111|0101011 0x03AB
0x09 0000111|0101101 0x03AD
0x0a 0000111|0101111 0x03AF
0x0b 0000111|0011001 0x0399
0x0c 0000111|0011010 0x039A
0x0d 0001000|0010000 0x0410
0x0e 0001000|0010001 0x0411
0x0f 0001000|0101011 0x042B
0x10 0001000|0101101 0x042D
0x11 0001000|0101111 0x042F
0x12 0001000|0011001 0x0419
0x13 0001000|0011010 0x041A
0x14 0001001|0010000 0x0490
0x15 0001001|0010001 0x0491
0x16 0001001|0101011 0x04AB
0x17 0001001|0101101 0x04AD
0x18 0001001|0101111 0x04AF
0x19 0001110|0000010 0x0702
0x1a 0001110|0011001 0x0719
0x1b 0001110|0011010 0x071A
0x1c 0010001|0010000 0x0890
0x1d 0010001|0010100 0x0894
0x1e 0010001|0101111 0x08AF
0x1f 0010001|0011001 0x0899
0x20 0010001|0011010 0x089A
0x21 0010100|0010000 0x0A10
0x22 0010100|0010100 0x0A14
0x23 0010100|0101111 0x0A2F
0x24 0010100|0011001 0x0A19
0x25 0010100|0011010 0x0A1A
0x26 0010110|0010000 0x0B10
0x27 0010110|0010100 0x0B14
0x28 0010110|0101111 0x0B2F
0x29 0010110|0011001 0x0B19
0x2a 0010110|0011010 0x0B1A
0x2b 0101001|0100110 0x14A6
0x2c 0101001|0010000 0x1490
0x2d 0101001|0010100 0x1494
0x2e 0101001|0101111 0x14AF
0x2f 0101010|0010000 0x1510
0x30 0101010|0010100 0x1514
0x31 0101010|0101111 0x152F
0x32 0101010|0011001 0x1519
0x33 0101010|0011010 0x151A
0x34 0101100|0100010 0x1622
0x35 0101100|0100011 0x1623
0x36 0101100|0100100 0x1624
BX = 101 Event : 22
BX = 110 Event : 23
0x00 0000010|0011100 0x011C
0x01 0000010|0011101 0x011D
0x02 0000010|0000001 0x0101
0x03 0000010|0000010 0x0102
0x04 0000010|0000100 0x0104
0x05 0000010|0011111 0x011F
0x06 0000010|0100000 0x0120
0x07 0000010|0100101 0x0125
0x08 0000111|0011100 0x039C
0x09 0000111|0011101 0x039D
0x0a 0000111|0000001 0x0381
0x0b 0000111|0011111 0x039F
0x0c 0000111|0100000 0x03A0
0x0d 0000111|0100101 0x03A5
BX = 111 Event : 24
0x00 0000000|0100001 0x0021
0x01 0000000|0101001 0x0029
0x02 0000001|0100001 0x00A1
0x03 0000001|0101001 0x00A9
0x04 0000101|0100001 0x02A1
0x05 0000101|0101001 0x02A9
0x06 0000101|0101100 0x02AC
0x07 0000101|0101101 0x02AD
0x08 0000101|0101110 0x02AE
0x09 0000110|0100001 0x0321
0x0a 0000110|0101001 0x0329
0x0b 0000110|0101100 0x032C
0x0c 0000110|0101101 0x032D
0x0d 0000110|0101110 0x032E
0x0e 0001100|0010110 0x0616
BX = 000 Event : 25
0x00 0000000|0011100 0x001C
0x01 0000000|0011101 0x001D
0x02 0000000|0011110 0x001E
0x03 0000001|0011100 0x009C
0x04 0000001|0011101 0x009D
0x05 0000001|0011110 0x009E
0x06 0001000|0001001 0x0409
0x07 0001010|0001001 0x0509
0x08 0001011|0011100 0x059C
0x09 0001011|0011101 0x059D
0x0a 0001011|0011110 0x059E
BX = 001 Event : 26
0x00 0000010|0001000 0x0108
0x01 0000011|0001000 0x0188
0x02 0001001|0011000 0x0498
0x03 0001001|0011001 0x0499
BX = 010 Event : 27
0x00 0000000|0101101 0x002D
0x01 0000011|0011010 0x019A
0x02 0000100|0011010 0x021A
0x03 0000100|0000010 0x0202
0x04 0000100|0000100 0x0204
BX = 011 Event : 28
0x00 0000011|0001111 0x018F
0x01 0000100|0011111 0x021F
0x02 0000100|0100001 0x0221
0x03 0000100|0100010 0x0222
BX = 100 Event : 29
0x00 0000100|0011110 0x021E
0x01 0000100|0011111 0x021F
0x02 0000110|0011110 0x031E
0x03 0000110|0011111 0x031F
0x04 0000111|0011110 0x039E
0x05 0000111|0011111 0x039F
0x06 0001010|0000000 0x0500
0x07 0001010|0000001 0x0501
0x08 0001010|0000101 0x0505
0x09 0001010|0000110 0x0506
0x0a 0001010|0000111 0x0507
0x0b 0001010|0010100 0x0514
0x0c 0001100|0011110 0x061E
0x0d 0001100|0011111 0x061F
0x0e 0010011|0000000 0x0980
0x0f 0010011|0000101 0x0985
0x10 0010011|0010101 0x0995
0x11 0010100|0000000 0x0A00
0x12 0010100|0000101 0x0A05
0x13 0010100|0010101 0x0A15
0x14 0010110|0011110 0x0B1E
0x15 0010110|0011111 0x0B1F
0x16 0011011|0000000 0x0D80
0x17 0011011|0000101 0x0D85
0x18 0011101|0001011 0x0E8B
0x19 0011101|0001100 0x0E8C
0x1a 0011110|0001011 0x0F0B
0x1b 0011110|0001100 0x0F0C
0x1c 0011111|0001011 0x0F8B
0x1d 0011111|0001100 0x0F8C
BX = 101 Event : 30
BX = 110 Event : 31
0x00 0000010|0001010 0x010A
0x01 0000010|0001100 0x010C
0x02 0000010|0100110 0x0126
0x03 0000010|0100111 0x0127
0x04 0000011|0001010 0x018A
0x05 0000011|0001100 0x018C
0x06 0000011|0100110 0x01A6
0x07 0000011|0100111 0x01A7
0x08 0000100|0001010 0x020A
0x09 0000100|0001110 0x020E
0x0a 0000100|0010001 0x0211
0x0b 0000100|0010011 0x0213
0x0c 0000101|0001010 0x028A
0x0d 0000101|0001110 0x028E
0x0e 0000101|0010001 0x0291
0x0f 0000101|0010011 0x0293
0x10 0000110|0001010 0x030A
0x11 0000110|0001110 0x030E
0x12 0000110|0010001 0x0311
0x13 0000110|0010011 0x0313
0x14 0001100|0000001 0x0601
0x15 0001100|0010011 0x0613
0x16 0001110|0001010 0x070A
0x17 0001110|0001100 0x070C
0x18 0001110|0100110 0x0726
0x19 0001110|0100111 0x0727
0x1a 0001110|0010011 0x0713
BX = 111 Event : 32
0x00 0000000|0001010 0x000A
0x01 0000001|0000111 0x0087
0x02 0000001|0001010 0x008A
0x03 0000010|0001010 0x010A
0x04 0000010|0001011 0x010B
0x05 0001010|0010001 0x0511
0x06 0001010|0000110 0x0506
0x07 0001011|0010001 0x0591
0x08 0010100|0010001 0x0A11
0x09 0010101|0010001 0x0A91
0x0a 0010101|0101011 0x0AAB
0x0b 0010110|0011101 0x0B1D
0x0c 0011000|0011110 0x0C1E
0x0d 0011000|0100000 0x0C20
0x0e 0011000|0100001 0x0C21
BX = 000 Event : 33
0x00 0000001|0000001 0x0081
0x01 0000001|0000010 0x0082
0x02 0000001|0000110 0x0086
0x03 0000001|0011000 0x0098
0x04 0000001|0011001 0x0099
0x05 0000001|0011010 0x009A
0x06 0000001|0011100 0x009C
0x07 0000001|0011101 0x009D
0x08 0000001|0011110 0x009E
0x09 0000001|0001011 0x008B
0x0a 0000010|0000001 0x0101
0x0b 0000010|0000010 0x0102
0x0c 0000010|0000110 0x0106
0x0d 0000010|0011000 0x0118
0x0e 0000010|0011001 0x0119
0x0f 0000010|0011010 0x011A
0x10 0000010|0011100 0x011C
0x11 0000010|0011101 0x011D
0x12 0000010|0011110 0x011E
0x13 0000010|0001011 0x010B
0x14 0000111|0000001 0x0381
0x15 0000111|0000010 0x0382
0x16 0000111|0000110 0x0386
0x17 0000111|0011000 0x0398
0x18 0000111|0011001 0x0399
0x19 0000111|0011010 0x039A
0x1a 0000111|0011100 0x039C
0x1b 0000111|0011101 0x039D
0x1c 0000111|0011110 0x039E
0x1d 0001000|0000001 0x0401
0x1e 0001000|0000010 0x0402
0x1f 0001000|0000110 0x0406
0x20 0001000|0011000 0x0418
0x21 0001000|0011001 0x0419
0x22 0001000|0011010 0x041A
0x23 0001000|0011100 0x041C
0x24 0001000|0011101 0x041D
0x25 0001000|0011110 0x041E
0x26 0001001|0000001 0x0481
0x27 0001001|0000010 0x0482
0x28 0001001|0000110 0x0486
0x29 0001001|0011000 0x0498
0x2a 0001001|0011001 0x0499
0x2b 0001001|0011010 0x049A
0x2c 0001001|0011100 0x049C
0x2d 0001001|0011101 0x049D
0x2e 0001001|0011110 0x049E
0x2f 0001100|0000001 0x0601
0x30 0001100|0000010 0x0602
0x31 0001100|0000110 0x0606
0x32 0001100|0011000 0x0618
0x33 0001100|0011001 0x0619
0x34 0001100|0011010 0x061A
0x35 0001100|0011100 0x061C
0x36 0001100|0011101 0x061D
0x37 0001100|0011110 0x061E
0x38 0001101|0000001 0x0681
0x39 0001101|0000010 0x0682
0x3a 0001101|0000110 0x0686
0x3b 0001101|0011000 0x0698
0x3c 0001101|0011001 0x0699
0x3d 0001101|0011010 0x069A
0x3e 0001101|0011100 0x069C
0x3f 0001101|0011101 0x069D
0x40 0001101|0011110 0x069E
0x41 0001110|0000001 0x0701
0x42 0001110|0000010 0x0702
0x43 0001110|0000110 0x0706
0x44 0001110|0011000 0x0718
0x45 0001110|0011001 0x0719
0x46 0001110|0011010 0x071A
0x47 0001110|0011100 0x071C
0x48 0001110|0011101 0x071D
0x49 0001110|0011110 0x071E
0x4a 0001111|0000001 0x0781
0x4b 0001111|0000010 0x0782
BX = 001 Event : 34
0x00 0000000|0110100 0x0034
0x01 0000000|0111010 0x003A
0x02 0000000|0111011 0x003B
0x03 0000001|0101110 0x00AE
0x04 0000001|0101111 0x00AF
0x05 0000101|0111011 0x02BB
0x06 0000101|0111111 0x02BF
0x07 0000101|1000000 0x02C0
0x08 0000101|0010110 0x0296
0x09 0000101|1000010 0x02C2
0x0a 0000101|1000100 0x02C4
0x0b 0000101|1000110 0x02C6
0x0c 0000110|0000011 0x0303
0x0d 0000110|0000110 0x0306
0x0e 0000110|0011101 0x031D
0x0f 0001011|0010110 0x0596
0x10 0001011|0000011 0x0583
0x11 0001011|0000110 0x0586
0x12 0001011|0011101 0x059D
0x13 0011111|0101110 0x0FAE
0x14 0011111|0101111 0x0FAF
BX = 010 Event : 35
0x00 0000000|0001111 0x000F
0x01 0000000|0010000 0x0010
0x02 0001100|0100100 0x0624
0x03 0001100|0100110 0x0626
0x04 0001100|0100111 0x0627
0x05 0001101|0100100 0x06A4
0x06 0001101|0100110 0x06A6
0x07 0001101|0100111 0x06A7
0x08 0001110|0100100 0x0724
0x09 0001110|0100110 0x0726
0x0a 0001110|0100111 0x0727
0x0b 0010000|0100100 0x0824
0x0c 0010000|0100110 0x0826
0x0d 0010001|0100100 0x08A4
0x0e 0010001|0100110 0x08A6
0x0f 0010001|0100111 0x08A7
0x10 0010010|0100100 0x0924
0x11 0010010|0100110 0x0926
0x12 0010011|0100100 0x09A4
0x13 0010011|0100110 0x09A6
0x14 0010011|0100111 0x09A7
BX = 011 Event : 36
0x00 0000010|0011101 0x011D
0x01 0000010|0001110 0x010E
0x02 0000010|0001111 0x010F
0x03 0000010|0010000 0x0110
0x04 0000010|0100111 0x0127
0x05 0010001|0011101 0x089D
0x06 0010001|0001110 0x088E
0x07 0010001|0001111 0x088F
0x08 0010001|0010000 0x0890
0x09 0010001|0100111 0x08A7
0x0a 0010110|0010100 0x0B14
BX = 100 Event : 37
0x00 0000000|1000001 0x0041
0x01 0000000|1000010 0x0042
0x02 0000000|1000100 0x0044
0x03 0000000|1000101 0x0045
0x04 0000000|1000111 0x0047
0x05 0000001|0001111 0x008F
0x06 0000001|0010000 0x0090
0x07 0000001|0010011 0x0093
0x08 0000110|0011111 0x031F
0x09 0000110|1001110 0x034E
0x0a 0000110|0110000 0x0330
0x0b 0010011|0111011 0x09BB
