BX = 000 Event : 1
BX = 001 Event : 2
0x02 0000101|0000100 0x0284
0x03 0000101|0001010 0x028A
0x04 0000110|0000100 0x0304
0x05 0011101|0000100 0x0E84
0x06 0011101|0001010 0x0E8A
BX = 010 Event : 27
0x00 0010000|0110100 0x0834
0x01 0010000|0110101 0x0835
0x02 0010000|0110110 0x0836
0x03 0010000|0110111 0x0837
0x04 0010001|0110100 0x08B4
0x05 0010001|0110101 0x08B5
0x06 0010001|0110110 0x08B6
0x07 0010001|0110111 0x08B7
0x08 0011101|0000110 0x0E86
BX = 011 Event : 28
0x00 0011000|0000110 0x0C06
0x01 0011101|0001110 0x0E8E
0x02 0011110|0001110 0x0F0E
BX = 100 Event : 29
0x00 0010110|0000100 0x0B04
BX = 101 Event : 30
0x00 0010011|0111001 0x09B9
0x01 0010011|0111010 0x09BA
0x02 0010011|0111011 0x09BB
BX = 110 Event : 31
0x00 1001000|0000111 0x2407
BX = 111 Event : 32
BX = 000 Event : 33
0x00 0100001|0010100 0x1094
0x01 0101110|0010010 0x1712
0x02 0110011|0010010 0x1992
BX = 001 Event : 34
0x00 0100000|0010011 0x1013
BX = 010 Event : 35
0x00 0000011|0001011 0x018B
0x01 0001110|0001101 0x070D
0x02 0011101|0001101 0x0E8D
0x03 0011101|0100111 0x0EA7
0x04 0011110|0001101 0x0F0D
0x05 0011110|0100111 0x0F27
BX = 011 Event : 36
0x00 0011101|0000111 0x0E87
0x01 0011110|0000111 0x0F07
0x02 0100011|0000111 0x1187
0x03 0101000|0000111 0x1407
0x04 0101001|0000111 0x1487
0x05 0101101|0000111 0x1687
0x06 0101101|0001000 0x1688
0x07 0101101|0001001 0x1689
BX = 100 Event : 37
0x00 0101100|0100000 0x1620
0x01 0101100|0100001 0x1621
0x02 0101100|0100101 0x1625
0x03 0101100|0100110 0x1626
0x04 0101100|0111101 0x163D
0x05 0110000|0100000 0x1820
0x06 0110000|0100001 0x1821
0x07 0110000|0100101 0x1825
