BX = 000 Event : 1
0x02 0100000|0101001 0x1029
0x03 0100010|0101001 0x1129
0x04 0110010|0100110 0x1926
0x05 0111011|0100110 0x1DA6
0x06 0111110|0100110 0x1F26
0x07 0111111|0100110 0x1FA6
0x08 1000101|0100110 0x22A6
0x09 1001001|0100110 0x24A6
0x0a 1001011|0100110 0x25A6
0x0b 1011100|0100110 0x2E26
0x0c 1011101|0100110 0x2EA6
BX = 011 Event : 20
0x00 0100001|0001110 0x108E
0x01 0100010|0001110 0x110E
0x02 0100011|0001110 0x118E
0x03 0100100|0001110 0x120E
0x04 0100101|0001111 0x128F
0x05 0100101|0010001 0x1291
0x06 0100110|0001111 0x130F
0x07 0110000|0100001 0x1821
0x08 1001111|0001110 0x278E
0x09 1001111|0001111 0x278F
0x0a 1001111|0010001 0x2791
BX = 100 Event : 21
BX = 101 Event : 22
0x00 0011011|0101001 0x0DA9
0x01 0011011|0101010 0x0DAA
0x02 0011111|0011001 0x0F99
0x03 0100000|0011001 0x1019
0x04 0100001|0011001 0x1099
0x05 0100010|0011001 0x1119
0x06 0101101|0100100 0x16A4
0x07 0101101|0101000 0x16A8
0x08 0101110|0100000 0x1720
0x09 0101111|0100100 0x17A4
0x0a 0101111|0101000 0x17A8
0x0b 0110000|0100000 0x1820
0x0c 0110001|0100100 0x18A4
0x0d 0110001|0101000 0x18A8
BX = 110 Event : 23
BX = 111 Event : 24
0x00 0101001|0000100 0x1484
0x01 0101010|0100111 0x1527
0x02 0101010|0101000 0x1528
BX = 000 Event : 25
0x00 0011000|0100011 0x0C23
0x01 0011001|0100011 0x0CA3
0x02 0011110|0000101 0x0F05
0x03 0011110|0100101 0x0F25
0x04 0011111|0000101 0x0F85
0x05 0011111|0100101 0x0FA5
BX = 001 Event : 26
0x00 0001001|0100001 0x04A1
0x01 0001001|0100010 0x04A2
0x02 0001010|0100111 0x0527
0x03 0001010|0101000 0x0528
0x04 0010000|0000011 0x0803
0x05 0010000|0011101 0x081D
0x06 0010001|0000011 0x0883
0x07 0010001|0011101 0x089D
0x08 0011001|0000011 0x0C83
0x09 0011001|0011101 0x0C9D
BX = 010 Event : 27
0x00 0010100|0101000 0x0A28
0x01 0010100|0101001 0x0A29
0x02 0010110|0101000 0x0B28
0x03 0010110|0101001 0x0B29
0x04 0010111|0101000 0x0BA8
0x05 0010111|0101001 0x0BA9
0x06 0011000|0100100 0x0C24
0x07 0011000|1000010 0x0C42
0x08 0011000|1000100 0x0C44
0x09 0110100|0100100 0x1A24
0x0a 0110100|1000010 0x1A42
0x0b 0110100|1000100 0x1A44
BX = 011 Event : 28
BX = 100 Event : 29
BX = 101 Event : 30
0x00 0011000|0101000 0x0C28
0x01 0100000|0110001 0x1031
0x02 0100000|0110011 0x1033
0x03 0100001|0110001 0x10B1
0x04 0100001|0110011 0x10B3
0x05 0100010|0101011 0x112B
BX = 110 Event : 31
0x00 1000001|0101100 0x20AC
0x01 1000001|0101101 0x20AD
0x02 1000001|0101111 0x20AF
0x03 1000001|0110010 0x20B2
0x04 1000010|0101100 0x212C
0x05 1000010|0101101 0x212D
0x06 1000010|0101111 0x212F
BX = 111 Event : 32
0x00 0101001|0111011 0x14BB
0x01 0101001|0111100 0x14BC
0x02 0101010|0111011 0x153B
0x03 0101010|0111100 0x153C
BX = 000 Event : 33
0x00 0100100|0000110 0x1206
0x01 0100100|0011101 0x121D
0x02 0100100|0011110 0x121E
0x03 0101100|0000110 0x1606
0x04 0101100|0011101 0x161D
0x05 0101100|0011110 0x161E
BX = 001 Event : 34
0x00 0010001|0100001 0x08A1
0x01 0010010|0100111 0x0927
0x02 0010010|0101000 0x0928
0x03 0010010|0101001 0x0929
0x04 0010011|0101000 0x09A8
0x05 0010011|0101001 0x09A9
0x06 0010110|0011101 0x0B1D
0x07 0010110|0011110 0x0B1E
0x08 0010111|0011101 0x0B9D
0x09 0010111|0011110 0x0B9E
0x0a 0011000|0011101 0x0C1D
0x0b 0011000|0011110 0x0C1E
0x0c 0011010|0011101 0x0D1D
0x0d 0011010|0011110 0x0D1E
BX = 010 Event : 35
0x00 0011010|0001101 0x0D0D
0x01 0011010|0100111 0x0D27
0x02 0011010|0101000 0x0D28
0x03 0011010|0101001 0x0D29
0x04 0011011|0001101 0x0D8D
0x05 0011011|0100111 0x0DA7
0x06 0011011|0101000 0x0DA8
0x07 0011100|0001101 0x0E0D
0x08 0011100|0100111 0x0E27
0x09 0011100|0101000 0x0E28
0x0a 0100000|0001111 0x100F
0x0b 0100000|0101000 0x1028
0x0c 0100000|0101001 0x1029
0x0d 0100000|0101011 0x102B
0x0e 0100010|0001111 0x110F
0x0f 0100010|0101000 0x1128
0x10 0100010|0101001 0x1129
0x11 0100010|0101011 0x112B
0x12 0100011|0001101 0x118D
0x13 0100011|0100111 0x11A7
0x14 0100011|0101000 0x11A8
0x15 0100011|0101001 0x11A9
0x16 0100100|0001101 0x120D
0x17 0100100|0100111 0x1227
0x18 0100100|0101000 0x1228
0x19 0100100|0101001 0x1229
0x1a 0100101|0001101 0x128D
0x1b 0100101|0100111 0x12A7
0x1c 0100101|0101000 0x12A8
0x1d 0100101|0101001 0x12A9
0x1e 0100110|0001101 0x130D
BX = 011 Event : 36
0x00 0101011|0101101 0x15AD
0x01 0111001|0101011 0x1CAB
BX = 100 Event : 37
0x00 0110010|0110011 0x1933
0x01 1010001|0110011 0x28B3
BX = 101 Event : 38
BX = 110 Event : 39
0x00 0000111|0000000 0x0380
0x01 0000111|0000001 0x0381
0x02 0001000|0000000 0x0400
0x03 0001000|0000001 0x0401
0x04 0011000|0100010 0x0C22
0x05 0011000|0100011 0x0C23
0x06 0011001|0100010 0x0CA2
0x07 0011001|0100011 0x0CA3
0x08 0011010|0100010 0x0D22
0x09 0011010|0100011 0x0D23
0x0a 0011011|0100010 0x0DA2
0x0b 0011011|0100011 0x0DA3
BX = 111 Event : 40
0x00 0100110|0011101 0x131D
0x01 0101000|0011101 0x141D
0x02 0110000|0011101 0x181D
0x03 0110001|0011101 0x189D
0x04 0110010|0011101 0x191D
0x05 0111011|0011010 0x1D9A
BX = 000 Event : 41
0x00 0001001|0100000 0x04A0
0x01 0001010|0100000 0x0520
0x02 0001011|0100000 0x05A0
0x03 0001100|0100000 0x0620
BX = 001 Event : 42
BX = 010 Event : 43
BX = 011 Event : 44
0x00 0011001|0010001 0x0C91
0x01 0011011|0010001 0x0D91
0x02 0011100|0010001 0x0E11
0x03 0101111|0001100 0x178C
0x04 0101111|0010001 0x1791
BX = 100 Event : 45
0x00 0010001|0000000 0x0880
0x01 0010001|0011001 0x0899
0x02 0110001|0000000 0x1880
0x03 0110001|0011001 0x1899
BX = 101 Event : 46
0x00 0011001|0110011 0x0CB3
0x01 0011100|0110011 0x0E33
0x02 0101010|0100010 0x1522
BX = 110 Event : 47
0x00 0101011|0011111 0x159F
BX = 111 Event : 48
0x00 0010010|0100100 0x0924
BX = 000 Event : 49
0x00 1010111|0111010 0x2BBA
0x01 1011000|0111010 0x2C3A
BX = 001 Event : 50
0x00 0001000|0110010 0x0432
0x01 0001000|0010110 0x0416
0x02 0001001|0110010 0x04B2
0x03 0001001|0010110 0x0496
0x04 0001011|0110010 0x05B2
0x05 0001011|0010110 0x0596
0x06 0001100|0110010 0x0632
0x07 0001100|0010110 0x0616
0x08 0010000|0110010 0x0832
0x09 0010001|0110010 0x08B2
0x0a 0010001|0010110 0x0896
0x0b 0010010|0110010 0x0932
0x0c 0010010|0010110 0x0916
0x0d 0010011|0110010 0x09B2
0x0e 0010011|0010110 0x0996
0x0f 0010100|0011111 0x0A1F
0x10 0010101|0011111 0x0A9F
0x11 0010111|0100001 0x0BA1
0x12 0011000|0100001 0x0C21
0x13 0011001|0100001 0x0CA1
0x14 0011010|0100001 0x0D21
0x15 0100001|0100011 0x10A3
0x16 0100001|0100100 0x10A4
0x17 0100010|0100011 0x1123
0x18 0100010|0100100 0x1124
0x19 0100011|0100011 0x11A3
0x1a 0100011|0100100 0x11A4
0x1b 0101001|0110010 0x14B2
0x1c 0101001|0000101 0x1485
0x1d 0101001|0010110 0x1496
BX = 010 Event : 51
0x00 0010001|0100100 0x08A4
0x01 0010001|0100101 0x08A5
0x02 0010001|0101000 0x08A8
0x03 0010010|0100100 0x0924
0x04 0010010|0100101 0x0925
0x05 0010010|0101000 0x0928
BX = 011 Event : 52
0x00 0011100|0110111 0x0E37
0x01 0011101|0110111 0x0EB7
0x02 0101011|0011110 0x159E
0x03 0101100|0100101 0x1625
0x04 0101100|0100111 0x1627
0x05 0101100|0101000 0x1628
BX = 100 Event : 53
0x00 0111011|0110000 0x1DB0
0x01 0111100|0110000 0x1E30
0x02 1000101|0001001 0x2289
0x03 1000101|0100111 0x22A7
BX = 101 Event : 54
0x00 0010100|0100101 0x0A25
0x01 0010100|0100110 0x0A26
0x02 0010100|0101000 0x0A28
BX = 110 Event : 55
0x00 0001111|0010101 0x0795
0x01 0010000|0010101 0x0815
0x02 0010110|0101010 0x0B2A
0x03 0010111|0101010 0x0BAA
0x04 0011000|0101010 0x0C2A
0x05 0011001|0101010 0x0CAA
0x06 0011010|0101010 0x0D2A
0x07 0011101|0100000 0x0EA0
BX = 111 Event : 56
0x00 0101111|0101101 0x17AD
0x01 1010010|0000111 0x2907
0x02 1010010|0101001 0x2929
0x03 1010100|0100010 0x2A22
0x04 1010100|0100011 0x2A23
0x05 1010101|0100010 0x2AA2
0x06 1010101|0100011 0x2AA3
BX = 000 Event : 57
0x00 0101111|0110110 0x17B6
0x01 0110000|0110110 0x1836
0x02 0111011|0110110 0x1DB6
0x03 0111100|0110110 0x1E36
0x04 0111111|0001110 0x1F8E
0x05 0111111|0001111 0x1F8F
0x06 0111111|0111000 0x1FB8
0x07 0111111|0111010 0x1FBA
0x08 0111111|0111011 0x1FBB
0x09 1000001|0001110 0x208E
0x0a 1000001|0001111 0x208F
BX = 001 Event : 58
BX = 010 Event : 59
0x00 0101100|0101000 0x1628
0x01 0101100|0101001 0x1629
0x02 0110111|0101000 0x1BA8
0x03 0110111|0101001 0x1BA9
0x04 0110111|0101100 0x1BAC
BX = 011 Event : 60
BX = 100 Event : 61
0x00 0011101|0100000 0x0EA0
0x01 1000001|0100110 0x20A6
BX = 101 Event : 62
BX = 110 Event : 63
0x00 0001100|0001011 0x060B
BX = 111 Event : 64
0x00 0010110|0100010 0x0B22
BX = 000 Event : 65
0x00 0010111|0100101 0x0BA5
0x01 0010111|0100110 0x0BA6
0x02 0010111|0100111 0x0BA7
0x03 0011001|0100101 0x0CA5
0x04 0011001|0100110 0x0CA6
0x05 0011001|0100111 0x0CA7
0x06 0011101|0100101 0x0EA5
0x07 0011101|0100110 0x0EA6
0x08 0011110|0100101 0x0F25
0x09 0011110|0100110 0x0F26
BX = 001 Event : 66
0x00 0100101|0010110 0x1296
0x01 0100101|1000000 0x12C0
0x02 0100101|1000001 0x12C1
0x03 0100101|1000010 0x12C2
0x04 0100110|0010110 0x1316
0x05 0100110|1000000 0x1340
0x06 0100110|1000001 0x1341
0x07 0100110|1000010 0x1342
BX = 010 Event : 67
0x00 1010100|0011100 0x2A1C
0x01 1010100|0011110 0x2A1E
0x02 1010100|1000001 0x2A41
0x03 1010100|0100111 0x2A27
BX = 011 Event : 68
BX = 100 Event : 69
0x00 0101101|0100110 0x16A6
0x01 0101110|0110000 0x1730
0x02 0101110|0110001 0x1731
0x03 0101111|0101100 0x17AC
0x04 0101111|0110000 0x17B0
0x05 0101111|0110001 0x17B1
0x06 0110000|0110000 0x1830
0x07 0110000|0110001 0x1831
0x08 0110001|0110000 0x18B0
0x09 0110001|0110001 0x18B1
0x0a 1000001|0101110 0x20AE
0x0b 1000001|0110001 0x20B1
0x0c 1011010|0000011 0x2D03
0x0d 1011010|0100101 0x2D25
0x0e 1011011|0000001 0x2D81
0x0f 1011011|0000011 0x2D83
0x10 1011011|0100011 0x2DA3
0x11 1011011|0100101 0x2DA5
0x12 1011100|0000001 0x2E01
0x13 1011100|0000011 0x2E03
0x14 1011100|0100101 0x2E25
BX = 101 Event : 70
0x00 0011010|0100101 0x0D25
0x01 0011011|0100101 0x0DA5
0x02 0100100|0100110 0x1226
0x03 0100101|0100110 0x12A6
0x04 0100110|0100110 0x1326
BX = 110 Event : 71
0x00 0001111|0100111 0x07A7
0x01 0001111|0101001 0x07A9
0x02 0001111|0101011 0x07AB
0x03 0001111|0101100 0x07AC
0x04 0010000|0100111 0x0827
0x05 0010000|0101001 0x0829
0x06 0010000|0101011 0x082B
0x07 0010000|0101100 0x082C
BX = 111 Event : 72
0x00 0101011|0011100 0x159C
BX = 000 Event : 73
0x00 0101100|0000000 0x1600
0x01 0101100|0111100 0x163C
0x02 0101110|0010010 0x1712
0x03 0101110|0010100 0x1714
0x04 0101111|0010010 0x1792
0x05 0101111|0010100 0x1794
0x06 0110001|0000000 0x1880
0x07 0110001|0111100 0x18BC
