BX = 000 Event : 1
0x02 0001100|0010001 0x0611
BX = 101 Event : 22
0x00 0011010|0111110 0x0D3E
0x01 0111111|0000111 0x1F87
0x02 1000000|0110111 0x2037
0x03 1000000|0111100 0x203C
0x04 1000111|0110111 0x23B7
0x05 1000111|0111100 0x23BC
BX = 110 Event : 23
0x00 0001011|0001111 0x058F
0x01 0001101|0001100 0x068C
BX = 111 Event : 24
0x00 0001000|0110010 0x0432
0x01 0011000|0000011 0x0C03
BX = 000 Event : 25
0x00 0001010|0000110 0x0506
0x01 0001010|0001000 0x0508
BX = 001 Event : 26
BX = 010 Event : 27
0x00 0000010|0000011 0x0103
0x01 0000011|0000011 0x0183
0x02 0000100|0000011 0x0203
0x03 0000101|0000011 0x0283
0x04 0001100|0000011 0x0603
0x05 0001110|0000011 0x0703
0x06 0010001|0011101 0x089D
0x07 0100111|0000011 0x1383
0x08 0101000|0000011 0x1403
BX = 011 Event : 28
0x00 0001001|0011010 0x049A
0x01 0010001|0011010 0x089A
0x02 0010010|0011010 0x091A
0x03 0011000|0001100 0x0C0C
0x04 0011000|0010010 0x0C12
BX = 100 Event : 29
BX = 101 Event : 30
0x00 0000111|0001000 0x0388
0x01 0001111|0001000 0x0788
0x02 0010110|0100100 0x0B24
0x03 0101000|0011000 0x1418
0x04 0110000|0011000 0x1818
BX = 110 Event : 31
BX = 111 Event : 32
0x00 0000100|0100010 0x0222
0x01 0000101|0100010 0x02A2
0x02 0000110|0100010 0x0322
0x03 0010010|0100100 0x0924
0x04 0010011|0101011 0x09AB
0x05 0010100|0100111 0x0A27
0x06 0010100|0101010 0x0A2A
0x07 0010100|0101011 0x0A2B
0x08 0010101|0100111 0x0AA7
0x09 0010101|0101010 0x0AAA
0x0a 0011100|0100111 0x0E27
0x0b 0011100|0101010 0x0E2A
0x0c 0011100|0101011 0x0E2B
0x0d 0011101|0100111 0x0EA7
0x0e 0011101|0101010 0x0EAA
0x0f 0100111|1000000 0x13C0
0x10 0100111|0111111 0x13BF
0x11 0101000|0100010 0x1422
0x12 0101110|0100010 0x1722
0x13 0110000|0100010 0x1822
0x14 0110001|1000000 0x18C0
0x15 0111000|0100010 0x1C22
0x16 1000001|0100100 0x20A4
0x17 1000001|0100111 0x20A7
0x18 1000010|0100111 0x2127
0x19 1000011|0100111 0x21A7
0x1a 1000011|0101010 0x21AA
0x1b 1000011|0101011 0x21AB
0x1c 1000100|0100111 0x2227
0x1d 1000100|0101010 0x222A
BX = 000 Event : 33
0x00 0010001|0010011 0x0893
0x01 0010010|0010001 0x0911
0x02 0010100|0010001 0x0A11
0x03 0010101|0010011 0x0A93
0x04 0010110|0010011 0x0B13
0x05 0010111|0010011 0x0B93
BX = 001 Event : 34
0x00 0101000|0011110 0x141E
0x01 0101000|0100011 0x1423
0x02 0101001|0011110 0x149E
0x03 0101010|0011110 0x151E
0x04 0110011|0110010 0x19B2
BX = 010 Event : 35
0x00 0000110|0011000 0x0318
0x01 0000110|0011100 0x031C
0x02 0000110|0011101 0x031D
0x03 0000111|0011000 0x0398
0x04 0000111|0011100 0x039C
0x05 0000111|0011101 0x039D
0x06 0010100|0101010 0x0A2A
0x07 0010100|0101111 0x0A2F
0x08 0010101|0101010 0x0AAA
0x09 0010101|0101110 0x0AAE
0x0a 0010101|0101111 0x0AAF
0x0b 0010110|0101010 0x0B2A
0x0c 0010110|0101111 0x0B2F
0x0d 0011101|0101010 0x0EAA
0x0e 0011101|0101110 0x0EAE
0x0f 0011101|0101111 0x0EAF
0x10 0100000|0101010 0x102A
0x11 0100000|0101110 0x102E
0x12 0100000|0101111 0x102F
0x13 0100101|0101111 0x12AF
BX = 011 Event : 36
0x00 0001111|0101000 0x07A8
0x01 0010110|0101000 0x0B28
BX = 100 Event : 37
0x00 0010111|0100111 0x0BA7
0x01 0010111|0101000 0x0BA8
0x02 0011000|0100111 0x0C27
0x03 0011000|0101000 0x0C28
0x04 0011011|0100101 0x0DA5
0x05 0011011|0100111 0x0DA7
0x06 0011011|0101000 0x0DA8
0x07 0100011|0101010 0x11AA
0x08 0100100|0101010 0x122A
0x09 0100110|0101010 0x132A
0x0a 0111101|1000000 0x1EC0
BX = 101 Event : 38
0x00 0000011|0110101 0x01B5
BX = 110 Event : 39
0x00 0001011|0011111 0x059F
0x01 0001100|0011111 0x061F
0x02 0001110|0011111 0x071F
0x03 0010011|0011111 0x099F
0x04 0010111|0111000 0x0BB8
0x05 0011100|0011111 0x0E1F
0x06 0100110|0100010 0x1322
0x07 0100111|0100010 0x13A2
BX = 111 Event : 40
0x00 0001111|0101001 0x07A9
0x01 0010010|0001111 0x090F
0x02 0010011|0001100 0x098C
BX = 000 Event : 41
0x00 0010000|0110010 0x0832
0x01 0010000|0110111 0x0837
0x02 0010001|0110010 0x08B2
0x03 0010001|0110111 0x08B7
0x04 0010101|0110010 0x0AB2
0x05 0010101|0110111 0x0AB7
0x06 0010110|0110010 0x0B32
0x07 0010110|0110111 0x0B37
BX = 001 Event : 42
0x00 0001010|0101001 0x0529
0x01 0001101|0101001 0x06A9
0x02 0001110|0101001 0x0729
BX = 010 Event : 43
BX = 011 Event : 44
0x00 0000111|0000101 0x0385
0x01 0000111|0000111 0x0387
0x02 0001000|0000101 0x0405
0x03 0001000|0000111 0x0407
0x04 0001010|0011100 0x051C
0x05 0001011|0011100 0x059C
0x06 0010000|0000000 0x0800
0x07 0010111|0000101 0x0B85
0x08 0010111|0000111 0x0B87
0x09 0011000|0000101 0x0C05
0x0a 0011000|0000111 0x0C07
0x0b 0011001|0000101 0x0C85
0x0c 0011001|0000111 0x0C87
0x0d 0011010|0000101 0x0D05
0x0e 0011010|0000111 0x0D07
0x0f 0011011|0000101 0x0D85
0x10 0011011|0000111 0x0D87
0x11 0011100|0000101 0x0E05
0x12 0011100|0000111 0x0E07
0x13 0011101|0011011 0x0E9B
0x14 0011101|0011100 0x0E9C
0x15 0100011|0000000 0x1180
0x16 0101000|0000101 0x1405
0x17 0101000|0000111 0x1407
0x18 0101010|0000000 0x1500
BX = 100 Event : 45
0x00 0001011|0100100 0x05A4
0x01 0001100|0000100 0x0604
0x02 0001100|0000101 0x0605
0x03 0001101|0000100 0x0684
0x04 0001101|0000101 0x0685
0x05 0010000|0000100 0x0804
0x06 0010000|0000101 0x0805
