BX = 000 Event : 1
00 0000000|0001111|01001010001001|0001|1000 0x003D28918
01 0000000|0001111|01000010011101|1110|0100 0x003D09DE4
02 0000010|1110001|01001110111011|0110|1010 0x05C53BB6A
03 0000011|1011010|01011100110011|1111|0010 0x0769733F2
04 0000010|1011010|01010110101010|1100|1000 0x05695AAC8
05 0000011|1110001|01110001111010|1011|0001 0x07C5C7AB1
06 0000111|1110001|01010100000100|0100|0010 0x0FC550442
07 0000111|1011010|01011100110110|1011|1010 0x0F69736BA
08 0001001|0100101|01001010111000|0100|1011 0x12952B84B
BX = 001 Event : 2
00 0000001|0001111|01011000011011|0111|0011 0x023D61B73
01 0000001|0001111|01010101101011|0110|1010 0x023D56B6A
02 0000001|0100101|01010111111011|1010|0010 0x02955FBA2
03 0000000|0100101|01010111111011|1010|1000 0x00955FBA8
04 0000101|0100101|01101110110100|0010|1011 0x0A95BB42B
05 0000100|0100101|01101100101111|0000|0000 0x0895B2F00
06 0000100|0100101|01110110101000|0110|0000 0x0895DA860
07 0000111|1110001|01000110000111|1100|1011 0x0FC5187CB
08 0000111|1110001|01001110010000|0000|1001 0x0FC539009
09 0000111|1110001|01001110010100|0000|0001 0x0FC539401
0a 0000111|1011010|01011110001001|1100|0011 0x0F69789C3
0b 0000110|1011010|01011010101011|1010|1010 0x0D696ABAA
0c 0001001|0100101|01000010100110|1111|1011 0x12950A6FB
0d 0001000|0001111|01011100111100|0010|0010 0x103D73C22
BX = 010 Event : 3
00 0000000|0001111|01010001011010|0100|1000 0x003D45A48
01 0000001|0100101|01100110011010|0000|1010 0x029599A0A
02 0000001|0100101|01100111001111|0000|0010 0x02959CF02
03 0000000|0100101|01011110001101|1101|0011 0x009578DD3
04 0000011|1011010|01101101010011|0111|1000 0x0769B5378
05 0000011|1011010|01100011000010|0010|1010 0x07698C22A
06 0000011|1011010|01011111010001|0000|0011 0x07697D103
07 0000010|1011010|01100111110110|0100|0001 0x05699F641
08 0000011|1110001|01101101101000|1001|0000 0x07C5B6890
09 0000010|1110001|01110111001110|1110|1010 0x05C5DCEEA
0a 0000010|1110001|01111010110101|0000|1010 0x05C5EB50A
0b 0000101|0001111|01010011011101|0000|0000 0x0A3D4DD00
0c 0000100|0001111|01011101101010|0110|1001 0x083D76A69
BX = 011 Event : 4
00 0000000|0001111|01000010001101|1110|1011 0x003D08DEB
01 0000001|0100101|01101100111001|0011|0011 0x0295B3933
02 0000001|0100101|01101101001100|0011|0001 0x0295B4C31
03 0000000|0100101|01101011111001|0010|1000 0x0095AF928
04 0000011|1011010|01010110000010|1100|0011 0x0769582C3
05 0000010|1110001|01111110110001|0001|0001 0x05C5FB111
06 0000100|0001111|01011100011000|0101|1000 0x083D71858
07 0000111|1110001|01010111111001|0111|0011 0x0FC55F973
BX = 100 Event : 5
00 0000001|0001111|01010100000011|0101|0011 0x023D50353
01 0000000|0001111|01001001110011|0000|0001 0x003D27301
02 0000000|0001111|01001001101110|0000|0100 0x003D26E04
03 0000000|0001111|01000001000111|1110|1000 0x003D047E8
04 0000001|0100101|01110011111100|0110|1000 0x0295CFC68
05 0000000|0100101|01101000100111|0000|1001 0x0095A2709
06 0000011|1011010|01100001001010|0001|1000 0x076984A18
07 0000011|1011010|01100001000011|0001|0011 0x076984313
08 0000011|1110001|01111101010010|0001|1011 0x07C5F521B
09 0000111|1110001|01000110001100|1100|1000 0x0FC518CC8
0a 0001001|0100101|01110101100000|0100|1010 0x1295D604A
BX = 101 Event : 6
00 0000010|1110001|01000000110011|0000|0011 0x05C503303
01 0000010|1110001|01000001110111|0000|0000 0x05C507700
02 0000111|1011010|01011011101011|1010|0100 0x0F696EBA4
03 0000110|1110001|01111000000111|1110|0001 0x0DC5E07E1
BX = 110 Event : 7
00 0000011|1011010|01101011111101|0111|0001 0x0769AFD71
01 0000011|1011010|01100001110100|0001|0010 0x076987412
02 0000101|0001111|01010000111000|0000|1010 0x0A3D4380A
03 0000100|0001111|01010001110011|0000|0010 0x083D47302
04 0000101|0100101|01101011111100|0000|0010 0x0A95AFC02
05 0000110|1011010|01100100100100|0000|1010 0x0D699240A
BX = 111 Event : 8
00 0000000|0100101|01100110011111|0000|1000 0x009599F08
01 0000000|0100101|01110100011110|0110|1011 0x0095D1E6B
02 0000010|1110001|01000000000110|1111|0001 0x05C5006F1
03 0000010|1011010|01010110101001|1100|0010 0x05695A9C2
04 0000011|1110001|01110001110100|1011|1001 0x07C5C74B9
05 0000010|1110001|01101101101100|1010|0000 0x05C5B6CA0
06 0000010|1110001|01101110111100|1010|1010 0x05C5BBCAA
07 0000010|1110001|01101111000110|1010|0010 0x05C5BC6A2
08 0000010|1110001|01110010001101|1100|0001 0x05C5C8DC1
09 0000101|0100101|01000100011110|0110|1000 0x0A9511E68
0a 0000100|0100101|01110100001001|0100|1010 0x0895D094A
0b 0000110|1011010|01000000100000|0110|1011 0x0D690206B
0c 0000110|1011010|01011100111101|1100|0001 0x0D6973DC1
0d 0001001|0001111|01010111100001|1111|1010 0x123D5E1FA
BX = 000 Event : 9
00 0000000|0100101|01100010111101|1111|0011 0x00958BDF3
01 0000011|1011010|01100110011000|0100|1010 0x07699984A
