BX = 000 Event : 1
00 0000000|1110001|11101100110101|0101|1001 0x01C7B3559
01 0000001|1011011|11110110110011|1100|0010 0x036FDB3C2
02 0000000|1011011|11111011000010|1110|1000 0x016FEC2E8
03 0000000|1011011|11101110010110|1001|1010 0x016FB969A
04 0000010|0010000|11101001011011|0110|1001 0x0443A5B69
05 0000010|0100110|11101001010111|1001|0000 0x049BA5790
06 0000010|0100110|11111001010111|0001|0011 0x049BE5713
07 0000101|1110001|11011010110110|0111|0001 0x0BC76B671
08 0000100|1011011|11100011100010|1110|0100 0x096F8E2E4
09 0000101|1110001|11110101010001|1010|1001 0x0BC7D51A9
0a 0000101|1110001|11111001001001|1100|0011 0x0BC7E49C3
0b 0000111|0010000|11001010011100|1111|0100 0x0E4329CF4
0c 0000111|0010000|11001001010100|1110|1000 0x0E43254E8
0d 0000110|0100110|11011010001110|1011|1000 0x0C9B68EB8
0e 0000110|0100110|11100011001100|0000|0100 0x0C9B8CC04
0f 0000110|0010000|11110001101010|1011|0011 0x0C43C6AB3
10 0001000|1110001|11001001011100|0100|1000 0x11C725C48
11 0001000|1110001|11001001101010|0101|0010 0x11C726A52
BX = 001 Event : 2
00 0000000|1011011|11010010100011|0111|1000 0x016F4A378
01 0000000|1011011|11001011000101|0100|0000 0x016F2C540
02 0000000|1011011|11000001001111|0000|0001 0x016F04F01
03 0000001|1110001|11010001110111|1001|1011 0x03C74779B
04 0000000|1110001|11100010111100|0000|0001 0x01C78BC01
05 0000000|1110001|11101011000100|0100|1000 0x01C7AC448
06 0000011|0010000|11011011001011|0000|0001 0x06436CB01
07 0000011|0010000|11001111010011|1001|1010 0x06433D39A
08 0000011|0100110|11110010101010|1110|0001 0x069BCAAE1
09 0000100|1110001|11011010100100|0110|0000 0x09C76A460
0a 0000100|1011011|11011010110011|1001|0010 0x096F6B392
0b 0001001|1110001|11000110000001|0010|1011 0x13C71812B
BX = 010 Event : 3
00 0000000|1011011|11001111101101|0110|0010 0x016F3ED62
01 0000001|1110001|11100000111100|0000|1010 0x03C783C0A
02 0000000|1110001|11100111101010|0011|1001 0x01C79EA39
