BX 001 Event : 2
00|0000001|0100110|00011110011101|1011|1000 0x0029879DB8
00|0000010|1110001|00101111101101|0110|0011 0x005C4BED63
00|0000010|1011011|00110000100101|1010|0011 0x0056CC25A3
00|0000101|0001111|00100000011011|0000|0100 0x00A3C81B04
00|0000101|0100110|00111111010001|0011|0100 0x00A98FD134
00|0000100|0100110|01100111001011|1110|0000 0x008999CBE0
00|0000111|1110001|00001011101111|0011|1000 0x00FC42EF38
00|0000111|1011011|00011111111101|0010|1010 0x00F6C7FD2A
00|0001001|0001111|00000111101100|0001|0001 0x0123C1EC11
00|0001000|0001111|00001011011101|0011|0011 0x0103C2DD33
01|0000001|0001111|00111101100111|1100|1001 0x1023CF67C9
01|0000000|0001111|01010001000100|0100|1010 0x1003D4444A
01|0000001|0100101|01011111001001|1101|1001 0x102957C9D9
01|0000001|0100101|01101101101101|0011|0011 0x10295B6D33
01|0000000|0100101|01110101000000|0110|1011 0x10095D406B
01|0000000|0001111|01110100011001|1001|1011 0x1003DD199B
01|0000010|1110000|00000011110101|1110|1010 0x105C00F5EA
01|0000010|1110000|01000010110010|0000|1000 0x105C10B208
01|0000010|1110000|01010001100000|0111|1000 0x105C146078
01|0000010|1011010|01101110001100|0111|0000 0x10569B8C70
01|0000010|1011010|01100001001000|0001|0011 0x1056984813
01|0000010|1011010|01011100010110|1111|1000 0x10569716F8
01|0000010|1011010|01010001011000|1010|1010 0x10569458AA
01|0000010|1110000|01101110010001|1010|1000 0x105C1B91A8
01|0000101|0100101|01101101110111|0001|1000 0x10A95B7718
01|0000101|0001111|01111101110000|1101|1001 0x10A3DF70D9
01|0000110|1011010|01101111111001|0111|1010 0x10D69BF97A
01|0000110|1011010|01101101101011|0101|0100 0x10D69B6B54
01|0000110|1110000|01110000000010|1001|1011 0x10DC1C029B
01|0001001|0100101|00111010001110|1001|1001 0x11294E8E99
01|0001000|0100101|01101110001101|0000|1011 0x11095B8D0B
BX 010 Event : 3
00|0000000|0001111|00010000000000|0010|0011 0x0003C40023
00|0000001|0100110|00110111000001|0110|1000 0x00298DC168
00|0000000|0001111|01011001001001|0111|0011 0x0003D64973
00|0000010|1011011|01001100001101|0111|0010 0x0056D30D72
00|0000010|1011011|00101111001000|1001|1010 0x0056CBC89A
00|0000010|1110001|01001011001010|1010|0001 0x005C52CAA1
00|0000010|1110001|01010001011111|1101|0010 0x005C545FD2
00|0000010|1110001|01010111101110|0000|0001 0x005C55EE01
00|0000101|0100110|00110011100100|1101|0011 0x00A98CE4D3
00|0000100|0100110|00111011010111|0000|1011 0x00898ED70B
00|0000100|0001111|01010001111000|0000|0011 0x0083D47803
00|0000111|1110001|00001011001110|0011|0010 0x00FC42CE32
00|0000110|1110001|00001010110011|0010|1000 0x00DC42B328
00|0000110|1110001|00001100111110|0100|1010 0x00DC433E4A
00|0000110|1110001|00110101001010|0001|0100 0x00DC4D4A14
00|0001000|0001111|01111011100111|1011|1011 0x0103DEE7BB
01|0000001|0001111|00001000011000|1111|1001 0x1023C218F9
01|0000000|0001111|00010011011111|0011|1010 0x1003C4DF3A
01|0000000|0001111|00010011010011|0011|0010 0x1003C4D332
01|0000000|0001111|00001011110100|0000|1000 0x1003C2F408
01|0000000|0100101|00110101101011|0101|0000 0x10094D6B50
01|0000000|0001111|00111111100101|1101|1001 0x1003CFE5D9
01|0000000|0001111|01111011110000|1100|0010 0x1003DEF0C2
01|0000010|1011010|00101011000100|0010|1010 0x10568AC42A
01|0000010|1011010|00101010100011|0010|0010 0x10568AA322
01|0000011|1110000|01010000111001|0111|1011 0x107C14397B
01|0000010|1110000|00111101100011|1110|1001 0x105C0F63E9
01|0000010|1110000|01000000111100|0000|0010 0x105C103C02
01|0000010|1110000|01001010110100|0100|0010 0x105C12B442
01|0000010|1110000|01001101100001|0101|0011 0x105C136153
01|0000010|1011010|01010011010100|1011|0011 0x105694D4B3
01|0000101|0001111|00100011101001|0001|0001 0x10A3C8E911
01|0000101|0100101|01111000001000|0111|1011 0x10A95E087B
01|0000111|1011010|00001100001010|0011|0010 0x10F6830A32
01|0000111|1011010|00001011001010|0010|0011 0x10F682CA23
01|0000110|1011010|00001001011100|0001|1001 0x10D6825C19
01|0000110|1110000|00101010000100|0111|0010 0x10DC0A8472
01|0000111|1011010|00101011010100|1001|0010 0x10F68AD492
01|0000110|1011010|00101011110001|1010|1001 0x10D68AF1A9
01|0000110|1011010|00101010010110|1001|0001 0x10D68A9691
01|0000110|1110000|01010111000011|0110|0001 0x10DC15C361
01|0001000|0001111|00001011011010|0011|0001 0x1103C2DA31
01|0001000|0100101|00011110101101|0010|1000 0x110947AD28
01|0001001|0100101|01000100101111|0000|1011 0x1129512F0B
01|0001001|0001111|01010001011110|1011|0001 0x1123D45EB1
01|0001001|0001111|01010001010010|1011|1000 0x1123D452B8
