BX 001 Event : 2
00|0011001|01111011|00000001000010010|0011 0x032F602123
00|1100111|01010111|00001011101010011|1100 0x0CEAE1753C
00|1101000|01101100|00001011011000101|1101 0x0D0D816C5D
00|1100011|00001101|00110111010101101|0001 0x0C61A6EAD1
00|1100111|01101100|00111001001010111|0100 0x0CED872574
00|0011110|00000011|01000110111110000|1101 0x03C068DF0D
00|0011101|00000011|01010100011100111|0001 0x03A06A8E71
00|0011101|00001000|01001101010000010|1110 0x03A109A82E
00|0011101|00001000|01010000100100011|0000 0x03A10A1230
00|0011101|00001000|01010011110100100|1100 0x03A10A7A4C
00|0011101|01010111|01001111001110111|1011 0x03AAE9E77B
00|0011101|01010111|01010001010011011|1010 0x03AAEA29BA
00|0011101|00011000|01110101010000000|1110 0x03A30EA80E
00|0011101|00011000|01110101011001010|0100 0x03A30EACA4
00|0011101|00011000|01110101011101010|0001 0x03A30EAEA1
00|0011101|00011000|01110101110001001|1010 0x03A30EB89A
00|0011101|00011000|01110110010100010|0001 0x03A30ECA21
00|0011101|00011000|01110110011001100|1010 0x03A30ECCCA
00|0011101|00011000|01110110100001100|0011 0x03A30ED0C3
00|0011101|00011000|01110111001111010|1100 0x03A30EE7AC
00|0011110|00101101|01110000111101101|1001 0x03C5AE1ED9
00|0011101|01000010|01111010010111011|1010 0x03A84F4BBA
BX 010 Event : 3
00|1101000|00001000|00011000010000010|1000 0x0D01030828
00|1100111|00110011|00001011100001100|0001 0x0CE66170C1
00|1100011|00111000|00001011100000110|0001 0x0C67017061
00|1100011|00111000|00001011001101101|0011 0x0C670166D3
00|1100011|00111101|00001010100001111|0101 0x0C67A150F5
00|1101000|01000010|00000111111000010|0111 0x0D0840FC27
00|1101000|01000010|00001001001100111|0101 0x0D08412675
00|1100111|01101100|00010000111110010|0000 0x0CED821F20
00|1100111|01101100|00010010011101001|0011 0x0CED824E93
00|1100011|01111011|00001110101110000|0010 0x0C6F61D702
00|1100011|00001101|01000001011000000|1010 0x0C61A82C0A
00|1100011|00101000|01000000100100110|1110 0x0C6508126E
00|1100100|01010010|00110000101011101|0111 0x0C8A4615D7
00|0011110|01001000|01010100100110111|1011 0x03C90A937B
