BX 001 Event : 2
01|0000000|1011011|10001100100011|0011|1001 0x1016E32339
01|0000000|1110001|11010111001110|1100|1000 0x101C75CEC8
01|0000010|0001111|10001111010010|1100|0011 0x1043E3D2C3
01|0000011|0100110|10110010111100|0000|1001 0x1069ACBC09
01|0000010|0100110|10111000101011|0010|0010 0x1049AE2B22
01|0000011|0001111|11011011111000|0110|1010 0x1063F6F86A
01|0000010|0001111|11011100000100|0101|1011 0x1043F7045B
01|0000100|1110001|10010011110010|1011|1001 0x109C64F2B9
01|0000100|1110001|10011100011010|0000|0011 0x109C671A03
01|0000101|1011011|10110001101100|1110|1001 0x10B6EC6CE9
01|0000101|1110001|11011011011111|0111|1001 0x10BC76DF79
01|0000110|0100110|10100110010100|1110|0010 0x10C9A994E2
01|0000110|0100110|11011011010110|0001|0100 0x10C9B6D614
01|0001001|1011011|11010010010001|1101|1100 0x1136F491DC
01|0001001|1110001|11101111001000|0010|1000 0x113C7BC828
00|1101000|00000011|10010100001010010|1010 0x0D0072852A
00|1100100|01110101|10000101011100000|1000 0x0C8EB0AE08
00|1100111|00101101|11100001000000001|1001 0x0CE5BC2019
00|1100011|00111000|11100001000100110|0101 0x0C671C2265
00|1100111|01000010|11100000100001011|0110 0x0CE85C10B6
00|1100011|01001100|11011111111101101|0011 0x0C699BFED3
00|1100111|01010111|11100001000100111|0011 0x0CEAFC2273
00|1100011|01100001|11100010000101001|1001 0x0C6C3C4299
00|1100011|01100110|11100001000100110|0101 0x0C6CDC2265
00|1100111|01101100|11100011010010001|1001 0x0CED9C6919
00|1100011|01111011|11100110011111101|1010 0x0C6F7CCFDA
BX 010 Event : 3
01|0000000|1110001|10100010011001|0000|1001 0x101C689909
01|0000000|1011011|11000110001110|0001|1000 0x1016F18E18
01|0000000|1110001|11011000011010|1101|1011 0x101C761ADB
01|0000000|1110001|11100111001111|0010|1000 0x101C79CF28
01|0000001|1011011|11101111100000|1001|1010 0x1036FBE09A
01|0000010|0100110|10000111000111|0110|1010 0x1049A1C76A
01|0000010|0001111|10001111100011|1100|0010 0x1043E3E3C2
01|0000010|0001111|11000101101000|1011|0010 0x1043F168B2
01|0000101|1011011|10110111001010|0000|1011 0x10B6EDCA0B
01|0000101|1110001|11000100000111|1010|0011 0x10BC7107A3
01|0000111|0001111|11101111111000|0000|1010 0x10E3FBF80A
01|0001000|1011011|10110000100110|0010|1011 0x1116EC262B
01|0001000|1110001|10111011000000|1011|1000 0x111C6EC0B8
01|0001001|1011011|11001111011011|1011|0001 0x1136F3DBB1
01|0001001|1011011|11001111010110|1011|1001 0x1136F3D6B9
01|0001001|1011011|11001110100101|1010|0010 0x1136F3A5A2
00|1101000|00001000|10000110001001101|0110 0x0D0110C4D6
00|1101000|00101101|10010101010001001|0111 0x0D05B2A897
00|1101000|00110011|10010101001111110|1011 0x0D0672A7EB
00|1100011|00111000|10010101100101100|0100 0x0C6712B2C4
00|1100011|00111000|10010101001000110|0100 0x0C6712A464
00|1100011|00111000|10010100111011001|0011 0x0C67129D93
00|1100100|00111101|10010110001111111|0010 0x0C87B2C7F2
00|1100011|00111101|10010101110001110|0010 0x0C67B2B8E2
00|1101001|01000010|10011000011010010|1100 0x0D28530D2C
00|1100011|01100001|11011111000010001|0001 0x0C6C3BE111
00|1100011|01100110|11100010001101010|0010 0x0C6CDC46A2
00|1100111|01101100|11100011000111111|0010 0x0CED9C63F2
00|1100111|01110001|11100100111110101|1000 0x0CEE3C9F58
00|1100011|01110101|11101000110100000|1110 0x0C6EBD1A0E
00|1100011|01110101|11100111000101010|1011 0x0C6EBCE2AB
00|1100011|01111011|11100100000011101|1001 0x0C6F7C81D9
BX 011 Event : 4
01|0000001|1110001|10100111001011|0001|1000 0x103C69CB18
01|0000000|1110001|10110010111010|0110|1011 0x101C6CBA6B
01|0000000|1110001|10110011010101|0110|1001 0x101C6CD569
01|0000000|1011011|11001111101111|0101|0100 0x1016F3EF54
01|0000000|1011011|11001111100001|0101|1010 0x1016F3E15A
01|0000001|1110001|11010111110110|1100|1010 0x103C75F6CA
01|0000001|1110001|11100111101001|0011|0000 0x103C79E930
01|0000001|1110001|11101000001011|0011|1001 0x103C7A0B39
01|0000001|1110001|11101001010100|0011|1001 0x103C7A5439
01|0000000|1110001|11010000001100|1001|1011 0x101C740C9B
01|0000001|1011011|11111001010011|1110|0100 0x1036FE53E4
01|0000011|0100110|10000011110000|0100|0001 0x1069A0F041
01|0000010|0100110|10000000000000|0010|1000 0x1049A00028
01|0000010|0100110|10001001101010|0111|0000 0x1049A26A70
01|0000010|0100110|10001001110111|0111|1010 0x1049A2777A
01|0000011|0001111|10011010100100|0001|1000 0x1063E6A418
01|0000011|0001111|10001100100001|1010|0010 0x1063E321A2
01|0000010|0001111|10001001010110|1001|0011 0x1043E25693
01|0000101|1011011|10001100101001|0101|0010 0x10B6E32952
01|0000100|1011011|10000000100110|1111|0000 0x1096E026F0
01|0000101|1110001|10010110110010|1101|0010 0x10BC65B2D2
01|0000100|1110001|10011000111101|1110|0001 0x109C663DE1
01|0000100|1110001|10011010101011|1111|1010 0x109C66ABFA
01|0000100|1011011|10111110001110|0100|1010 0x1096EF8E4A
01|0000100|1011011|10111100011100|0011|0001 0x1096EF1C31
01|0000111|0001111|11000001100110|0000|1001 0x10E3F06609
01|0000111|0001111|10111110110011|1110|1001 0x10E3EFB3E9
01|0001000|1110001|10100011110000|0111|1000 0x111C68F078
00|1100111|00011110|10001101011111000|1011 0x0CE3D1AF8B
00|1100011|01100001|10001101100011110|0011 0x0C6C31B1E3
00|1100011|01100001|10001101011010111|1011 0x0C6C31AD7B
00|1100011|01100001|10001101001011111|1010 0x0C6C31A5FA
00|1100011|01100001|10001101000011101|0100 0x0C6C31A1D4
00|1100011|01100110|10010110000010001|1110 0x0C6CD2C11E
00|1101000|00011110|11100110101101010|0100 0x0D03DCD6A4
00|1100011|00100011|11100101100001011|0111 0x0C647CB0B7
00|1100111|00101101|11011110010110111|0011 0x0CE5BBCB73
00|1100111|00101101|11011110110010001|0110 0x0CE5BBD916
00|1100111|00101101|11011111011001000|0111 0x0CE5BBEC87
00|1100111|00101101|11011111101001011|0011 0x0CE5BBF4B3
00|1100111|01011101|11100000100000000|0111 0x0CEBBC1007
BX 100 Event : 5
01|0000000|1110001|10100010101010|0000|0000 0x101C68AA00
01|0000000|1110001|10110101010010|0111|0010 0x101C6D5272
01|0000001|1011011|11001010111111|0100|1010 0x1036F2BF4A
01|0000000|1011011|10110101001100|1011|0001 0x1016ED4CB1
01|0000001|1110001|11101110100110|0110|0010 0x103C7BA662
01|0000001|1011011|11101111001001|1001|0010 0x1036FBC992
01|0000000|1011011|11111101011001|0000|1010 0x1016FF590A
01|0000010|0100110|10001010100110|0111|1001 0x1049A2A679
01|0000010|0001111|10100000111011|0100|0010 0x1043E83B42
01|0000010|0001111|10010111001001|0000|1000 0x1043E5C908
01|0000010|0001111|10001011001001|1010|1010 0x1043E2C9AA
01|0000010|0100110|10101000100000|1011|1001 0x1049AA20B9
01|0000010|0100110|11111011010011|0111|1001 0x1049BED379
01|0000010|0001111|11111100001111|1010|1001 0x1043FF0FA9
01|0000101|1011011|11110010011000|0110|1011 0x10B6FC986B
01|0000100|1011011|11011110101011|1100|1001 0x1096F7ABC9
01|0001000|1011011|11010111111011|0000|0011 0x1116F5FB03
00|1101001|01101100|10000011111011111|1000 0x0D2D907DF8
00|1101001|01101100|10000011111111010|0000 0x0D2D907FA0
00|1101000|01101100|10000101100010001|0100 0x0D0D90B114
00|1101000|01101100|10000101101101000|1011 0x0D0D90B68B
00|1100011|00111101|11101001100010100|0010 0x0C67BD3142
BX 101 Event : 6
01|0000000|1011011|10000000111011|1111|1001 0x1016E03BF9
01|0000000|1110001|10011000011101|1100|1011 0x101C661DCB
