BX = 000 Event : 1
0x00 0000001|1011010|11010010110101|0111|0010 0x036B4B572
0x01 0000000|1011010|11001010100000|0011|1000 0x016B2A038
0x02 0000001|1110000|11010010101001|1010|0001 0x03C34A9A1
0x03 0000001|1110000|11100010000010|0000|1010 0x03C38820A
0x04 0000001|1110000|11101010001001|0100|0010 0x03C3A8942
0x05 0000000|1110000|11101110101001|0110|0010 0x01C3BA962
0x06 0000011|0100101|11101111110111|0001|0011 0x0697BF713
0x07 0000101|1110000|11011001011011|0110|1010 0x0BC365B6A
0x08 0000101|1011010|11101010111101|0010|0001 0x0B6BABD21
0x09 0000100|1011010|11110001101101|0101|1010 0x096BC6D5A
0x0a 0000100|1011010|11011010000000|1001|1010 0x096B6809A
0x0b 0000110|0001111|11101000001111|1011|0010 0x0C3FA0FB2
0x0c 0001001|1011010|11011001001101|0001|0011 0x136B64D13
0x0d 010101001001|1101110|11010110001101|100 0x549DDAC6C
0x0e 010101010100|1011100|11110101110000|000 0x554B9EB80
0x0f 010110010111|0010001|11000010010100|010 0x5972384A2
0x10 011000001011|0100011|11110011011100|001 0x60B47E6E1
0x11 010111011010|0100011|11101011010010|101 0x5DA47D695
0x12 010111011110|0100011|11110100101101|010 0x5DE47E96A
0x13 010111001101|0100011|11011110100000|001 0x5CD47BD01
0x14 010110111110|0100011|11010111010011|101 0x5BE47AE9D
0x15 010111010110|0010001|11111001001111|001 0x5D623F279
0x16 010111001110|0010001|11111111111000|110 0x5CE23FFC6
0x17 011001000001|1101110|11100000111001|000 0x641DDC1C8
0x18 011100001010|0010001|11000001100110|011 0x70A238333
0x19 011011000110|0010001|11001101010101|010 0x6C6239AAA
0x1a 011100111000|0100011|11110001010100|010 0x73847E2A2
0x1b 011011110110|0100011|11111111110010|110 0x6F647FF96
0x1c 011110000100|1011100|11100110001010|000 0x784B9CC50
0x1d 011101000010|1011100|11100101010001|110 0x742B9CA8E
0x1e 011100011100|1011100|11010100011001|011 0x71CB9A8CB
0x1f 011100010111|1011100|11011011001011|100 0x717B9B65C
0x20 100000101011|0010001|11110011110101|101 0x82B23E7AD
0x21 011111101101|0010001|11011101101010|001 0x7ED23BB51
0x22 0000000|0010000|11000100000101|0000|1010 0x00431050A
0x23 0000001|0100110|11101011000010|0100|0001 0x029BAC241
0x24 0000100|0100110|11001101101111|0000|1000 0x089B36F08
0x25 0000100|0100110|11011000100001|0101|1001 0x089B62159
0x26 0000100|0100110|11011000100101|0101|0001 0x089B62551
0x27 0000101|0010000|11101101110111|0011|1011 0x0A43B773B
0x28 0000101|0010000|11100000110000|1100|0010 0x0A43830C2
0x29 0000111|1011011|11000100111011|0001|0011 0x0F6F13B13
0x2a 0000111|1110001|11010100100100|1101|0011 0x0FC7524D3
0x2b 0000110|1110001|11010011001001|1100|0011 0x0DC74C9C3
0x2c 0000111|1011011|11101011110000|1101|0001 0x0F6FAF0D1
0x2d 0001000|0100110|11100111010010|1101|0011 0x109B9D2D3
0x2e 0001001|0010000|11110111011011|1010|1001 0x1243DDBA9
0x2f 010111001101|1101111|11100100010000|010 0x5CDDFC882
0x30 010110111110|1101111|11011001000100|100 0x5BEDFB224
0x31 011001111000|0100100|11010100000010|101 0x67849A815
0x32 011001110010|0100100|11011000010110|101 0x67249B0B5
0x33 011001000101|0100100|11011011001011|100 0x64549B65C
0x34 011000010011|0100100|11011011001111|000 0x61349B678
0x35 011100001000|1011101|11010001001010|001 0x708BBA251
0x36 011011101100|1011101|11000000000100|101 0x6ECBB8025
0x37 011011101110|1011101|11011000101100|001 0x6EEBBB161
0x38 011100101011|1101111|11100010000111|011 0x72BDFC43B
0x39 011011101100|1101111|11101101100010|010 0x6ECDFDB12
0x3a 011011101110|1101111|11011000111010|000 0x6EEDFB1D0
0x3b 011100100111|0100100|11000010010001|110 0x72749848E
0x3c 011101110000|0010010|11100110111101|110 0x77025CDEE
0x3d 011101100011|0010010|11001110101010|110 0x763259D56
0x3e 011100101100|0010010|11000001111111|110 0x72C2583FE
0x3f 100000011111|1101111|11001010001010|001 0x81FDF9451
0x40 011111111111|1101111|11010010011010|000 0x7FFDFA4D0
0x41 100000100001|1011101|11011001111110|010 0x821BBB3F2
0x42 100000011100|1011101|11011001100100|100 0x81CBBB324
0x43 011111111101|1011101|11011010101001|101 0x7FDBBB54D
0x44 011111001100|1011101|11011000101010|110 0x7CCBBB156
0x45 011111010001|1101111|11111110011010|011 0x7D1DFFCD3
BX = 001 Event : 2
0x00 0000001|1011010|11010001111110|0111|1001 0x036B47E79
0x01 0000000|1011010|11001010100011|0011|0000 0x016B2A330
0x02 0000001|1110000|11101111010011|0110|0001 0x03C3BD361
0x03 0000000|1110000|11101110000111|0101|1010 0x01C3B875A
0x04 0000000|1011010|11110011000011|1011|1000 0x016BCC3B8
0x05 0000000|1011010|11101110100110|1001|0000 0x016BBA690
0x06 0000000|1011010|11101101100101|1001|1010 0x016BB659A
0x07 0000011|0001111|11010000100110|0000|1001 0x063F42609
0x08 0000100|1110000|11011000000101|0101|1000 0x09C360558
0x09 0000100|1110000|11011010010101|0110|1001 0x09C369569
0x0a 0001001|1110000|11100101110111|1100|0011 0x13C3977C3
0x0b 010111000100|0100011|11100110111001|001 0x5C447CDC9
0x0c 010110101010|0100011|11010011110010|010 0x5AA47A792
0x0d 010110100000|0100011|11100100111011|101 0x5A047C9DD
0x0e 010110011111|0100011|11000110001101|110 0x59F478C6E
0x0f 011001000000|1101110|11101111101010|110 0x640DDDF56
0x10 011000101000|1101110|11100010110011|100 0x628DDC59C
0x11 011011000000|0010001|11001010110100|011 0x6C02395A3
0x12 011100110001|0100011|11111110110000|111 0x73147FD87
0x13 011100110010|1011100|11101011110100|000 0x732B9D7A0
0x14 011100101001|1011100|11100011100000|000 0x729B9C700
0x15 100000011010|0100011|11000110111001|110 0x81A478DCE
0x16 011111010101|0100011|11001101011100|000 0x7D5479AE0
0x17 100000110011|0010001|11101010101000|011 0x83323D543
0x18 011111101100|0010001|11100011100010|010 0x7EC23C712
0x19 0000001|0100110|11011110101010|1111|1010 0x029B7AAFA
0x1a 0000000|0100110|11011011011000|1110|0010 0x009B6D8E2
0x1b 0000000|0100110|11101011110010|0100|1001 0x009BAF249
0x1c 0000000|0010000|11111001010001|1110|0000 0x0043E51E0
0x1d 0000000|0010000|11111001000001|1110|0001 0x0043E41E1
0x1e 0000000|0010000|11110100110100|1100|0001 0x0043D34C1
0x1f 0000010|1011011|11001010011010|1101|1000 0x056F29AD8
0x20 0000011|1110001|11100000110101|1010|0001 0x07C7835A1
0x21 0000010|1110001|11100001010011|1011|0011 0x05C7853B3
0x22 0000101|0100110|11011010101110|0111|1000 0x0A9B6AE78
0x23 0000100|0100110|11000001111001|1001|1010 0x089B0799A
0x24 0000101|0010000|11011011000001|1001|1001 0x0A436C199
0x25 0000100|0010000|11100000111110|1101|0000 0x084383ED0
0x26 0000101|0100110|11110101011100|1010|0000 0x0A9BD5CA0
0x27 0000111|1110001|11011010010010|0000|0001 0x0FC769201
0x28 0000110|1011011|11111010001001|0101|0100 0x0D6FE8954
0x29 0001000|0010000|11011001101010|0001|0011 0x104366A13
0x2a 010101111001|0100100|11011100110000|101 0x57949B985
0x2b 010101101100|0100100|11010111100000|001 0x56C49AF01
0x2c 010101101001|0100100|11011011001100|101 0x56949B665
0x2d 011000010100|1011101|11000000100110|001 0x614BB8131
0x2e 010111100011|1101111|11001100011100|010 0x5E3DF98E2
0x2f 010110111010|1101111|11001111001010|010 0x5BADF9E52
0x30 010110110110|1101111|11101000101110|110 0x5B6DFD176
0x31 010110000110|1101111|11011010111000|000 0x586DFB5C0
0x32 010110000110|1101111|11011011001011|110 0x586DFB65E
0x33 010111101000|1011101|11111111011010|101 0x5E8BBFED5
0x34 010110001000|1011101|11111111110100|110 0x588BBFFA6
0x35 011000110111|0010010|11110111010000|101 0x63725EE85
0x36 011000101110|0010010|11110110000010|100 0x62E25EC14
0x37 011000010111|0010010|11110010010110|010 0x61725E4B2
0x38 011011011101|1011101|11010101100111|101 0x6DDBBAB3D
0x39 011010110001|1011101|11001010001000|000 0x6B1BB9440
0x3a 011010101100|1011101|11001010001101|100 0x6ACBB946C
0x3b 011010100111|1011101|11001011101110|010 0x6A7BB9772
0x3c 011100101001|1101111|11110111000101|011 0x729DFEE2B
0x3d 011011111110|1101111|11111100100001|010 0x6FEDFF90A
0x3e 011011101001|1101111|11100011111111|001 0x6E9DFC7F9
0x3f 011011000001|1101111|11111011010011|011 0x6C1DFF69B
0x40 011100110000|0100100|11111000101000|100 0x73049F144
0x41 011100010011|0100100|11110110000110|011 0x71349EC33
0x42 011111001000|1011101|11110110011010|001 0x7C8BBECD1
0x43 011111000011|1011101|11110110011100|001 0x7C3BBECE1
BX = 010 Event : 3
0x00 0000001|1011010|11001110111110|0110|1010 0x036B3BE6A
0x01 0000001|1110000|11101001111010|0100|1000 0x03C3A7A48
0x02 0000001|1110000|11101010011000|0100|0010 0x03C3A9842
0x03 0000001|1110000|11101010100011|0100|1010 0x03C3AA34A
0x04 0000001|1110000|11110001011011|0111|0000 0x03C3C5B70
0x05 0000001|1011010|11111010010111|1110|1010 0x036BE97EA
0x06 0000010|0100101|11101000111100|1110|0010 0x0497A3CE2
0x07 0000010|0100101|11101001000101|1111|1010 0x0497A45FA
0x08 0000010|0100101|11110111010101|0101|0011 0x0497DD553
0x09 0000010|0001111|11111111011110|1100|1000 0x043FFDEC8
0x0a 0000101|1011010|11110011010001|0111|1011 0x0B6BCD17B
0x0b 0000100|1110000|11110101011011|1010|0011 0x09C3D5BA3
0x0c 0000110|0001111|11001101000001|0110|1011 0x0C3F3416B
0x0d 0000110|0100101|11010011110011|1101|0001 0x0C974F3D1
0x0e 0000111|0001111|11111011110000|0111|0100 0x0E3FEF074
0x0f 0001000|1011010|11111010010110|1100|0011 0x116BE96C3
0x10 0001000|1011010|11111010001111|1100|1001 0x116BE8FC9
0x11 010101110011|1011100|11100010010001|100 0x573B9C48C
0x12 011000011001|0100011|11110001001111|101 0x61947E27D
0x13 010111110010|0100011|11001100011110|011 0x5F24798F3
0x14 010110110010|0100011|11110111010010|110 0x5B247EE96
0x15 010110000111|0100011|11100001011110|100 0x58747C2F4
0x16 011010011000|1101110|11001100111111|101 0x698DD99FD
0x17 011001111110|1101110|11100110101110|000 0x67EDDCD70
0x18 011001111001|1101110|11100101111011|101 0x679DDCBDD
0x19 011001100101|1101110|11100101111001|001 0x665DDCBC9
0x1a 011000011101|1101110|11000110100100|110 0x61DDD8D26
0x1b 011000001010|1101110|11110010000000|101 0x60ADDE405
0x1c 011000000011|1011100|11110010010010|110 0x603B9E496
0x1d 011100110011|0010001|11000000000100|101 0x733238025
0x1e 011100100110|0010001|11010000011111|100 0x72623A0FC
0x1f 011011000101|0010001|11001000111100|011 0x6C52391E3
0x20 011010100111|0010001|11001000101111|110 0x6A723917E
0x21 011010110001|0100011|11100110011100|101 0x6B147CCE5
0x22 011110011110|1011100|11010011110001|000 0x79EB9A788
0x23 011101010100|1011100|11011100011000|110 0x754B9B8C6
0x24 100000001101|0010001|11011001011010|010 0x80D23B2D2
0x25 011111100001|0010001|11010110111010|010 0x7E123ADD2
0x26 011111011100|0010001|11010110111000|010 0x7DC23ADC2
0x27 0000001|0010000|11000111111101|0010|1001 0x02431FD29
0x28 0000001|0100110|11101010001111|0100|0000 0x029BA8F40
0x29 0000001|0100110|11101111110010|0111|0011 0x029BBF273
0x2a 0000001|0010000|11101111111110|1001|0000 0x0243BFE90
0x2b 0000000|0010000|11111111111010|0000|0001 0x0043FFA01
0x2c 0000000|0010000|11110111100001|1101|0010 0x0043DE1D2
0x2d 0000010|1110001|11000010010110|0111|0011 0x05C709673
0x2e 0000010|1110001|11000011011110|0111|0011 0x05C70DE73
0x2f 0000010|1011011|11010011011111|0001|1001 0x056F4DF19
0x30 0000010|1011011|11000100100111|1010|0010 0x056F127A2
0x31 0000010|1011011|11000010111001|1010|0010 0x056F0B9A2
0x32 0000010|1110001|11110100111000|0100|0011 0x05C7D3843
0x33 0000101|0010000|11000001100110|0111|1010 0x0A430667A
0x34 0000100|0010000|11110101011000|0111|0011 0x0843D5873
0x35 0000100|0100110|11110101100000|1010|0010 0x089BD60A2
0x36 0000110|1110001|11011111100010|0011|1010 0x0DC77E23A
0x37 0000111|1011011|11110011010110|0001|0010 0x0F6FCD612
0x38 010101010101|0100100|11001110010100|100 0x555499CA4
0x39 010111001101|1101111|11010110110000|011 0x5CDDFAD83
0x3a 010111001101|1101111|11100011010001|101 0x5CDDFC68D
0x3b 010111001000|1101111|11100011010001|001 0x5C8DFC689
0x3c 010110100010|1101111|11001011110101|010 0x5A2DF97AA
0x3d 011000100100|0010010|11000001010110|001 0x6242582B1
0x3e 011001100011|0100100|11011111001001|010 0x66349BE4A
0x3f 011001011111|0100100|11010010000100|101 0x65F49A425
0x40 011001011001|0100100|11011110100000|010 0x65949BD02
0x41 011001000101|0100100|11011101001011|100 0x64549BA5C
0x42 011000100000|0100100|11000001000101|001 0x620498229
0x43 011000011000|0100100|11101110001001|010 0x61849DC4A
0x44 011001110010|0010010|11111010011001|101 0x67225F4CD
0x45 011100111101|1101111|11110011001000|010 0x73DDFE642
0x46 011100110100|1101111|11100011111101|000 0x734DFC7E8
0x47 011100000010|1101111|11100100010000|001 0x702DFC881
0x48 011101000000|0100100|11000011011001|001 0x7404986C9
0x49 011110100001|0010010|11100011010000|101 0x7A125C685
0x4a 011100110000|0010010|11010010001101|010 0x73025A46A
0x4b 011100110011|0010010|11000110111010|101 0x733258DD5
0x4c 011100100100|0010010|11100011101001|010 0x72425C74A
0x4d 011110001010|0100100|11101100110100|101 0x78A49D9A5
0x4e 011110000100|0100100|11101100111111|000 0x78449D9F8
0x4f 011100101000|0100100|11110010011000|001 0x72849E4C1
0x50 011111010001|1011101|11110011110010|011 0x7D1BBE793
0x51 100001010100|1101111|11111100110111|010 0x854DFF9BA
BX = 011 Event : 4
0x00 0000001|1011010|11010010010011|0111|0000 0x036B49370
0x01 0000001|1110000|11010001011011|1001|0010 0x03C345B92
0x02 0000001|1110000|11011000000011|1100|0001 0x03C3603C1
0x03 0000000|1110000|11101001000010|0011|1010 0x01C3A423A
0x04 0000010|0001111|11010011001110|0001|0011 0x043F4CE13
0x05 0000010|0001111|11010010000001|0000|0001 0x043F48101
0x06 0000011|0100101|11110100101101|0100|1011 0x0697D2D4B
0x07 0000011|0001111|11111011101100|1001|1001 0x063FEEC99
0x08 0000100|1110000|11000110111001|1100|1010 0x09C31B9CA
0x09 0000101|1011010|11100111111000|0000|1001 0x0B6B9F809
0x0a 0000101|1011010|11011111100111|1100|0001 0x0B6B7E7C1
0x0b 0000100|1110000|11111100010111|1110|1001 0x09C3F17E9
0x0c 0000111|0001111|11000010100001|0000|0100 0x0E3F0A104
0x0d 0000111|0100101|11010100111010|1101|0010 0x0E9753AD2
0x0e 0001001|1011010|11011001010000|0001|1000 0x136B65018
0x0f 0001000|1011010|11100010101001|0111|1010 0x116B8A97A
0x10 0001000|1110000|11100001110100|1001|1010 0x11C38749A
