BX = 000 Event : 1
0x00 0010110|100|1|0100|01110|1 0x05A51D
0x01 0011000|100|1|0101|01110|1 0x06255D
0x02 0011010|110|1|1010|01111|1 0x06B69F
0x03 0011011|110|1|1001|01110|1 0x06F65D
0x04 0011100|001|1|1010|10000|1 0x070EA1
0x05 0110001|100|1|0101|01010|0 0x0C6554
BX = 001 Event : 2
0x00 0011000|100|1|0100|00110|1 0x06250D
0x01 0011011|010|1|0110|01000|1 0x06D591
0x02 0100100|001|1|0111|10001|1 0x090DE3
BX = 010 Event : 3
0x00 0000110|100|1|0101|10001|1 0x01A563
0x01 0000111|100|1|0100|10101|1 0x01E52B
0x02 0001010|100|1|1000|11000|1 0x02A631
0x03 0001011|100|1|1001|11001|1 0x02E673
0x04 0001111|100|1|0110|11000|1 0x03E5B1
0x05 0010000|100|1|0101|11000|1 0x042571
0x06 0010110|011|1|1011|10101|0 0x059EEA
0x07 0010111|011|1|1011|01111|0 0x05DEDE
0x08 0011101|100|1|0111|01110|0 0x0765DC
0x09 0100010|010|1|1010|01000|0 0x089690
BX = 011 Event : 4
0x00 0001111|110|1|1000|01000|1 0x03F611
BX = 100 Event : 5
BX = 101 Event : 6
0x00 0001101|100|1|0110|00110|1 0x03658D
0x01 0001110|100|1|0110|00110|1 0x03A58D
0x02 0010110|100|1|0111|01101|1 0x05A5DB
0x03 0011000|101|1|0111|10100|1 0x062DE9
0x04 0011011|110|1|0101|11000|1 0x06F571
0x05 0011100|011|1|0100|11000|1 0x071D31
0x06 0011101|100|1|1000|11010|1 0x076635
BX = 110 Event : 7
0x00 0100110|110|1|1011|00101|1 0x09B6CB
0x01 0101101|010|1|1011|00101|1 0x0B56CB
0x02 0101110|001|1|1011|00110|1 0x0B8ECD
0x03 0101111|001|1|1011|00110|1 0x0BCECD
0x04 0110100|000|1|0110|01001|1 0x0D0593
0x05 1000000|110|1|0101|01110|1 0x10355D
0x06 1000001|100|1|1000|01111|1 0x10661F
0x07 1000011|100|1|0110|10000|1 0x10E5A1
0x08 1000111|111|0|0101|11010|1 0x11F975
0x09 1001000|111|0|0101|11010|1 0x123975
0x0a 1001001|010|1|1001|11001|1 0x125673
BX = 111 Event : 8
0x00 0001000|101|1|0110|00111|1 0x022D8F
0x01 0001001|101|1|0110|00111|1 0x026D8F
0x02 0001010|001|1|1011|01010|1 0x028ED5
0x03 0001110|100|1|0110|01010|1 0x03A595
0x04 0001111|100|1|0110|01010|1 0x03E595
0x05 0010101|010|1|1001|01001|1 0x055653
BX = 000 Event : 9
0x00 0001010|100|1|0110|01100|1 0x02A599
0x01 0001011|100|1|1000|01101|1 0x02E61B
0x02 0001100|100|1|0101|01010|1 0x032555
0x03 0001111|001|1|0100|10111|1 0x03CD2F
BX = 001 Event : 10
0x00 0010111|100|1|0100|01010|1 0x05E515
0x01 0011000|011|1|1010|00101|1 0x061E8B
0x02 0011001|011|1|1011|00111|1 0x065ECF
0x03 0011011|011|1|1010|01000|1 0x06DE91
0x04 0011101|100|1|0111|01000|1 0x0765D1
0x05 0011111|001|1|0100|01101|1 0x07CD1B
0x06 0101100|010|1|0111|01110|1 0x0B15DD
0x07 0110000|001|1|0101|10011|1 0x0C0D67
0x08 0110101|010|1|0100|01101|1 0x0D551B
0x09 0111010|010|1|1010|01110|1 0x0E969D
0x0a 1000010|011|1|1010|10010|1 0x109EA5
0x0b 1000111|101|1|1011|10111|1 0x11EEEF
0x0c 1001000|011|1|0100|11010|1 0x121D35
0x0d 1010011|100|1|1000|00111|0 0x14E60E
BX = 010 Event : 11
0x00 0001111|100|1|1010|01010|1 0x03E695
0x01 0010010|011|1|1001|01001|1 0x049E53
0x02 0010110|100|1|0110|10011|1 0x05A5A7
BX = 011 Event : 12
0x00 0101000|100|1|1000|00110|1 0x0A260D
0x01 0101100|000|1|1000|01101|1 0x0B061B
0x02 0110010|100|1|0101|10001|1 0x0CA563
0x03 0110111|010|1|1011|11000|1 0x0DD6F1
0x04 1000001|010|1|1011|11000|0 0x1056F0
0x05 1000010|011|1|0100|11000|0 0x109D30
BX = 100 Event : 13
0x00 0100110|100|1|0111|01001|0 0x09A5D2
BX = 101 Event : 14
0x00 0010000|010|1|1011|01001|1 0x0416D3
0x01 0010001|011|1|0111|00111|1 0x045DCF
0x02 0010100|010|1|0100|01000|1 0x051511
0x03 0010101|010|1|0100|01000|1 0x055511
0x04 0010110|010|1|0100|01000|1 0x059511
0x05 0010111|010|1|0100|01000|1 0x05D511
0x06 0100000|010|1|1010|11000|1 0x0816B1
0x07 0100100|010|1|0101|01000|0 0x091550
0x08 0100101|010|1|0100|01000|0 0x095510
BX = 110 Event : 15
0x00 0011110|001|1|0110|10100|1 0x078DA9
0x01 0011111|001|1|0101|11001|1 0x07CD73
BX = 111 Event : 16
0x00 0001100|100|1|0110|00101|1 0x03258B
0x01 0010110|011|1|1000|01000|1 0x059E11
0x02 0010111|100|1|1001|00111|1 0x05E64F
0x03 0011000|100|1|1010|00101|1 0x06268B
BX = 000 Event : 17
BX = 001 Event : 18
0x00 0010100|110|1|0111|01010|1 0x0535D5
0x01 0011100|100|1|0110|01100|1 0x072599
0x02 0011110|010|1|1000|10010|1 0x079625
0x03 0100010|011|1|0101|10000|1 0x089D61
0x04 0101101|010|1|1001|11010|1 0x0B5675
