BX = 000 Event : 1
0 0 0100011|0010|010|011 0x08C93
1 0 0101000|0011|010|101 0x0A0D5
1 1 0101001|1011|000|101 0x0A6C5
5 0 0001000|0011|100|111 0x020E7
5 1 0001001|1001|010|111 0x02657
6 0 0001010|1010|100|001 0x02AA1
6 1 0010000|0010|011|110 0x0409E
7 0 0010001|0010|001|000 0x04488
7 1 0010011|0011|011|011 0x04CDB
BX = 001 Event : 2
0 0 0110100|0001|010|000 0x0D050
0 1 0110110|0010|011|110 0x0D89E
0 2 0110111|0000|011|110 0x0DC1E
1 0 0111000|0001|100|000 0x0E060
1 1 1010011|0011|111|101 0x14CFD
2 0 0111111|0000|000|000 0x0FC00
2 1 1000000|1011|000|000 0x102C0
2 2 1000001|0000|001|000 0x10408
2 3 1000010|1010|001|000 0x10A88
2 4 1000011|0010|010|000 0x10C90
2 5 1000100|1000|010|000 0x11210
2 6 1000101|0000|010|000 0x11410
2 7 1000110|0010|011|000 0x11898
2 8 1001000|0010|001|010 0x1208A
2 9 1001001|0001|001|010 0x1244A
2 a 1001010|1011|001|010 0x12ACA
4 0 0000110|0001|101|010 0x0186A
4 1 0000111|1010|010|011 0x01E93
4 2 0001000|0000|011|100 0x0201C
5 0 0001111|1011|000|011 0x03EC3
6 0 0011100|0001|010|011 0x07053
7 0 0100000|1010|001|000 0x08288
7 1 0100001|0010|011|000 0x08498
BX = 010 Event : 3
0 0 0110100|0010|100|011 0x0D0A3
0 1 0110101|0010|101|101 0x0D4AD
0 2 0110110|0001|101|110 0x0D86E
2 0 0111011|1001|000|010 0x0EE42
2 1 0111100|1000|101|100 0x0F22C
2 2 0111101|0011|101|100 0x0F4EC
2 3 0111110|1010|100|100 0x0FAA4
2 4 0111111|0011|011|100 0x0FCDC
2 5 1000000|1000|001|100 0x1020C
2 6 1000010|1001|000|110 0x10A46
2 7 1000011|0000|010|110 0x10C16
2 8 1000100|1000|010|110 0x11216
2 9 1000101|0001|011|110 0x1145E
3 0 1001001|0010|100|111 0x124A7
3 1 1001010|1010|000|111 0x12A87
3 2 1010000|0010|110|111 0x140B7
3 3 1010001|0010|101|111 0x144AF
4 0 0000100|1011|010|000 0x012D0
4 1 0000101|1000|100|011 0x01623
4 2 0100011|1010|111|011 0x08EBB
5 0 0100101|0011|110|100 0x094F4
6 0 0010110|0011|001|101 0x058CD
6 1 0010111|0000|001|101 0x05C0D
BX = 011 Event : 4
1 0 0110000|0000|101|011 0x0C02B
2 0 0110001|0001|001|000 0x0C448
3 0 0111001|1001|110|110 0x0E676
4 0 0010000|0100|001|000 0x04108
4 1 0010001|0100|010|000 0x04510
4 2 0010010|0001|011|000 0x04858
5 0 0011011|1001|111|101 0x06E7D
5 1 0011100|1000|110|101 0x07235
7 0 0011101|0100|100|011 0x07523
7 1 0100001|1001|110|110 0x08676
BX = 100 Event : 5
0 0 1001001|0001|110|110 0x12476
0 1 1001010|1000|101|110 0x12A2E
0 2 1001011|0000|101|110 0x12C2E
1 0 0111101|1011|100|101 0x0F6E5
2 0 1010010|0010|110|000 0x148B0
2 1 1010011|1010|111|000 0x14EB8
2 2 1010100|0001|110|010 0x15072
2 3 1010101|1001|111|010 0x1567A
2 4 1010110|1001|111|010 0x15A7A
2 5 1011001|0000|101|101 0x1642D
3 0 1000100|0100|001|000 0x11108
4 0 0000101|0001|010|011 0x01453
4 1 0100000|0011|101|010 0x080EA
4 2 0100001|1000|110|010 0x08632
4 3 0100010|0100|111|010 0x0893A
4 4 0100011|0100|101|100 0x08D2C
6 0 0011100|1010|001|011 0x0728B
BX = 101 Event : 6
0 0 0100110|0010|101|010 0x098AA
0 1 0111000|0100|100|111 0x0E127
3 0 0110011|0010|011|011 0x0CC9B
5 0 0000101|0001|010|110 0x01456
5 1 0000110|0000|000|110 0x01806
5 2 0000111|1010|010|111 0x01E97
5 3 0001000|1010|000|111 0x02287
5 4 0001001|0000|000|111 0x02407
6 0 0001011|0011|001|010 0x02CCA
6 1 0001100|1011|010|011 0x032D3
6 2 0001110|1011|000|101 0x03AC5
6 3 0010000|0001|010|111 0x04057
6 4 0010111|1010|111|001 0x05EB9
BX = 110 Event : 7
0 0 0100000|0001|001|101 0x0804D
1 0 0110000|0001|010|101 0x0C055
6 0 0001111|1000|010|110 0x03E16
7 0 0011000|0011|111|110 0x060FE
BX = 111 Event : 8
0 0 0101000|1000|111|001 0x0A239
0 1 0101001|0000|111|001 0x0A439
1 0 0011001|0011|010|000 0x064D0
1 1 0011101|0100|000|010 0x07502
1 2 0100001|0000|011|011 0x0841B
2 0 0100110|1011|010|100 0x09AD4
4 0 0000111|1000|100|100 0x01E24
4 1 0001101|0100|100|000 0x03520
4 2 0001110|0000|101|000 0x03828
4 3 0001111|0100|100|010 0x03D22
4 4 0010000|0001|101|010 0x0406A
4 5 0010001|1010|110|010 0x046B2
5 0 0001001|1011|001|000 0x026C8
7 0 0001100|1000|101|011 0x0322B
7 1 0010110|0100|111|011 0x0593B
BX = 000 Event : 9
3 0 0100011|0001|111|000 0x08C78
3 1 0100100|1010|111|000 0x092B8
4 0 0001100|1011|011|010 0x032DA
6 0 0001110|0000|001|010 0x0380A
BX = 001 Event : 10
0 0 0110101|0100|000|111 0x0D507
1 0 0111000|0100|101|101 0x0E12D
2 0 0111010|0001|100|000 0x0E860
2 1 0111011|0100|110|010 0x0ED32
2 2 0111100|0100|110|110 0x0F136
3 0 0111101|0011|110|000 0x0F4F0
3 1 0111110|1011|100|000 0x0FAE0
3 2 1000001|1000|101|011 0x1062B
3 3 1000010|1010|110|011 0x10AB3
6 0 0010011|0100|110|010 0x04D32
BX = 010 Event : 11
2 0 0101100|0000|001|010 0x0B00A
2 1 0101101|1010|010|010 0x0B692
2 2 1000011|1011|111|101 0x10EFD
4 0 0001110|0011|101|100 0x038EC
4 1 0001111|0011|011|110 0x03CDE
6 0 0010110|1011|111|101 0x05AFD
BX = 011 Event : 12
1 0 0110010|1011|001|101 0x0CACD
2 0 0110101|0010|000|000 0x0D480
3 0 0111001|0001|000|100 0x0E444
3 1 1001000|0100|101|000 0x12128
3 2 1001001|0011|101|000 0x124E8
5 0 0000101|0001|101|100 0x0146C
5 1 0001101|1011|111|010 0x036FA
7 0 0001001|1010|010|010 0x02692
7 1 0001111|0000|101|001 0x03C29
7 2 0010001|0010|101|100 0x044AC
BX = 100 Event : 13
2 0 0001111|1011|011|011 0x03EDB
BX = 101 Event : 14
2 0 0100010|0011|110|100 0x088F4
2 1 0100011|1010|100|100 0x08EA4
2 2 0100100|0000|100|100 0x09024
2 3 0100101|1001|011|100 0x0965C
2 4 0100110|0001|100|100 0x09864
2 5 0100111|0010|100|100 0x09CA4
2 6 0101000|0010|000|100 0x0A084
2 7 0101110|0100|001|111 0x0B90F
2 8 0111000|1010|110|001 0x0E2B1
2 9 0111010|0011|100|010 0x0E8E2
7 0 0001001|1011|001|011 0x026CB
BX = 110 Event : 15
1 0 0110001|1010|011|100 0x0C69C
2 0 1000101|0001|101|010 0x1146A
6 0 0011000|0001|101|100 0x0606C
6 1 0011001|1001|111|101 0x0667D
7 0 0011100|1001|111|010 0x0727A
7 1 0011101|1011|110|100 0x076F4
BX = 111 Event : 16
5 0 0000111|0100|110|010 0x01D32
5 1 0001010|0011|001|011 0x028CB
5 2 0001011|0010|100|100 0x02CA4
BX = 000 Event : 17
0 0 0111100|1001|010|110 0x0F256
2 0 0111110|0001|100|100 0x0F864
4 0 0001011|0100|000|000 0x02D00
4 1 0011101|0001|101|011 0x0746B
4 2 0011111|0100|111|110 0x07D3E
5 0 0010010|0001|101|111 0x0486F
6 0 0011001|1001|000|111 0x06647
7 0 0111000|0011|101|110 0x0E0EE
BX = 001 Event : 18
0 0 0100000|1011|100|000 0x082E0
1 0 0100111|1010|010|101 0x09E95
4 0 0011000|0000|110|111 0x06037
4 1 0011001|0011|111|111 0x064FF
6 0 0000111|1001|100|101 0x01E65
6 1 0001000|1010|010|101 0x02295
7 0 0001010|0010|101|000 0x028A8
7 1 0001101|1010|001|011 0x0368B
7 2 0010001|1011|001|111 0x046CF
BX = 010 Event : 19
0 0 0011111|0000|000|011 0x07C03
0 1 0100000|0100|100|110 0x08126
0 2 0100001|1000|011|110 0x0861E
1 0 0100101|0000|101|111 0x0942F
3 0 0101101|1010|001|110 0x0B68E
4 0 0010110|1010|111|011 0x05ABB
5 0 0001010|1010|011|110 0x02A9E
6 0 0001100|0100|011|001 0x03119
6 1 0001101|0011|100|001 0x034E1
BX = 011 Event : 20
0 0 0011101|1010|010|110 0x07696
2 0 0101110|1011|000|100 0x0BAC4
3 0 0110000|0100|001|000 0x0C108
4 0 0000111|0010|011|011 0x01C9B
4 1 0001010|1000|101|111 0x02A2F
6 0 0010001|1000|100|101 0x04625
BX = 100 Event : 21
1 0 0011110|0010|100|001 0x078A1
2 0 0100011|0011|110|101 0x08CF5
2 1 0100100|0001|110|110 0x09076
3 0 0100110|0100|111|110 0x0993E
3 1 0100111|0100|110|111 0x09D37
4 0 0000011|1000|011|000 0x00E18
4 1 0000100|1000|011|111 0x0121F
4 2 0000101|0011|100|111 0x014E7
5 0 0001110|0001|111|110 0x0387E
6 0 0000110|0000|010|001 0x01811
6 1 0001111|1010|111|000 0x03EB8
BX = 101 Event : 22
3 0 0011110|0001|100|010 0x07862
3 1 0011111|1011|100|111 0x07EE7
3 2 0100100|1000|110|010 0x09232
3 3 0100101|0000|111|011 0x0943B
4 0 0000010|0000|100|000 0x00820
4 1 0000011|0001|011|010 0x00C5A
4 2 0000100|0011|010|110 0x010D6
4 3 0000101|1011|000|110 0x016C6
4 4 0000111|1011|000|111 0x01EC7
5 0 0010011|1001|010|111 0x04E57
BX = 110 Event : 23
0 0 0110010|0011|110|100 0x0C8F4
1 0 0110011|0010|101|000 0x0CCA8
2 0 0110000|1000|010|011 0x0C213
4 0 0001000|0011|110|100 0x020F4
5 0 0010110|0000|000|011 0x05803
5 1 0011000|0001|011|100 0x0605C
5 2 0011001|1000|101|111 0x0662F
6 0 0101000|0001|111|010 0x0A07A
6 1 0101001|0000|110|100 0x0A434
7 0 0011011|0010|100|000 0x06CA0
BX = 111 Event : 24
1 0 0100000|1010|010|100 0x08294
1 1 0100001|1010|011|100 0x0869C
1 2 0101110|0001|110|000 0x0B870
1 3 0101111|0000|110|100 0x0BC34
2 0 0100110|1001|011|100 0x09A5C
2 1 0100111|0010|011|100 0x09C9C
5 0 0000111|1001|111|010 0x01E7A
6 0 0000100|1010|100|011 0x012A3
7 0 0001111|0100|101|100 0x03D2C
BX = 000 Event : 25
0 0 0011010|0011|100|101 0x068E5
2 0 0011101|0010|101|011 0x074AB
2 1 0101111|1000|111|111 0x0BE3F
3 0 0110010|0100|110|011 0x0C933
3 1 0110011|0011|111|100 0x0CCFC
6 0 0001001|0011|011|101 0x024DD
7 0 0001100|0100|010|010 0x03112
7 1 0001101|0011|001|010 0x034CA
BX = 001 Event : 26
1 0 1000011|0000|111|011 0x10C3B
1 1 1000100|0100|110|011 0x11133
3 0 0111101|1001|000|010 0x0F642
