BX = 000 Event : 1
0 0 0010110|0011|010 0x0B1A
0 1 0011000|1100|011 0x0C63
0 2 0011001|0001|011 0x0C8B
0 3 0011010|1001|101 0x0D4D
2 0 0011110|1011|100 0x0F5C
2 1 0100010|1000|111 0x1147
4 0 0000011|1001|000 0x01C8
5 0 0000101|0100|000 0x02A0
5 1 0000110|0100|111 0x0327
6 0 0001000|0100|110 0x0426
BX = 001 Event : 2
0 0 0100000|0011|101 0x101D
0 1 0100001|0000|101 0x1085
0 2 0100010|0100|110 0x1126
4 0 0000110|1000|011 0x0343
6 0 0001000|1010|011 0x0453
7 0 0001100|0100|000 0x0620
BX = 010 Event : 3
1 0 0100010|0000|000 0x1100
2 0 0100100|0011|001 0x1219
2 1 0100101|0010|111 0x1297
6 0 0001011|0011|001 0x0599
6 1 0001100|0010|101 0x0615
7 0 0001101|1000|101 0x06C5
BX = 011 Event : 4
0 0 0100101|0000|110 0x1286
2 0 0101011|0000|100 0x1584
3 0 0101101|1000|000 0x16C0
3 1 0101110|0001|000 0x1708
4 0 0001111|0010|011 0x0793
5 0 0010101|1000|011 0x0AC3
6 0 0011000|0010|111 0x0C17
6 1 0011001|1001|111 0x0CCF
6 2 0011010|0011|111 0x0D1F
6 3 0011011|1000|111 0x0DC7
6 4 0011100|1010|111 0x0E57
6 5 0011101|0010|111 0x0E97
6 6 0011110|1000|111 0x0F47
6 7 0011111|1001|111 0x0FCF
6 8 0100000|0000|111 0x1007
7 0 0100001|0100|101 0x10A5
BX = 100 Event : 5
2 0 0101010|0011|100 0x151C
4 0 0001010|1001|010 0x054A
4 1 0001011|1001|010 0x05CA
4 2 0001100|1000|011 0x0643
4 3 0001101|0000|011 0x0683
4 4 0001110|0100|011 0x0723
BX = 101 Event : 6
0 0 0111011|1001|011 0x1DCB
0 1 1000010|0010|111 0x2117
2 0 1000110|0001|100 0x230C
3 0 1000111|0100|011 0x23A3
3 1 1001000|0010|100 0x2414
4 0 0001100|0001|011 0x060B
4 1 0001101|1010|011 0x06D3
4 2 0001110|1011|100 0x075C
5 0 0010000|0000|011 0x0803
6 0 0010010|0011|001 0x0919
6 1 0010011|0010|010 0x0992
7 0 0011000|1100|000 0x0C60
7 1 0011001|0000|000 0x0C80
7 2 0011010|1011|000 0x0D58
7 3 0011011|0100|010 0x0DA2
7 4 0100011|1000|101 0x11C5
7 5 0100100|0010|101 0x1215
7 6 0100101|0010|111 0x1297
BX = 110 Event : 7
0 0 0010111|0010|011 0x0B93
2 0 0011110|0100|001 0x0F21
2 1 0011111|1100|100 0x0FE4
3 0 0100011|0100|000 0x11A0
3 1 0100101|0100|110 0x12A6
3 2 0100110|1000|110 0x1346
3 3 0100111|1000|110 0x13C6
4 0 0001000|1010|011 0x0453
5 0 0001010|0011|101 0x051D
6 0 0001100|1000|110 0x0646
7 0 0001101|0010|100 0x0694
7 1 0010000|0010|101 0x0815
BX = 111 Event : 8
1 0 0011011|0011|111 0x0D9F
1 1 0011100|0010|111 0x0E17
1 2 0011101|0100|111 0x0EA7
2 0 0100000|0100|000 0x1020
2 1 0100110|1011|110 0x135E
3 0 0101001|1000|011 0x14C3
3 1 0101010|1011|011 0x155B
4 0 0001001|0011|010 0x049A
7 0 0010111|0011|011 0x0B9B
BX = 000 Event : 9
0 0 0101000|1000|010 0x1442
1 0 0101110|0010|000 0x1710
1 1 0101111|0011|000 0x1798
1 2 0110000|1011|000 0x1858
1 3 0110100|0010|100 0x1A14
1 4 0110101|1000|100 0x1AC4
1 5 0110110|1010|101 0x1B55
1 6 0110111|0010|111 0x1B97
2 0 0111000|0100|000 0x1C20
2 1 0111010|0010|100 0x1D14
2 2 0111011|1000|100 0x1DC4
3 0 1000010|0001|100 0x210C
3 1 1000011|1000|110 0x21C6
3 2 1000101|0000|111 0x2287
3 3 1000110|0001|111 0x230F
3 4 1000111|0011|111 0x239F
4 0 0000100|0100|110 0x0226
7 0 0001001|1100|101 0x04E5
7 1 0001010|1010|101 0x0555
7 2 0001011|1000|111 0x05C7
7 3 0001100|1000|111 0x0647
7 4 0001101|1001|111 0x06CF
7 5 0001110|1011|111 0x075F
BX = 001 Event : 10
3 0 0111110|0011|010 0x1F1A
5 0 0001011|1010|011 0x05D3
5 1 0001110|0000|101 0x0705
5 2 0010001|0010|110 0x0896
5 3 0010010|0010|111 0x0917
5 4 0010011|0001|111 0x098F
5 5 0010100|0001|111 0x0A0F
5 6 0010101|1000|111 0x0AC7
BX = 010 Event : 11
7 0 0010001|1100|111 0x08E7
BX = 011 Event : 12
0 0 0100110|0000|010 0x1302
2 0 0110001|0100|001 0x18A1
2 1 0110100|0011|011 0x1A1B
3 0 0110110|0000|010 0x1B02
4 0 0000111|1100|011 0x03E3
4 1 0001001|1100|110 0x04E6
7 0 0010101|1010|100 0x0AD4
7 1 0010110|0011|100 0x0B1C
BX = 100 Event : 13
0 0 0010111|0000|101 0x0B85
1 0 0011001|1000|000 0x0CC0
1 1 0011010|0100|010 0x0D22
1 2 0011011|1000|010 0x0DC2
1 3 0011100|0001|100 0x0E0C
1 4 0011101|1000|101 0x0EC5
2 0 0011111|0000|001 0x0F81
2 1 0100001|0000|111 0x1087
3 0 0100010|1001|011 0x114B
3 1 0100011|1000|111 0x11C7
6 0 0000100|1000|010 0x0242
7 0 0000101|0000|000 0x0280
7 1 0000110|1011|010 0x035A
7 2 0000111|1000|100 0x03C4
7 3 0001000|1001|100 0x044C
BX = 101 Event : 14
0 0 0100001|1010|110 0x10D6
0 1 0100010|1001|110 0x114E
1 0 0101001|0100|111 0x14A7
1 1 0101010|1000|111 0x1547
1 2 0101011|0011|111 0x159F
1 3 0101100|1001|111 0x164F
2 0 0101101|1010|000 0x16D0
2 1 0101110|1001|001 0x1749
3 0 0110010|0100|110 0x1926
7 0 0001101|1010|111 0x06D7
BX = 110 Event : 15
0 0 0011010|1000|000 0x0D40
0 1 0011011|0011|000 0x0D98
0 2 0011101|0010|010 0x0E92
0 3 0100000|0010|110 0x1016
1 0 0100001|1001|000 0x10C8
1 1 0100010|0100|000 0x1120
1 2 0100011|0011|000 0x1198
3 0 0100111|1011|100 0x13DC
4 0 0000100|1010|010 0x0252
6 0 0001010|1011|111 0x055F
7 0 0001011|0011|011 0x059B
BX = 111 Event : 16
2 0 0011010|1100|100 0x0D64
7 0 0001110|0011|100 0x071C
BX = 000 Event : 17
0 0 0001110|0100|011 0x0723
0 1 0001111|0010|011 0x0793
0 2 0010000|0011|101 0x081D
0 3 0010001|1011|101 0x08DD
1 0 0010010|0010|010 0x0912
2 0 0010101|1100|001 0x0AE1
3 0 0011001|0000|110 0x0C86
7 0 0000101|0000|010 0x0282
7 1 0000110|0000|100 0x0304
7 2 0000111|0010|101 0x0395
BX = 001 Event : 18
5 0 0000101|0001|000 0x0288
5 1 0000110|1100|000 0x0360
5 2 0000111|0000|010 0x0382
5 3 0001011|0000|101 0x0585
5 4 0001101|1011|101 0x06DD
5 5 0001111|0000|111 0x0787
6 0 0010001|1001|011 0x08CB
BX = 010 Event : 19
1 0 0100010|0100|101 0x1125
5 0 0000010|0001|010 0x010A
6 0 0000101|1011|001 0x02D9
6 1 0000110|1100|001 0x0361
6 2 0000111|1100|001 0x03E1
