0x05 0100010|0000111 0x1107
0x06 0100101|0000101 0x1285
0x07 0100101|0000111 0x1287
0x08 0101001|0000101 0x1485
0x09 0101001|0000111 0x1487
BX = 110 Event : 23
BX = 111 Event : 24
0x00 0011100|0100111 0x0E27
0x01 0011101|0100111 0x0EA7
0x02 1001101|0100111 0x26A7
BX = 000 Event : 25
BX = 001 Event : 26
0x00 0001100|0010011 0x0613
0x01 0001100|0100111 0x0627
0x02 0001110|0010011 0x0713
0x03 0001110|0100111 0x0727
0x04 0011111|0111101 0x0FBD
0x05 1000000|1000100 0x2044
BX = 010 Event : 27
BX = 011 Event : 28
0x00 0010101|0001000 0x0A88
BX = 100 Event : 29
0x00 0001111|0100110 0x07A6
0x01 0010000|0101011 0x082B
0x02 0010000|0101100 0x082C
0x03 0010001|0001010 0x088A
BX = 101 Event : 30
0x00 0100000|0111001 0x1039
0x01 0100000|0111011 0x103B
0x02 0100010|0111010 0x113A
0x03 0101011|0001100 0x158C
BX = 110 Event : 31
0x00 0100010|0101101 0x112D
0x01 0111000|0000100 0x1C04
0x02 0111000|0001011 0x1C0B
0x03 0111000|0001100 0x1C0C
0x04 0111001|0000100 0x1C84
0x05 0111001|0001011 0x1C8B
0x06 0111001|0001100 0x1C8C
0x07 0111100|0001100 0x1E0C
BX = 111 Event : 32
BX = 000 Event : 33
0x00 0100011|0010011 0x1193
BX = 001 Event : 34
0x00 0100101|0111101 0x12BD
0x01 0100110|0111100 0x133C
0x02 0100110|0111101 0x133D
0x03 0100111|0111100 0x13BC
0x04 0100111|0111101 0x13BD
0x05 1001011|1000011 0x25C3
BX = 010 Event : 35
0x00 0011011|0010111 0x0D97
BX = 011 Event : 36
BX = 100 Event : 37
0x00 0110101|0101010 0x1AAA
BX = 101 Event : 38
BX = 110 Event : 39
BX = 111 Event : 40
0x00 0110011|0011110 0x199E
BX = 000 Event : 41
BX = 001 Event : 42
BX = 010 Event : 43
0x00 0011111|1011101 0x0FDD
BX = 011 Event : 44
0x00 0100100|0010011 0x1213
BX = 100 Event : 45
0x00 0010001|0001110 0x088E
BX = 101 Event : 46
BX = 110 Event : 47
BX = 111 Event : 48
0x00 0100011|1000010 0x11C2
0x01 0100100|1000010 0x1242
0x02 0101000|0010010 0x1412
BX = 000 Event : 49
BX = 001 Event : 50
0x00 0100001|0100001 0x10A1
0x01 0100101|0100001 0x12A1
BX = 010 Event : 51
BX = 011 Event : 52
BX = 100 Event : 53
0x00 0001100|0000101 0x0605
BX = 101 Event : 54
BX = 110 Event : 55
0x00 0011101|0110111 0x0EB7
0x01 1000000|0100100 0x2024
BX = 111 Event : 56
BX = 000 Event : 57
0x00 0011101|0100101 0x0EA5
0x01 0011110|0100101 0x0F25
0x02 0100100|0011011 0x121B
BX = 001 Event : 58
BX = 010 Event : 59
0x00 0001000|0010011 0x0413
0x01 0001000|0100101 0x0425
0x02 0001011|0010011 0x0593
0x03 0001011|0100101 0x05A5
0x04 0001011|0010100 0x0594
0x05 0100011|1001110 0x11CE
0x06 0100100|1001110 0x124E
BX = 011 Event : 60
BX = 100 Event : 61
0x00 0010010|0011111 0x091F
0x01 0010011|0011111 0x099F
0x02 0100010|1000111 0x1147
BX = 101 Event : 62
BX = 110 Event : 63
0x00 0001110|0000100 0x0704
0x01 0001110|0000101 0x0705
BX = 111 Event : 64
0x00 0010110|0100011 0x0B23
0x01 0111100|0100011 0x1E23
0x02 0111100|0110000 0x1E30
BX = 000 Event : 65
0x00 0100111|0110011 0x13B3
0x01 0100111|1000111 0x13C7
BX = 001 Event : 66
0x00 0001011|0011010 0x059A
BX = 010 Event : 67
0x00 0010001|0011100 0x089C
BX = 011 Event : 68
BX = 100 Event : 69
0x00 0011001|1001011 0x0CCB
0x01 0011010|1001011 0x0D4B
BX = 101 Event : 70
0x00 0100101|1000101 0x12C5
0x01 0100101|1000110 0x12C6
0x02 0100111|1000110 0x13C6
BX = 110 Event : 71
0x00 0001010|0001011 0x050B
0x01 0001010|0011001 0x0519
0x02 0001010|0011110 0x051E
BX = 111 Event : 72
0x00 0010010|0101000 0x0928
0x01 0010110|0101100 0x0B2C
0x02 0101100|1010010 0x1652
0x03 0101100|1101000 0x1668
0x04 0101101|1010010 0x16D2
0x05 0101101|1101000 0x16E8
BX = 000 Event : 73
BX = 001 Event : 74
BX = 010 Event : 75
0x00 0011001|0010101 0x0C95
0x01 0011001|0100001 0x0CA1
0x02 0011001|0100010 0x0CA2
0x03 0011001|0100011 0x0CA3
0x04 0011001|0100111 0x0CA7
BX = 011 Event : 76
BX = 100 Event : 77
0x00 0101010|0001111 0x150F
0x01 0101011|0001111 0x158F
BX = 101 Event : 78
0x00 0011001|0000010 0x0C82
BX = 110 Event : 79
BX = 111 Event : 80
BX = 000 Event : 81
0x00 0100111|0010011 0x1393
BX = 001 Event : 82
0x00 0000110|0001100 0x030C
0x01 0000110|0001101 0x030D
BX = 010 Event : 83
0x00 0100100|0111110 0x123E
0x01 0100111|0111110 0x13BE
0x02 0111100|0111000 0x1E38
BX = 011 Event : 84
BX = 100 Event : 85
0x00 0100001|0110011 0x10B3
0x01 0100001|0111100 0x10BC
0x02 0101001|0000011 0x1483
