BX = 000 Event : 1
0x0c 1000100|0111001 0x2239
BX = 111 Event : 32
0x00 0001001|0010110 0x0496
0x01 0001101|0011011 0x069B
0x02 0001110|0011000 0x0718
0x03 0001110|0100010 0x0722
0x04 0010000|0011000 0x0818
0x05 0010000|0100010 0x0822
0x06 0101110|1000000 0x1740
0x07 0101110|1000010 0x1742
0x08 0110001|1000111 0x18C7
BX = 000 Event : 33
0x00 0001101|0001100 0x068C
BX = 001 Event : 34
0x00 0001100|0011101 0x061D
0x01 0001100|0011110 0x061E
0x02 0001110|0011101 0x071D
0x03 0001110|0011110 0x071E
0x04 0010011|0100110 0x09A6
0x05 0110001|1010100 0x18D4
BX = 010 Event : 35
BX = 011 Event : 36
0x00 0010001|0011011 0x089B
0x01 0010100|0010101 0x0A15
0x02 0010110|0011011 0x0B1B
0x03 0010110|0011111 0x0B1F
0x04 0010110|0100000 0x0B20
0x05 0101000|0110111 0x1437
0x06 0101001|0110101 0x14B5
BX = 100 Event : 37
0x00 0010100|0011000 0x0A18
0x01 0010101|0011000 0x0A98
0x02 0010110|0011001 0x0B19
0x03 0100110|0110010 0x1332
0x04 0100110|0110011 0x1333
0x05 0101001|0110010 0x14B2
0x06 0101001|0110011 0x14B3
0x07 0101110|1000100 0x1744
BX = 101 Event : 38
0x00 0010100|0010111 0x0A17
0x01 0111000|0111000 0x1C38
BX = 110 Event : 39
0x00 0001101|0011111 0x069F
0x01 0010100|0100010 0x0A22
0x02 0010110|0011101 0x0B1D
0x03 0010110|0100110 0x0B26
BX = 111 Event : 40
0x00 0011111|0010101 0x0F95
0x01 1000010|0101110 0x212E
BX = 000 Event : 41
0x00 0010110|0010111 0x0B17
BX = 001 Event : 42
0x00 0000100|0001011 0x020B
0x01 0000100|0010001 0x0211
0x02 0001100|0010101 0x0615
0x03 0001100|0010110 0x0616
BX = 010 Event : 43
0x00 0001111|0010010 0x0792
0x01 0001111|0011101 0x079D
0x02 0010000|0010001 0x0811
0x03 0101011|0111110 0x15BE
0x04 0101011|0111111 0x15BF
BX = 011 Event : 44
0x00 0000111|0010001 0x0391
0x01 0001010|0010001 0x0511
0x02 0001100|0010000 0x0610
0x03 0100101|1001010 0x12CA
0x04 0101000|1000101 0x1445
0x05 0101111|1001000 0x17C8
0x06 0101111|1001110 0x17CE
BX = 100 Event : 45
0x00 0001101|0001000 0x0688
0x01 0001101|0010000 0x0690
0x02 0001111|0001000 0x0788
0x03 0001111|0010000 0x0790
0x04 0010000|0001000 0x0808
0x05 0010000|0001111 0x080F
0x06 0010000|0010000 0x0810
0x07 0110110|0110101 0x1B35
0x08 0110111|0110101 0x1BB5
BX = 101 Event : 46
0x00 0001000|0010001 0x0411
0x01 0001000|0010011 0x0413
0x02 0001100|0001111 0x060F
0x03 0001101|0001111 0x068F
0x04 0010000|0011001 0x0819
0x05 0110010|1000011 0x1943
0x06 0110011|1000011 0x19C3
0x07 0111000|1000110 0x1C46
BX = 110 Event : 47
0x00 0001101|0010000 0x0690
0x01 0010000|0010010 0x0812
0x02 0010001|0011101 0x089D
0x03 0100100|0110101 0x1235
0x04 0100101|0110101 0x12B5
0x05 0110100|1001010 0x1A4A
0x06 0111000|1000011 0x1C43
0x07 0111101|1001010 0x1ECA
BX = 111 Event : 48
0x00 0001011|0011110 0x059E
0x01 0011011|0101001 0x0DA9
0x02 0100100|0110110 0x1236
0x03 0100110|0110110 0x1336
0x04 0110011|1000110 0x19C6
0x05 0110110|0110110 0x1B36
0x06 1000000|1010001 0x2051
0x07 1000000|1010101 0x2055
BX = 000 Event : 49
0x00 0010000|0010110 0x0816
0x01 0010000|0010111 0x0817
0x02 0010011|0010110 0x0996
0x03 0010011|0010111 0x0997
0x04 0111010|0111110 0x1D3E
BX = 001 Event : 50
0x00 0010001|0010010 0x0892
BX = 010 Event : 51
0x00 0001011|0010001 0x0591
0x01 0001011|0010111 0x0597
0x02 0001101|0001001 0x0689
0x03 0001101|0010011 0x0693
0x04 0100011|1000000 0x11C0
0x05 0100100|0111000 0x1238
BX = 011 Event : 52
0x00 0001011|0001111 0x058F
0x01 0001100|0001111 0x060F
0x02 0001101|0001111 0x068F
0x03 0010000|0001111 0x080F
0x04 0010010|0001111 0x090F
0x05 0010010|0010001 0x0911
0x06 0010011|0001111 0x098F
0x07 0010011|0010001 0x0991
0x08 0100010|0100100 0x1124
0x09 0110101|0110111 0x1AB7
0x0a 0110101|0111010 0x1ABA
0x0b 0110101|0111011 0x1ABB
0x0c 0111000|0110111 0x1C37
0x0d 0111000|0111010 0x1C3A
BX = 100 Event : 53
0x00 0101111|0100110 0x17A6
0x01 0101111|0101001 0x17A9
0x02 0111000|0110101 0x1C35
0x03 0111011|0111000 0x1DB8
0x04 0111011|0111010 0x1DBA
0x05 0111101|0111000 0x1EB8
0x06 0111101|0111010 0x1EBA
BX = 101 Event : 54
0x00 0100111|0011111 0x139F
0x01 0100111|0100111 0x13A7
0x02 0101011|0101110 0x15AE
BX = 110 Event : 55
0x00 0000100|0010011 0x0213
0x01 0000101|0001010 0x028A
