BX = 000 Event : 1
0x01 0000010|0000001 0x0101
0x02 0000011|0000001 0x0181
0x03 0001000|0001011 0x040B
0x04 0111001|0011000 0x1C98
BX = 001 Event : 26
0x00 0000001|0001000 0x0088
0x01 0000001|0001010 0x008A
0x02 0001000|0101010 0x042A
0x03 0011100|0001000 0x0E08
0x04 0011101|0001000 0x0E88
0x05 0011111|0001000 0x0F88
BX = 010 Event : 27
0x00 0000010|0000111 0x0107
0x01 0001111|0001110 0x078E
0x02 0001111|0001111 0x078F
0x03 0011111|0000000 0x0F80
0x04 0100101|0000111 0x1287
0x05 0100110|0000111 0x1307
0x06 0111000|0000000 0x1C00
BX = 011 Event : 28
0x00 0000000|0000010 0x0002
0x01 0000001|0000010 0x0082
0x02 0000100|0001011 0x020B
0x03 0000100|0001110 0x020E
0x04 0000100|0010001 0x0211
0x05 0000111|0001011 0x038B
0x06 0000111|0001110 0x038E
0x07 0000111|0010001 0x0391
0x08 0001001|0001011 0x048B
0x09 0001001|0001110 0x048E
0x0a 0001001|0010001 0x0491
0x0b 0111111|0101010 0x1FAA
BX = 100 Event : 29
0x00 0000001|0000101 0x0085
0x01 0000001|0000110 0x0086
0x02 0011111|0110100 0x0FB4
0x03 0101111|0101000 0x17A8
0x04 0110011|0110100 0x19B4
0x05 0110100|0110100 0x1A34
0x06 0110101|0110100 0x1AB4
BX = 101 Event : 30
0x00 0000001|0000011 0x0083
0x01 0000010|0000011 0x0103
0x02 0000010|0000110 0x0106
0x03 0000010|0000111 0x0107
0x04 0000011|0000010 0x0182
0x05 0000011|0000011 0x0183
0x06 0000011|0000110 0x0186
0x07 0000011|0000111 0x0187
0x08 0000011|0001011 0x018B
0x09 0110011|0000010 0x1982
0x0a 0110011|0000011 0x1983
0x0b 0110111|0000010 0x1B82
0x0c 0110111|0000011 0x1B83
0x0d 1011111|0000010 0x2F82
0x0e 1011111|0000011 0x2F83
BX = 110 Event : 31
0x00 0000110|0000101 0x0305
0x01 0000110|0000110 0x0306
0x02 0001101|0010100 0x0694
0x03 0011101|0100111 0x0EA7
BX = 111 Event : 32
0x00 0111110|0111101 0x1F3D
0x01 0111111|0111101 0x1FBD
BX = 000 Event : 33
0x00 0100111|0011101 0x139D
BX = 001 Event : 34
0x00 0011111|0110101 0x0FB5
0x01 0011111|0111101 0x0FBD
0x02 0100011|0000000 0x1180
0x03 0100011|0000001 0x1181
0x04 0100011|0000011 0x1183
0x05 0100011|1011101 0x11DD
0x06 1000111|0110101 0x23B5
0x07 1001001|1000111 0x24C7
0x08 1001001|0000000 0x2480
BX = 010 Event : 35
0x00 0111000|0110100 0x1C34
BX = 011 Event : 36
0x00 0000100|0000100 0x0204
0x01 0001010|0001010 0x050A
0x02 0011101|0010010 0x0E92
BX = 100 Event : 37
0x00 0000000|1000000 0x0040
0x01 0000100|0001000 0x0208
0x02 0111010|0001000 0x1D08
0x03 1010100|1000000 0x2A40
0x04 1010110|1000000 0x2B40
BX = 101 Event : 38
0x00 0000010|0000110 0x0106
0x01 0000010|0000111 0x0107
0x02 0001001|0010011 0x0493
0x03 0001101|0010111 0x0697
0x04 0010011|0010011 0x0993
BX = 110 Event : 39
0x00 0100101|0011010 0x129A
0x01 0100101|0011101 0x129D
0x02 0110101|0011010 0x1A9A
0x03 0110101|0011101 0x1A9D
0x04 0110110|0011010 0x1B1A
0x05 0110110|0011101 0x1B1D
BX = 111 Event : 40
0x00 0000001|0000010 0x0082
0x01 0000001|0000011 0x0083
0x02 0000001|0000101 0x0085
0x03 0000010|0000011 0x0103
0x04 0100010|0000010 0x1102
0x05 0100010|0000011 0x1103
0x06 0100010|0000101 0x1105
BX = 000 Event : 41
0x00 0001010|1000110 0x0546
0x01 0001100|1000110 0x0646
0x02 0101000|0100011 0x1423
0x03 0101001|0100011 0x14A3
0x04 1001001|0110011 0x24B3
BX = 001 Event : 42
BX = 010 Event : 43
0x00 0000110|0000111 0x0307
BX = 011 Event : 44
0x00 0001100|0011010 0x061A
BX = 100 Event : 45
0x00 0000010|0000010 0x0102
BX = 101 Event : 46
0x00 0100110|0101110 0x132E
0x01 0110111|0000111 0x1B87
BX = 110 Event : 47
0x00 0010011|0011000 0x0998
0x01 0010011|0011001 0x0999
0x02 0101111|0000011 0x1783
0x03 0101111|1001010 0x17CA
BX = 111 Event : 48
BX = 000 Event : 49
0x00 0000000|0111101 0x003D
0x01 0000100|0000001 0x0201
0x02 0010010|0000110 0x0906
0x03 0010010|0000111 0x0907
0x04 0110001|0000001 0x1881
0x05 0110001|0000110 0x1886
0x06 0110001|0000111 0x1887
0x07 0110011|0000110 0x1986
BX = 001 Event : 50
0x00 0000011|0000110 0x0186
0x01 0001011|0001100 0x058C
0x02 0001100|0001100 0x060C
BX = 010 Event : 51
0x00 0010000|0011100 0x081C
0x01 0101111|0110101 0x17B5
BX = 011 Event : 52
0x00 0000010|0000010 0x0102
0x01 0000010|0000100 0x0104
0x02 0000010|0000101 0x0105
0x03 0000100|0001111 0x020F
0x04 0000100|0010001 0x0211
0x05 0000101|0001111 0x028F
0x06 0000101|0010001 0x0291
0x07 0001100|0011001 0x0619
0x08 0001100|0011100 0x061C
0x09 0001101|0011001 0x0699
0x0a 0001101|0011100 0x069C
0x0b 0010110|0001111 0x0B0F
0x0c 0010110|0010001 0x0B11
0x0d 0011000|0011001 0x0C19
0x0e 0011000|0011100 0x0C1C
0x0f 0101010|0000010 0x1502
0x10 0101010|0000011 0x1503
0x11 0101011|0000010 0x1582
0x12 0101011|0000100 0x1584
0x13 0101011|0000101 0x1585
BX = 100 Event : 53
0x00 0100111|0100000 0x13A0
0x01 0100111|0100010 0x13A2
0x02 0101000|0100000 0x1420
0x03 0101000|0100010 0x1422
BX = 101 Event : 54
BX = 110 Event : 55
BX = 111 Event : 56
0x00 0000100|0000011 0x0203
0x01 0101011|0011110 0x159E
0x02 1000010|0011110 0x211E
0x03 1000011|0011110 0x219E
BX = 000 Event : 57
0x00 0000101|0000110 0x0286
0x01 0001101|0011101 0x069D
0x02 0010000|0011101 0x081D
0x03 0100000|0000110 0x1006
BX = 001 Event : 58
0x00 0011000|0101101 0x0C2D
0x01 0011001|0101101 0x0CAD
0x02 0011001|0101110 0x0CAE
0x03 0101001|0101101 0x14AD
BX = 010 Event : 59
0x00 0001101|0001101 0x068D
BX = 011 Event : 60
0x00 0010111|0011000 0x0B98
0x01 0100110|0110000 0x1330
0x02 0100111|0110000 0x13B0
0x03 1001100|0000000 0x2600
0x04 1001100|0000001 0x2601
0x05 1001101|0000001 0x2681
BX = 100 Event : 61
0x00 0000010|0000111 0x0107
0x01 0000011|0000111 0x0187
0x02 0101010|0111101 0x153D
0x03 0101101|0111101 0x16BD
0x04 0110100|0000111 0x1A07
0x05 1000111|0111101 0x23BD
BX = 101 Event : 62
0x00 0000001|0000011 0x0083
0x01 0000101|0000110 0x0286
0x02 0011110|0000011 0x0F03
0x03 0011111|0000011 0x0F83
0x04 0110000|0000011 0x1803
BX = 110 Event : 63
0x00 0000010|0000011 0x0103
0x01 0000011|0000011 0x0183
0x02 0011101|0001100 0x0E8C
0x03 0101011|0000011 0x1583
0x04 0101100|0000011 0x1603
0x05 0101101|0000011 0x1683
0x06 0111100|0011111 0x1E1F
0x07 0111101|0011111 0x1E9F
BX = 111 Event : 64
0x00 0000010|0000100 0x0104
0x01 0000011|0000100 0x0184
BX = 000 Event : 65
0x00 0011010|0101001 0x0D29
0x01 0101100|0101001 0x1629
BX = 001 Event : 66
0x00 0101111|0101101 0x17AD
0x01 0110101|0000001 0x1A81
0x02 0111010|0000101 0x1D05
BX = 010 Event : 67
0x00 0000011|0000010 0x0182
0x01 0000101|0000110 0x0286
0x02 0000101|0001001 0x0289
0x03 0000101|0001010 0x028A
0x04 0000110|0001001 0x0309
0x05 0011000|0011000 0x0C18
BX = 011 Event : 68
0x00 0011011|0000011 0x0D83
BX = 100 Event : 69
0x00 0110101|0001000 0x1A88
0x01 1000110|1000010 0x2342
0x02 1000110|1000011 0x2343
0x03 1001010|1000010 0x2542
0x04 1001101|1000010 0x26C2
BX = 101 Event : 70
0x00 0000010|0000001 0x0101
0x01 0000011|0000111 0x0187
0x02 0001111|0001010 0x078A
0x03 0011011|0000001 0x0D81
0x04 0011110|0000001 0x0F01
BX = 110 Event : 71
0x00 0000010|0000001 0x0101
0x01 0000011|0000011 0x0183
0x02 0000011|0000100 0x0184
0x03 0100000|0000001 0x1001
0x04 0100100|0000001 0x1201
0x05 0100110|0000011 0x1303
0x06 0100111|0000011 0x1383
0x07 0101000|0000011 0x1403
BX = 111 Event : 72
0x00 0010001|0100000 0x08A0
0x01 0011100|0101011 0x0E2B
0x02 0011100|0101110 0x0E2E
0x03 0011100|0110000 0x0E30
0x04 0110101|0101011 0x1AAB
0x05 0110101|0110000 0x1AB0
BX = 000 Event : 73
0x00 1000000|0111010 0x203A
0x01 1001000|0111110 0x243E
BX = 001 Event : 74
0x00 0000000|0000000 0x0000
0x01 0011110|0010110 0x0F16
BX = 010 Event : 75
BX = 011 Event : 76
0x00 0101000|0100101 0x1425
0x01 0101001|0100101 0x14A5
BX = 100 Event : 77
BX = 101 Event : 78
0x00 0001011|0011101 0x059D
0x01 0001011|0011110 0x059E
0x02 0010100|0011101 0x0A1D
0x03 0011101|0110001 0x0EB1
0x04 0101101|0110001 0x16B1
BX = 110 Event : 79
0x00 0000010|0000011 0x0103
0x01 0000101|0000011 0x0283
BX = 111 Event : 80
0x00 0001010|0001110 0x050E
0x01 0011111|0011001 0x0F99
0x02 1000001|1001101 0x20CD
BX = 000 Event : 81
0x00 0000010|0000100 0x0104
0x01 0101010|0000100 0x1504
0x02 0101010|0000101 0x1505
0x03 0101010|0000111 0x1507
BX = 001 Event : 82
0x00 0000100|0000010 0x0202
0x01 0000100|0000100 0x0204
0x02 0000110|0000010 0x0302
0x03 0000110|0000100 0x0304
0x04 0001011|0001011 0x058B
0x05 0001011|0001111 0x058F
0x06 0100110|0000010 0x1302
0x07 0110010|0011001 0x1919
BX = 010 Event : 83
0x00 0101100|0000000 0x1600
0x01 0110000|0000011 0x1803
BX = 011 Event : 84
