BX = 000 Event : 1
0x00 0011001|0010011 0x0C93
0x01 0011100|0010000 0x0E10
BX = 110 Event : 55
0x00 0011111|0010111 0x0F97
0x01 0100001|0010111 0x1097
0x02 0100010|0010100 0x1114
0x03 0100010|0010101 0x1115
0x04 0100010|0011010 0x111A
0x05 0100101|0110110 0x12B6
BX = 111 Event : 56
0x00 0100110|0011100 0x131C
BX = 000 Event : 57
0x00 0101101|0011101 0x169D
0x01 0101110|0011101 0x171D
BX = 001 Event : 58
BX = 010 Event : 59
0x00 0100000|0111011 0x103B
0x01 0100000|0111100 0x103C
0x02 0100001|0111011 0x10BB
0x03 0100001|0111100 0x10BC
BX = 011 Event : 60
BX = 100 Event : 61
0x00 0010101|0100100 0x0AA4
BX = 101 Event : 62
0x00 0100000|0110011 0x1033
BX = 110 Event : 63
0x00 0011100|0010000 0x0E10
0x01 0011111|0110001 0x0FB1
0x02 0011111|0110010 0x0FB2
0x03 0011111|0110011 0x0FB3
0x04 0100000|0110001 0x1031
0x05 0100000|0110010 0x1032
0x06 0100000|0110011 0x1033
BX = 111 Event : 64
0x00 0101110|0100011 0x1723
0x01 0101110|0100100 0x1724
0x02 0110110|0011001 0x1B19
BX = 000 Event : 65
BX = 001 Event : 66
BX = 010 Event : 67
0x00 0100110|0101010 0x132A
0x01 0100110|0101011 0x132B
0x02 0100110|0101100 0x132C
0x03 0101000|0101010 0x142A
0x04 0101000|0101100 0x142C
0x05 0101010|0101010 0x152A
0x06 0101010|0101100 0x152C
0x07 0110000|0101000 0x1828
0x08 0110011|0011011 0x199B
0x09 0110011|0100101 0x19A5
0x0a 0110011|0100111 0x19A7
0x0b 0110100|0011011 0x1A1B
0x0c 0110100|0100111 0x1A27
0x0d 0111010|1001000 0x1D48
BX = 011 Event : 68
0x00 0011100|0111111 0x0E3F
BX = 100 Event : 69
0x00 0101110|0101001 0x1729
0x01 0101110|0101010 0x172A
BX = 101 Event : 70
0x00 1000000|0110010 0x2032
BX = 110 Event : 71
BX = 111 Event : 72
0x00 0110101|0101100 0x1AAC
0x01 0110110|0100111 0x1B27
0x02 0111010|0100111 0x1D27
0x03 1000110|1010011 0x2353
0x04 1000111|1010011 0x23D3
0x05 1001011|1010110 0x25D6
BX = 000 Event : 73
0x00 0111100|1001110 0x1E4E
0x01 1000000|1001110 0x204E
BX = 001 Event : 74
0x00 0010101|0100010 0x0AA2
0x01 0011011|0011011 0x0D9B
0x02 0011100|0011011 0x0E1B
0x03 0011101|0111110 0x0EBE
0x04 0011101|0111111 0x0EBF
0x05 0011111|0111110 0x0FBE
BX = 010 Event : 75
0x00 0011111|0010111 0x0F97
0x01 0011111|0011111 0x0F9F
0x02 0100000|0010111 0x1017
0x03 0100000|0011111 0x101F
BX = 011 Event : 76
0x00 0101111|1001111 0x17CF
0x01 0110101|1011100 0x1ADC
BX = 100 Event : 77
0x00 0011101|0110001 0x0EB1
BX = 101 Event : 78
0x00 0010001|0011011 0x089B
0x01 0010111|0101101 0x0BAD
0x02 0011000|0101101 0x0C2D
BX = 110 Event : 79
BX = 111 Event : 80
0x00 0100110|0111111 0x133F
0x01 0100110|1000010 0x1342
0x02 0100111|0111111 0x13BF
0x03 0100111|1000010 0x13C2
0x04 0101000|0111111 0x143F
0x05 0101001|1000010 0x14C2
BX = 000 Event : 81
BX = 001 Event : 82
BX = 010 Event : 83
BX = 011 Event : 84
0x00 0110111|0011111 0x1B9F
BX = 100 Event : 85
0x00 0101000|0011001 0x1419
0x01 0101000|0011010 0x141A
0x02 0101011|0010010 0x1592
0x03 0110000|0001100 0x180C
0x04 0110111|1001010 0x1BCA
0x05 0111000|1001010 0x1C4A
0x06 0111000|1001101 0x1C4D
BX = 101 Event : 86
0x00 0101101|1000010 0x16C2
0x01 0101110|0111111 0x173F
0x02 0101110|1000001 0x1741
0x03 0101110|1000011 0x1743
0x04 0110000|0111111 0x183F
BX = 110 Event : 87
0x00 0110000|0111111 0x183F
0x01 0110000|1000000 0x1840
0x02 0110010|1000001 0x1941
BX = 111 Event : 88
0x00 0100000|0111110 0x103E
0x01 0100101|1000001 0x12C1
0x02 0100101|1000011 0x12C3
BX = 000 Event : 89
0x00 0100000|0101000 0x1028
0x01 0100000|0101001 0x1029
0x02 0100001|0100100 0x10A4
0x03 0100001|0101000 0x10A8
0x04 0100001|0101001 0x10A9
0x05 0101110|0111100 0x173C
BX = 001 Event : 90
BX = 010 Event : 91
0x00 0100011|0011100 0x119C
0x01 0101101|1001000 0x16C8
BX = 011 Event : 92
0x00 0100101|1001001 0x12C9
0x01 0101010|1001100 0x154C
0x02 0101010|1001110 0x154E
BX = 100 Event : 93
BX = 101 Event : 94
BX = 110 Event : 95
0x00 0100011|0101100 0x11AC
0x01 0100011|0101101 0x11AD
0x02 0101010|1001011 0x154B
BX = 111 Event : 96
BX = 000 Event : 97
0x00 0011100|0110010 0x0E32
0x01 0011100|0110011 0x0E33
0x02 0011110|0110011 0x0F33
0x03 0011111|0110010 0x0FB2
0x04 0011111|0110011 0x0FB3
BX = 001 Event : 98
0x00 0110000|0110011 0x1833
0x01 0110001|0110011 0x18B3
0x02 0110101|0100111 0x1AA7
BX = 010 Event : 99
0x00 0011100|0100010 0x0E22
0x01 0011101|0100010 0x0EA2
0x02 0101010|0111000 0x1538
0x03 0101010|0111011 0x153B
0x04 0101011|0111000 0x15B8
0x05 0101011|0111011 0x15BB
0x06 0101100|0111111 0x163F
0x07 0101100|1000001 0x1641
BX = 011 Event : 100
0x00 0100000|0010100 0x1014
