BX = 000 Event : 1
0x03 0000101|1000110 0x02C6
0x04 0010000|1010000 0x0850
0x05 0011000|0011100 0x0C1C
0x06 0101100|0110110 0x1636
0x07 0101101|0110110 0x16B6
0x08 0110000|0110110 0x1836
0x09 0110000|0111010 0x183A
BX = 111 Event : 88
0x00 0000110|1001110 0x034E
BX = 000 Event : 89
BX = 001 Event : 90
0x00 0110110|0100101 0x1B25
BX = 010 Event : 91
0x00 0000010|0110101 0x0135
0x01 0000110|0110101 0x0335
0x02 0000110|0111011 0x033B
0x03 0001101|0111011 0x06BB
BX = 011 Event : 92
0x00 0001000|1010001 0x0451
BX = 100 Event : 93
0x00 0010010|0011111 0x091F
0x01 0010010|0100010 0x0922
0x02 0100111|0110100 0x13B4
0x03 0100111|0110111 0x13B7
0x04 0101010|0110111 0x1537
0x05 0110000|1000010 0x1842
0x06 0110001|1000010 0x18C2
BX = 101 Event : 94
BX = 110 Event : 95
0x00 0001001|1001100 0x04CC
0x01 0001110|0001110 0x070E
BX = 111 Event : 96
BX = 000 Event : 97
0x00 0000100|0110000 0x0230
BX = 001 Event : 98
0x00 0000100|1100101 0x0265
0x01 0000101|1100010 0x02E2
0x02 0000101|1100101 0x02E5
0x03 0101101|0111111 0x16BF
0x04 0110100|1001110 0x1A4E
BX = 010 Event : 99
0x00 0001100|1010011 0x0653
0x01 0101010|0110011 0x1533
0x02 0101011|0110011 0x15B3
BX = 011 Event : 100
0x00 0000110|0110010 0x0332
0x01 0111110|0110001 0x1F31
0x02 0111110|0110100 0x1F34
0x03 0111110|0110101 0x1F35
