BX = 000 Event : 1
BX = 001 Event : 2
BX = 010 Event : 3
0x00 0110101|0101100 0x1AAC
BX = 110 Event : 47
0x00 0000111|0101110 0x03AE
0x01 0001000|0101110 0x042E
0x02 0001001|0101110 0x04AE
0x03 0001111|0000000 0x0780
0x04 0001111|0000010 0x0782
0x05 0001111|0000011 0x0783
BX = 111 Event : 48
0x00 0101111|0011110 0x179E
BX = 000 Event : 49
BX = 001 Event : 50
BX = 010 Event : 51
0x00 0011100|0011010 0x0E1A
BX = 011 Event : 52
0x00 0000010|0011100 0x011C
BX = 100 Event : 53
0x00 0000100|0000000 0x0200
BX = 101 Event : 54
BX = 110 Event : 55
BX = 111 Event : 56
BX = 000 Event : 57
0x00 0000000|0101011 0x002B
0x01 0000000|0101100 0x002C
0x02 0000000|0101101 0x002D
0x03 0000000|0101110 0x002E
0x04 0000000|0101111 0x002F
0x05 0000100|0101011 0x022B
0x06 0000100|0101100 0x022C
0x07 0000100|0101101 0x022D
0x08 0000100|0101110 0x022E
0x09 0000100|0101111 0x022F
0x0a 0000101|0101011 0x02AB
0x0b 0000101|0101100 0x02AC
0x0c 0000101|0101101 0x02AD
0x0d 0000101|0101110 0x02AE
0x0e 0000101|0101111 0x02AF
0x0f 0000111|0101011 0x03AB
0x10 0000111|0101100 0x03AC
0x11 0000111|0101101 0x03AD
0x12 0000111|0101110 0x03AE
0x13 0000111|0101111 0x03AF
0x14 0001001|0101111 0x04AF
0x15 1001100|0101011 0x262B
0x16 1001100|0101100 0x262C
0x17 1001100|0101101 0x262D
0x18 1001100|0101110 0x262E
0x19 1001100|0101111 0x262F
0x1a 1001101|0101011 0x26AB
0x1b 1001101|0101100 0x26AC
0x1c 1001101|0101101 0x26AD
0x1d 1001101|0101110 0x26AE
0x1e 1001101|0101111 0x26AF
BX = 001 Event : 58
BX = 010 Event : 59
0x00 0000110|0000011 0x0303
BX = 011 Event : 60
0x00 0101101|0101110 0x16AE
0x01 0101110|0101111 0x172F
0x02 0101110|0110000 0x1730
0x03 0110001|0101111 0x18AF
0x04 0110001|0110000 0x18B0
BX = 100 Event : 61
BX = 101 Event : 62
0x00 0000011|0100010 0x01A2
0x01 0000011|0100011 0x01A3
0x02 0000100|0100010 0x0222
0x03 0000100|0100011 0x0223
0x04 0001000|0000011 0x0403
BX = 110 Event : 63
BX = 111 Event : 64
0x00 0000110|0011110 0x031E
0x01 0001001|0000100 0x0484
BX = 000 Event : 65
0x00 0011110|0011111 0x0F1F
