BX = 000 Event : 1
0x0b 0100101|0011010 0x129A
0x0c 0100101|0011011 0x129B
BX = 010 Event : 43
BX = 011 Event : 44
0x00 0000000|0001011 0x000B
0x01 0011010|0101111 0x0D2F
BX = 100 Event : 45
BX = 101 Event : 46
0x00 0001100|0111000 0x0638
0x01 0001100|0111010 0x063A
BX = 110 Event : 47
0x00 0001101|0110001 0x06B1
BX = 111 Event : 48
0x00 0010011|0000100 0x0984
0x01 0010011|0000101 0x0985
0x02 0010011|0000111 0x0987
0x03 0010100|0000100 0x0A04
0x04 0010100|0000101 0x0A05
BX = 000 Event : 49
0x00 0000011|0100011 0x01A3
0x01 0000111|0110000 0x03B0
0x02 0001101|0110000 0x06B0
0x03 0011101|0000010 0x0E82
0x04 0011101|0000011 0x0E83
0x05 0011101|0000110 0x0E86
0x06 0011101|0001000 0x0E88
0x07 0101101|0100011 0x16A3
0x08 1000000|1010001 0x2051
0x09 1000011|1010001 0x21D1
0x0a 1000011|0000011 0x2183
0x0b 1000100|0000011 0x2203
BX = 001 Event : 50
0x00 0000011|0010001 0x0191
0x01 0000011|0010010 0x0192
0x02 0000011|0010110 0x0196
0x03 0000011|0010111 0x0197
BX = 010 Event : 51
0x00 0100000|0000000 0x1000
0x01 0100001|0000000 0x1080
BX = 011 Event : 52
BX = 100 Event : 53
0x00 0001011|0000000 0x0580
0x01 0001011|0000101 0x0585
0x02 0001011|1001001 0x05C9
0x03 0011011|1000111 0x0DC7
0x04 0011100|1000111 0x0E47
0x05 0011100|0000000 0x0E00
0x06 0011100|0000100 0x0E04
0x07 0011100|1001001 0x0E49
0x08 0011101|0000000 0x0E80
0x09 0011101|0000101 0x0E85
0x0a 0011101|1001001 0x0EC9
BX = 101 Event : 54
BX = 110 Event : 55
BX = 111 Event : 56
0x00 0001100|0011100 0x061C
0x01 0001100|0011110 0x061E
0x02 0010110|0100100 0x0B24
0x03 0101100|0010000 0x1610
BX = 000 Event : 57
0x00 0000011|0001111 0x018F
0x01 0001101|0011000 0x0698
0x02 0001101|0011010 0x069A
0x03 0011001|0001111 0x0C8F
BX = 001 Event : 58
0x00 0000000|0010000 0x0010
0x01 0011010|0001001 0x0D09
0x02 0100111|1001010 0x13CA
BX = 010 Event : 59
0x00 0011011|0100011 0x0DA3
BX = 011 Event : 60
