BX = 000 Event : 1
0x0a 0001101|0100001 0x06A1
0x0b 0001110|0100001 0x0721
0x0c 0101011|1001011 0x15CB
BX = 001 Event : 58
0x00 0111011|1000101 0x1DC5
BX = 010 Event : 59
BX = 011 Event : 60
0x00 0100011|0011010 0x119A
BX = 100 Event : 61
BX = 101 Event : 62
BX = 110 Event : 63
BX = 111 Event : 64
0x00 0010000|0011011 0x081B
0x01 0010000|0011100 0x081C
0x02 0010001|0011100 0x089C
0x03 0101000|0111011 0x143B
0x04 0101000|0111100 0x143C
0x05 0101000|1000110 0x1446
BX = 000 Event : 65
0x00 0001101|0010100 0x0694
BX = 001 Event : 66
0x00 0101111|0110100 0x17B4
BX = 010 Event : 67
0x00 0101011|0101100 0x15AC
0x01 0101011|0110000 0x15B0
0x02 0101011|0110010 0x15B2
0x03 0101110|0111010 0x173A
0x04 0101110|1000010 0x1742
0x05 0110111|0111010 0x1BBA
0x06 0110111|0111001 0x1BB9
0x07 0110111|1000010 0x1BC2
0x08 0110111|1000011 0x1BC3
0x09 0111000|0111010 0x1C3A
0x0a 0111000|1000010 0x1C42
BX = 011 Event : 68
0x00 0001111|0010100 0x0794
BX = 100 Event : 69
0x00 0010100|0100100 0x0A24
0x01 0011010|0101010 0x0D2A
0x02 0111000|1000101 0x1C45
0x03 0111000|1001011 0x1C4B
0x04 0111000|1001100 0x1C4C
0x05 0111111|1011010 0x1FDA
0x06 0111111|1011011 0x1FDB
0x07 1000001|1011010 0x20DA
0x08 1000001|1011011 0x20DB
BX = 101 Event : 70
0x00 0001100|0010110 0x0616
0x01 0001110|0010110 0x0716
0x02 0010011|0010010 0x0992
0x03 0010101|0010010 0x0A92
0x04 0010110|0010010 0x0B12
BX = 110 Event : 71
BX = 111 Event : 72
0x00 0101001|1001001 0x14C9
BX = 000 Event : 73
0x00 0000101|0010001 0x0291
0x01 0010100|0010111 0x0A17
0x02 0101111|0111010 0x17BA
BX = 001 Event : 74
BX = 010 Event : 75
BX = 011 Event : 76
0x00 0010110|0100111 0x0B27
0x01 0011000|0011110 0x0C1E
0x02 0011000|0100011 0x0C23
0x03 0111100|1000100 0x1E44
0x04 0111100|1001010 0x1E4A
BX = 100 Event : 77
0x00 0001000|0011000 0x0418
0x01 0001001|0011000 0x0498
BX = 101 Event : 78
BX = 110 Event : 79
BX = 111 Event : 80
0x00 0001100|0010010 0x0612
0x01 0001110|0010010 0x0712
BX = 000 Event : 81
0x00 0010001|0100110 0x08A6
0x01 0010010|0100110 0x0926
0x02 0011011|0101101 0x0DAD
0x03 0110101|1000010 0x1AC2
0x04 0110101|1000100 0x1AC4
BX = 001 Event : 82
0x00 0011110|0100111 0x0F27
BX = 010 Event : 83
0x00 0001110|0001111 0x070F
0x01 0010010|0010110 0x0916
0x02 0010010|0011000 0x0918
0x03 0010010|0011101 0x091D
BX = 011 Event : 84
0x00 0001110|0001110 0x070E
0x01 0010010|0001110 0x090E
BX = 100 Event : 85
0x00 0010111|0011001 0x0B99
0x01 0011010|0011001 0x0D19
0x02 0011010|0011010 0x0D1A
BX = 101 Event : 86
0x00 0011101|0100101 0x0EA5
BX = 110 Event : 87
0x00 0010100|0010101 0x0A15
BX = 111 Event : 88
0x00 0000101|0001111 0x028F
BX = 000 Event : 89
BX = 001 Event : 90
0x00 0001110|0010000 0x0710
0x01 0001110|0010001 0x0711
0x02 0001110|0010100 0x0714
0x03 0010111|0100001 0x0BA1
0x04 0010111|0100100 0x0BA4
0x05 0101011|0110100 0x15B4
0x06 0101100|0101110 0x162E
0x07 0101100|0110100 0x1634
BX = 010 Event : 91
0x00 0101010|0101001 0x1529
BX = 011 Event : 92
BX = 100 Event : 93
BX = 101 Event : 94
0x00 0001011|0010100 0x0594
0x01 0001011|0010110 0x0596
0x02 0001011|0011000 0x0598
0x03 0001011|0011001 0x0599
0x04 0011100|0110001 0x0E31
0x05 0011101|0110001 0x0EB1
0x06 0100100|0110010 0x1232
BX = 110 Event : 95
0x00 0001110|0011011 0x071B
0x01 0001111|0011011 0x079B
0x02 0010010|0010010 0x0912
0x03 0010010|0010110 0x0916
BX = 111 Event : 96
BX = 000 Event : 97
0x00 0101011|0101100 0x15AC
0x01 0101101|0101100 0x16AC
BX = 001 Event : 98
BX = 010 Event : 99
0x00 0010010|0010110 0x0916
0x01 0010101|0010110 0x0A96
BX = 011 Event : 100
