BX = 000 Event : 1
0x00 0000001|0000000 0x0080
0x01 0110100|0001000 0x1A08
0x02 0110100|0001011 0x1A0B
0x03 0110101|0001000 0x1A88
0x04 0110110|0001000 0x1B08
0x05 0110110|0001011 0x1B0B
0x06 1000101|0111110 0x22BE
BX = 001 Event : 74
0x00 0011101|0010110 0x0E96
BX = 010 Event : 75
BX = 011 Event : 76
0x00 0111010|0100001 0x1D21
BX = 100 Event : 77
0x00 0010010|0101011 0x092B
BX = 101 Event : 78
0x00 0100001|0000110 0x1086
BX = 110 Event : 79
0x00 0000011|0000011 0x0183
BX = 111 Event : 80
0x00 0010000|0011000 0x0818
0x01 0010000|0011001 0x0819
0x02 0010000|0011011 0x081B
0x03 0010001|0011000 0x0898
0x04 0010001|0011001 0x0899
0x05 0010001|0011011 0x089B
BX = 000 Event : 81
0x00 0111101|0011100 0x1E9C
0x01 0111110|0011100 0x1F1C
0x02 0111111|0011100 0x1F9C
0x03 1000010|0011100 0x211C
0x04 1000011|0011100 0x219C
BX = 001 Event : 82
0x00 0110001|0010101 0x1895
0x01 0110001|0011001 0x1899
0x02 0111011|0100100 0x1DA4
BX = 010 Event : 83
0x00 0010010|0010110 0x0916
0x01 0010010|0010111 0x0917
0x02 0110001|0000000 0x1880
0x03 1001010|0100011 0x2523
0x04 1001011|0100011 0x25A3
0x05 1001111|0000000 0x2780
BX = 011 Event : 84
0x00 0001000|0101100 0x042C
0x01 0001000|0101110 0x042E
0x02 0101101|0110101 0x16B5
0x03 0101110|0110101 0x1735
0x04 0111000|0111101 0x1C3D
BX = 100 Event : 85
0x00 0010010|0101000 0x0928
0x01 0110110|0000100 0x1B04
0x02 0110110|0000101 0x1B05
0x03 0111010|0000100 0x1D04
0x04 0111101|0000100 0x1E84
BX = 101 Event : 86
0x00 0111001|0100111 0x1CA7
BX = 110 Event : 87
0x00 0110000|0000100 0x1804
0x01 0110000|0000101 0x1805
0x02 0110000|0000110 0x1806
0x03 0110010|0001001 0x1909
0x04 0111000|0011101 0x1C1D
BX = 111 Event : 88
BX = 000 Event : 89
0x00 0100100|0001011 0x120B
BX = 001 Event : 90
0x00 0100010|0000111 0x1107
0x01 0100010|0001000 0x1108
0x02 0100010|0001011 0x110B
0x03 0100011|0001000 0x1188
0x04 0100100|0000111 0x1207
0x05 0100100|0001000 0x1208
0x06 0100100|0001011 0x120B
BX = 010 Event : 91
0x00 0011101|0101001 0x0EA9
0x01 0111010|0000111 0x1D07
0x02 0111101|0000111 0x1E87
BX = 011 Event : 92
BX = 100 Event : 93
0x00 0001000|0000100 0x0404
0x01 0001000|0001001 0x0409
0x02 0001001|0000100 0x0484
0x03 0001001|0001001 0x0489
0x04 1010100|0111110 0x2A3E
0x05 1010101|0111110 0x2ABE
BX = 101 Event : 94
0x00 0000010|0001000 0x0108
0x01 0100000|0000100 0x1004
0x02 0100000|0000110 0x1006
0x03 0100001|0000100 0x1084
0x04 0100001|0000110 0x1086
BX = 110 Event : 95
0x00 0101101|0000000 0x1680
0x01 0101110|0000000 0x1700
BX = 111 Event : 96
0x00 0010111|0000100 0x0B84
0x01 0010111|0000110 0x0B86
0x02 0011000|0000100 0x0C04
0x03 0011001|0000100 0x0C84
0x04 0100010|0100110 0x1126
0x05 0100011|0100110 0x11A6
BX = 000 Event : 97
0x00 0001011|0011001 0x0599
0x01 0101101|0000110 0x1686
0x02 0101101|0001001 0x1689
BX = 001 Event : 98
0x00 0000000|0111101 0x003D
