BX = 000 Event : 1
BX = 001 Event : 2
0x05 0010100|0011100 0x0A1C
BX = 000 Event : 57
0x00 0101010|0111100 0x153C
0x01 0101010|0111110 0x153E
0x02 0101101|0110100 0x16B4
0x03 0110010|1000110 0x1946
BX = 001 Event : 58
0x00 0001001|0011001 0x0499
0x01 0001010|0011001 0x0519
0x02 0001011|0011001 0x0599
0x03 0001101|0010111 0x0697
0x04 0001111|0011001 0x0799
0x05 0010000|0011001 0x0819
0x06 0010011|0011011 0x099B
0x07 0101010|0101101 0x152D
BX = 010 Event : 59
0x00 0110111|1000101 0x1BC5
BX = 011 Event : 60
0x00 0010010|0010111 0x0917
0x01 0010100|0100100 0x0A24
0x02 0111001|1000011 0x1CC3
0x03 0111001|1000111 0x1CC7
BX = 100 Event : 61
0x00 0001100|0010101 0x0615
BX = 101 Event : 62
0x00 0100110|0101110 0x132E
0x01 0100111|0101100 0x13AC
0x02 0100111|0111000 0x13B8
0x03 0101001|0101110 0x14AE
BX = 110 Event : 63
BX = 111 Event : 64
0x00 0010011|0010110 0x0996
BX = 000 Event : 65
0x00 0100110|0100100 0x1324
BX = 001 Event : 66
0x00 0010101|0100000 0x0AA0
0x01 0110010|1010100 0x1954
BX = 010 Event : 67
0x00 0010001|0011111 0x089F
0x01 0010001|0101011 0x08AB
0x02 0010010|0011111 0x091F
0x03 0010010|0101011 0x092B
0x04 0111011|1011000 0x1DD8
BX = 011 Event : 68
0x00 0001111|0010100 0x0794
BX = 100 Event : 69
BX = 101 Event : 70
BX = 110 Event : 71
0x00 0001100|0001101 0x060D
BX = 111 Event : 72
0x00 0010101|0101010 0x0AAA
BX = 000 Event : 73
BX = 001 Event : 74
BX = 010 Event : 75
0x00 0001101|0010110 0x0696
0x01 0001110|0011001 0x0719
0x02 0101101|0111101 0x16BD
0x03 0101111|0111110 0x17BE
0x04 0110010|0111110 0x193E
BX = 011 Event : 76
0x00 0001101|0011000 0x0698
0x01 0001110|0011011 0x071B
0x02 0110010|1001100 0x194C
BX = 100 Event : 77
0x00 0010001|0011000 0x0898
0x01 0010100|0011101 0x0A1D
0x02 0010101|0011101 0x0A9D
BX = 101 Event : 78
0x00 0001100|0001111 0x060F
0x01 0011001|0100100 0x0CA4
0x02 0011001|0100110 0x0CA6
0x03 0011001|0100111 0x0CA7
BX = 110 Event : 79
0x00 0100011|0100100 0x11A4
BX = 111 Event : 80
0x00 0010000|0011011 0x081B
0x01 0011110|0100110 0x0F26
0x02 0100100|0100110 0x1226
0x03 1000000|1001101 0x204D
0x04 1000000|1010010 0x2052
BX = 000 Event : 81
BX = 001 Event : 82
BX = 010 Event : 83
0x00 0001100|0011100 0x061C
0x01 0001101|0011100 0x069C
BX = 011 Event : 84
0x00 0110010|1000010 0x1942
0x01 0110011|1000010 0x19C2
0x02 0111000|1000101 0x1C45
0x03 0111001|0111111 0x1CBF
0x04 0111101|0111111 0x1EBF
BX = 100 Event : 85
0x00 0011101|0101000 0x0EA8
0x01 0110010|1000011 0x1943
0x02 0110111|1001101 0x1BCD
0x03 0110111|1010100 0x1BD4
BX = 101 Event : 86
0x00 0001101|0010010 0x0692
0x01 0001101|0011001 0x0699
0x02 0101101|1000000 0x16C0
BX = 110 Event : 87
BX = 111 Event : 88
0x00 0010101|0100001 0x0AA1
BX = 000 Event : 89
0x00 0101100|0110101 0x1635
0x01 0101100|0111000 0x1638
0x02 0101100|0111001 0x1639
BX = 001 Event : 90
0x00 0111011|0110100 0x1DB4
BX = 010 Event : 91
BX = 011 Event : 92
0x00 0010000|0100001 0x0821
BX = 100 Event : 93
0x00 0111001|1010100 0x1CD4
BX = 101 Event : 94
0x00 0001101|0001100 0x068C
0x01 0110011|0101011 0x19AB
0x02 0110100|0101101 0x1A2D
BX = 110 Event : 95
0x00 0001010|0010011 0x0513
BX = 111 Event : 96
0x00 0011101|0010111 0x0E97
0x01 0011110|0010111 0x0F17
0x02 0011110|0011001 0x0F19
0x03 0101101|0100110 0x16A6
0x04 0101101|0101100 0x16AC
0x05 0101101|0101101 0x16AD
0x06 0101110|0100110 0x1726
0x07 0101110|0101101 0x172D
BX = 000 Event : 97
0x00 0010000|0010011 0x0813
0x01 0010001|0010110 0x0896
0x02 0100010|0101100 0x112C
0x03 0100010|0101110 0x112E
0x04 0100010|0101111 0x112F
BX = 001 Event : 98
0x00 0010011|0100011 0x09A3
0x01 0110100|0110111 0x1A37
BX = 010 Event : 99
0x00 0001100|0011010 0x061A
0x01 0111101|1001100 0x1ECC
BX = 011 Event : 100
