BX = 000 Event : 1
0x0c 0001110|0010011 0x0713
0x0d 0001110|0010110 0x0716
0x0e 0001111|0010110 0x0796
0x0f 0010000|0001100 0x080C
0x10 0011110|0001100 0x0F0C
0x11 0100000|0100110 0x1026
0x12 0100010|0100000 0x1120
0x13 0100010|0100010 0x1122
0x14 0100010|0101100 0x112C
0x15 0100011|0101011 0x11AB
0x16 0100011|0101100 0x11AC
0x17 0110111|0100110 0x1BA6
0x18 0111001|0100000 0x1CA0
0x19 0111001|0100010 0x1CA2
0x1a 0111001|0101100 0x1CAC
BX = 111 Event : 80
0x00 0001100|0011101 0x061D
0x01 0001101|0010000 0x0690
0x02 0001101|0010011 0x0693
0x03 0001110|0010000 0x0710
0x04 0001110|0010011 0x0713
0x05 0001111|0010011 0x0793
0x06 0011111|0011101 0x0F9D
0x07 0100000|0011101 0x101D
0x08 0100100|0010000 0x1210
0x09 0100100|0010100 0x1214
0x0a 0100100|0011100 0x121C
0x0b 0100101|0010000 0x1290
0x0c 0100101|0010100 0x1294
0x0d 0100101|0011100 0x129C
0x0e 0111100|0110100 0x1E34
0x0f 0111101|0110011 0x1EB3
0x10 0111110|0110011 0x1F33
BX = 000 Event : 81
0x00 0001001|0001111 0x048F
0x01 0010110|0001111 0x0B0F
0x02 0011001|0001111 0x0C8F
0x03 0101110|0100001 0x1721
BX = 001 Event : 82
0x00 0001011|0010011 0x0593
0x01 0010010|0010011 0x0913
0x02 0010010|0010101 0x0915
0x03 0010010|0010110 0x0916
0x04 0010011|0001001 0x0989
0x05 0100010|0110010 0x1132
BX = 010 Event : 83
0x00 0011010|0110110 0x0D36
0x01 0011010|0111001 0x0D39
BX = 011 Event : 84
0x00 0010011|0011010 0x099A
0x01 0010011|0011011 0x099B
0x02 0010011|0011100 0x099C
0x03 0100001|0010111 0x1097
0x04 0100100|0101010 0x122A
0x05 0100100|0101011 0x122B
0x06 0100100|0101101 0x122D
0x07 0100101|0101010 0x12AA
0x08 0100101|0101011 0x12AB
0x09 1000000|0101010 0x202A
0x0a 1000000|0101011 0x202B
0x0b 1000000|0101101 0x202D
0x0c 1000001|0101010 0x20AA
0x0d 1000001|0101011 0x20AB
BX = 100 Event : 85
0x00 0010100|0001001 0x0A09
0x01 0010100|0001111 0x0A0F
0x02 0010100|0010000 0x0A10
0x03 0101000|0010100 0x1414
0x04 0101001|0001001 0x1489
0x05 0101011|0001001 0x1589
0x06 0101011|0001010 0x158A
0x07 0101111|0110011 0x17B3
0x08 0110100|1000111 0x1A47
0x09 1000011|0110011 0x21B3
0x0a 1000100|1000001 0x2241
0x0b 1000100|1000011 0x2243
0x0c 1000100|1001000 0x2248
0x0d 1000101|1000001 0x22C1
0x0e 1000101|1000011 0x22C3
0x0f 1000101|1001000 0x22C8
BX = 101 Event : 86
0x00 0101000|0010111 0x1417
0x01 0101010|0010011 0x1513
0x02 0101101|0111001 0x16B9
0x03 0110001|0111110 0x18BE
0x04 0110001|1000000 0x18C0
0x05 1001001|0111110 0x24BE
0x06 1001001|1000000 0x24C0
0x07 1001010|0111110 0x253E
0x08 1001010|1000000 0x2540
BX = 110 Event : 87
0x00 0010001|0001100 0x088C
0x01 0010001|0010011 0x0893
0x02 0011110|0011111 0x0F1F
0x03 0100100|0100000 0x1220
0x04 0100101|0011111 0x129F
BX = 111 Event : 88
0x00 0000111|0001111 0x038F
0x01 0000111|0010101 0x0395
0x02 0010011|0001111 0x098F
0x03 0010011|0010101 0x0995
0x04 0010100|0001111 0x0A0F
0x05 0010100|0010101 0x0A15
0x06 0010101|0001111 0x0A8F
0x07 0010101|0010101 0x0A95
BX = 000 Event : 89
0x00 0001110|0011100 0x071C
0x01 0011011|0011100 0x0D9C
0x02 0100001|0111010 0x10BA
BX = 001 Event : 90
0x00 0001010|0011011 0x051B
0x01 0100011|0110011 0x11B3
0x02 0100011|0110100 0x11B4
0x03 0100011|0110101 0x11B5
0x04 0110001|0110011 0x18B3
BX = 010 Event : 91
0x00 0101000|0101110 0x142E
0x01 0101000|0101111 0x142F
0x02 0101001|0101111 0x14AF
0x03 0101001|0110101 0x14B5
0x04 0101011|0101110 0x15AE
0x05 0101011|0101111 0x15AF
0x06 0101011|0110101 0x15B5
0x07 0101100|0111010 0x163A
0x08 1000001|0101110 0x20AE
0x09 1000001|0101111 0x20AF
0x0a 1000011|0111010 0x21BA
0x0b 1000100|0111010 0x223A
0x0c 1000100|0111011 0x223B
0x0d 1000101|0111010 0x22BA
BX = 011 Event : 92
0x00 0001011|0010110 0x0596
0x01 0001100|0010110 0x0616
0x02 0100000|0010110 0x1016
0x03 0100001|0010110 0x1096
0x04 0100010|0010110 0x1116
BX = 100 Event : 93
0x00 0010111|0100001 0x0BA1
0x01 0011000|0010100 0x0C14
0x02 0101001|0100001 0x14A1
0x03 0101010|0100001 0x1521
0x04 0101101|0001011 0x168B
0x05 0110000|1000001 0x1841
0x06 0110001|0111111 0x18BF
0x07 0110001|1000001 0x18C1
0x08 0110001|1000110 0x18C6
0x09 0110001|1001000 0x18C8
0x0a 0110001|1001010 0x18CA
0x0b 0110010|0111111 0x193F
0x0c 0110010|1000001 0x1941
0x0d 0110010|1000110 0x1946
0x0e 0110010|1001000 0x1948
0x0f 0110010|1001010 0x194A
0x10 0110011|0111111 0x19BF
0x11 0110011|1000001 0x19C1
0x12 0110011|1000110 0x19C6
0x13 0110011|1001000 0x19C8
0x14 0110011|1001010 0x19CA
0x15 0110100|0111111 0x1A3F
0x16 0110100|1000001 0x1A41
0x17 0110100|1000110 0x1A46
0x18 0110100|1001000 0x1A48
0x19 0110100|1001010 0x1A4A
0x1a 0110101|0111111 0x1ABF
0x1b 0110101|1001000 0x1AC8
0x1c 0110101|1001010 0x1ACA
0x1d 0110111|1001000 0x1BC8
0x1e 0110111|1001010 0x1BCA
BX = 101 Event : 94
0x00 0001000|0011000 0x0418
0x01 0101011|0110010 0x15B2
BX = 110 Event : 95
0x00 0010010|0010110 0x0916
0x01 0010010|0011100 0x091C
0x02 0010011|0010110 0x0996
0x03 0010011|0011100 0x099C
0x04 0010100|0010000 0x0A10
0x05 0100100|0100100 0x1224
0x06 0101000|0001110 0x140E
0x07 0101000|0010000 0x1410
0x08 0101000|0011010 0x141A
0x09 0101010|0001110 0x150E
0x0a 0101010|0010000 0x1510
0x0b 0101010|0011010 0x151A
0x0c 0101100|0111111 0x163F
0x0d 0101100|1000111 0x1647
BX = 111 Event : 96
BX = 000 Event : 97
0x00 0010010|0011010 0x091A
0x01 0011110|0010011 0x0F13
0x02 0011110|0011010 0x0F1A
0x03 0100011|0100011 0x11A3
0x04 0100011|0101100 0x11AC
0x05 0110110|0100011 0x1B23
0x06 0110111|0100011 0x1BA3
BX = 001 Event : 98
0x00 0001111|0011100 0x079C
0x01 0001111|0100011 0x07A3
0x02 0001111|0100100 0x07A4
0x03 0001111|0101001 0x07A9
0x04 0101001|0011100 0x149C
0x05 0101001|0101000 0x14A8
0x06 0101001|0101011 0x14AB
0x07 0101100|0011100 0x161C
0x08 0101100|0100011 0x1623
0x09 0101100|0100100 0x1624
0x0a 0101100|0101001 0x1629
BX = 010 Event : 99
0x00 0010110|0010010 0x0B12
0x01 0110101|0010010 0x1A92
0x02 0110101|0010101 0x1A95
0x03 0110101|0011100 0x1A9C
0x04 1001010|0110011 0x2533
BX = 011 Event : 100
0x00 0001100|0010011 0x0613
0x01 0001100|0011011 0x061B
0x02 0001110|0010011 0x0713
0x03 0001110|0011011 0x071B
0x04 0001111|0000110 0x0786
0x05 0010000|0000110 0x0806
0x06 0010111|0010110 0x0B96
0x07 0011000|0010011 0x0C13
0x08 0011000|0011011 0x0C1B
0x09 0011011|0000110 0x0D86
0x0a 0011100|0000110 0x0E06
0x0b 0011101|0101101 0x0EAD
0x0c 0011110|0110110 0x0F36
