BX = 000 Event : 1
0x00 0000011|0010101 0x0195
0x01 0010011|0000011 0x0983
0x02 0011011|0001011 0x0D8B
BX = 010 Event : 51
BX = 011 Event : 52
0x00 0000010|0011110 0x011E
0x01 0010111|0000100 0x0B84
0x02 0010111|0001000 0x0B88
0x03 0101101|1001100 0x16CC
BX = 100 Event : 53
0x00 0001111|0001001 0x0789
0x01 0010101|0110010 0x0AB2
0x02 0011000|0111010 0x0C3A
0x03 0011000|0111100 0x0C3C
0x04 0011100|1000011 0x0E43
BX = 101 Event : 54
BX = 110 Event : 55
BX = 111 Event : 56
0x00 0110111|0101010 0x1BAA
BX = 000 Event : 57
0x00 0100100|0101010 0x122A
BX = 001 Event : 58
0x00 0000000|0001110 0x000E
BX = 010 Event : 59
BX = 011 Event : 60
0x00 0010101|1001001 0x0AC9
0x01 0011001|0000111 0x0C87
0x02 0101100|0111011 0x163B
BX = 100 Event : 61
BX = 101 Event : 62
0x00 0000001|0010110 0x0096
0x01 0000001|0010111 0x0097
0x02 0000101|0010110 0x0296
0x03 0000101|0010111 0x0297
0x04 0011100|0000101 0x0E05
BX = 110 Event : 63
0x00 0011111|0110000 0x0FB0
BX = 111 Event : 64
0x00 0000011|0011001 0x0199
BX = 000 Event : 65
BX = 001 Event : 66
0x00 0011011|0101101 0x0DAD
0x01 0011011|0110000 0x0DB0
BX = 010 Event : 67
0x00 0010000|0010011 0x0813
0x01 0010000|0010100 0x0814
0x02 0010000|0011110 0x081E
0x03 0010000|0100010 0x0822
0x04 0100001|1100010 0x10E2
BX = 011 Event : 68
0x00 0000110|0101001 0x0329
0x01 0001000|0110000 0x0430
0x02 0001001|0110000 0x04B0
BX = 100 Event : 69
BX = 101 Event : 70
0x00 0001001|0100001 0x04A1
0x01 0010000|0100110 0x0826
0x02 0011000|0001100 0x0C0C
0x03 0011001|0001100 0x0C8C
0x04 0011011|0001100 0x0D8C
0x05 0011011|0010111 0x0D97
0x06 0011101|0001100 0x0E8C
0x07 0011101|0010111 0x0E97
BX = 110 Event : 71
BX = 111 Event : 72
0x00 0001011|0011101 0x059D
0x01 0100111|0111001 0x13B9
0x02 0101100|0111111 0x163F
0x03 0101101|0111111 0x16BF
BX = 000 Event : 73
0x00 0010111|0001011 0x0B8B
BX = 001 Event : 74
