BX = 000 Event : 1
0x00 0010100|1000000 0x0A40
0x01 0010110|1000000 0x0B40
0x02 0101000|0000000 0x1400
0x03 1000010|0111100 0x213C
BX = 011 Event : 92
0x00 1000001|0011111 0x209F
0x01 1001000|0011111 0x241F
0x02 1001000|0100001 0x2421
0x03 1001000|0100011 0x2423
0x04 1001000|0100100 0x2424
BX = 100 Event : 93
0x00 0110010|0101100 0x192C
0x01 0110011|0101100 0x19AC
BX = 101 Event : 94
0x00 0000001|0000001 0x0081
0x01 0001000|0000010 0x0402
0x02 0001011|0000010 0x0582
0x03 0010111|0101001 0x0BA9
0x04 0011011|0000001 0x0D81
BX = 110 Event : 95
0x00 0011101|0000000 0x0E80
BX = 111 Event : 96
BX = 000 Event : 97
BX = 001 Event : 98
BX = 010 Event : 99
0x00 0101101|0000000 0x1680
0x01 0101101|0000001 0x1681
0x02 0111011|0011100 0x1D9C
BX = 011 Event : 100
0x00 0010101|0000100 0x0A84
0x01 0010110|0000100 0x0B04
