BX = 000 Event : 1
BX = 001 Event : 2
0x05 0101100|0111000 0x1638
BX = 111 Event : 40
0x00 0010000|0011000 0x0818
BX = 000 Event : 41
0x00 0011000|0001011 0x0C0B
0x01 0011101|0010101 0x0E95
0x02 0011110|0010101 0x0F15
0x03 0100000|0011010 0x101A
0x04 0110010|0110111 0x1937
BX = 001 Event : 42
0x00 0000010|0001011 0x010B
0x01 0011010|0001011 0x0D0B
BX = 010 Event : 43
0x00 0000000|1000100 0x0044
0x01 0010110|0001011 0x0B0B
0x02 0100010|0110011 0x1133
0x03 0100010|0110100 0x1134
BX = 011 Event : 44
BX = 100 Event : 45
0x00 0011111|0010100 0x0F94
0x01 0100000|0010100 0x1014
BX = 101 Event : 46
0x00 0000000|1010001 0x0051
0x01 0000101|1010001 0x02D1
0x02 0010110|0101111 0x0B2F
0x03 0100101|0101111 0x12AF
BX = 110 Event : 47
BX = 111 Event : 48
BX = 000 Event : 49
0x00 0000001|0111110 0x00BE
0x01 0000001|1000100 0x00C4
0x02 0000010|0111110 0x013E
0x03 0000010|1000010 0x0142
0x04 0001100|1000100 0x0644
0x05 0001111|1000100 0x07C4
0x06 0101110|0111110 0x173E
0x07 0101110|1000100 0x1744
BX = 001 Event : 50
0x00 0101110|0101101 0x172D
BX = 010 Event : 51
0x00 0000011|1010100 0x01D4
0x01 0000011|0010000 0x0190
0x02 0011000|0010000 0x0C10
BX = 011 Event : 52
0x00 0100000|0110110 0x1036
0x01 0100010|0110110 0x1136
0x02 0100100|0110110 0x1236
BX = 100 Event : 53
0x00 0011010|0110110 0x0D36
BX = 101 Event : 54
BX = 110 Event : 55
0x00 0000010|1001110 0x014E
0x01 0100000|0110010 0x1032
BX = 111 Event : 56
0x00 0011001|0001100 0x0C8C
0x01 0011010|0001100 0x0D0C
BX = 000 Event : 57
0x00 0000011|1010100 0x01D4
0x01 0000011|1010101 0x01D5
0x02 0000100|1010100 0x0254
0x03 0101110|1000010 0x1742
BX = 001 Event : 58
0x00 0001111|0001000 0x0788
0x01 0010000|0011101 0x081D
0x02 0010101|0100101 0x0AA5
0x03 0010101|0100111 0x0AA7
0x04 0010110|0100101 0x0B25
0x05 0010110|0100111 0x0B27
BX = 010 Event : 59
0x00 0001010|0001111 0x050F
0x01 0010101|0010111 0x0A97
0x02 0011110|0010111 0x0F17
0x03 0011110|0100000 0x0F20
BX = 011 Event : 60
0x00 0000001|1001101 0x00CD
0x01 0010100|0010010 0x0A12
0x02 0010100|0010110 0x0A16
0x03 0010101|0010010 0x0A92
0x04 0010101|0010101 0x0A95
0x05 0010101|0010110 0x0A96
0x06 0010101|0011001 0x0A99
0x07 0100010|0101000 0x1128
0x08 0100011|0101000 0x11A8
0x09 1000010|0101000 0x2128
BX = 100 Event : 61
0x00 0000100|1010100 0x0254
0x01 0000101|1010100 0x02D4
0x02 0000110|1010100 0x0354
0x03 0010000|0011100 0x081C
0x04 0100100|0101000 0x1228
0x05 0100100|0101100 0x122C
0x06 0100100|0101101 0x122D
0x07 0100111|0110000 0x13B0
0x08 0110111|1010100 0x1BD4
BX = 101 Event : 62
0x00 0000000|1001010 0x004A
0x01 0000010|1001010 0x014A
0x02 0000010|1001011 0x014B
0x03 0000011|1001011 0x01CB
0x04 0000110|1001010 0x034A
0x05 0000110|1001011 0x034B
0x06 0001001|0001111 0x048F
0x07 0010110|0001111 0x0B0F
BX = 110 Event : 63
0x00 0000100|0111100 0x023C
0x01 0011110|0011000 0x0F18
0x02 0100111|0101110 0x13AE
BX = 111 Event : 64
0x00 0100010|0101001 0x1129
BX = 000 Event : 65
0x00 0000001|1001101 0x00CD
0x01 0000010|1001101 0x014D
0x02 0000100|1011000 0x0258
0x03 0000100|1011101 0x025D
0x04 0010011|0010101 0x0995
0x05 0011111|1001101 0x0FCD
BX = 001 Event : 66
0x00 0000000|1001101 0x004D
0x01 0000010|1001101 0x014D
0x02 0000011|1001101 0x01CD
0x03 0000110|1010110 0x0356
