BX = 000 Event : 1
0x03 0001000|0010001 0x0411
0x04 0001001|0010000 0x0490
0x05 0001001|0010001 0x0491
BX = 110 Event : 15
0x00 0011011|0011010 0x0D9A
0x01 0011110|0011010 0x0F1A
0x02 0100001|0011010 0x109A
0x03 0100011|0011010 0x119A
BX = 111 Event : 16
0x00 0000011|0010001 0x0191
0x01 0010010|0100000 0x0920
BX = 000 Event : 17
0x00 0111100|0111001 0x1E39
0x01 0111100|0111011 0x1E3B
BX = 001 Event : 18
0x00 0110000|0110000 0x1830
BX = 010 Event : 19
0x00 0000000|0000001 0x0001
0x01 0000010|0000001 0x0101
0x02 0000011|0000001 0x0181
0x03 0110100|0110010 0x1A32
0x04 0110101|0110010 0x1AB2
0x05 0110101|0110011 0x1AB3
BX = 011 Event : 20
0x00 0001101|0001110 0x068E
0x01 0010111|0011010 0x0B9A
0x02 0011000|0011010 0x0C1A
BX = 100 Event : 21
BX = 101 Event : 22
0x00 0010110|0010111 0x0B17
BX = 110 Event : 23
BX = 111 Event : 24
0x00 0001001|0001000 0x0488
0x01 0001001|0001011 0x048B
0x02 0001101|0001111 0x068F
0x03 0001110|0001111 0x070F
BX = 000 Event : 25
0x00 0001101|0010001 0x0691
BX = 001 Event : 26
0x00 0101111|1001111 0x17CF
0x01 0101111|1001011 0x17CB
BX = 010 Event : 27
0x00 0111100|0000000 0x1E00
0x01 0111101|0000000 0x1E80
BX = 011 Event : 28
0x00 0110110|1000101 0x1B45
0x01 0111101|1001011 0x1ECB
0x02 0111101|1001110 0x1ECE
BX = 100 Event : 29
0x00 0000011|0010100 0x0194
0x01 0000011|0010101 0x0195
0x02 0000011|0010111 0x0197
0x03 0000110|0010100 0x0314
0x04 0000110|0010101 0x0315
0x05 0000110|0010111 0x0317
0x06 0000111|0010101 0x0395
0x07 0000111|0010111 0x0397
0x08 0001000|0010101 0x0415
0x09 0001000|0010111 0x0417
BX = 101 Event : 30
0x00 0000000|1001111 0x004F
0x01 0000100|0001010 0x020A
BX = 110 Event : 31
0x00 0000010|0000011 0x0103
0x01 0000011|0000011 0x0183
BX = 111 Event : 32
0x00 0011110|0100000 0x0F20
0x01 0011110|0100101 0x0F25
0x02 0100000|0100101 0x1025
0x03 0100001|0100101 0x10A5
0x04 0110111|1000010 0x1BC2
BX = 000 Event : 33
BX = 001 Event : 34
0x00 0000110|0000001 0x0301
0x01 0110100|0111001 0x1A39
0x02 0110110|0111001 0x1B39
0x03 0110111|0111001 0x1BB9
0x04 0111110|1000000 0x1F40
0x05 0111111|1000000 0x1FC0
BX = 010 Event : 35
0x00 0000101|0001000 0x0288
0x01 0000110|0001000 0x0308
0x02 0100101|0101010 0x12AA
0x03 0100101|0101011 0x12AB
0x04 0110100|0110111 0x1A37
BX = 011 Event : 36
BX = 100 Event : 37
0x00 0000001|0000010 0x0082
0x01 0011001|0011011 0x0C9B
BX = 101 Event : 38
0x00 0000111|0000101 0x0385
0x01 0000111|0001001 0x0389
0x02 0000111|0001100 0x038C
0x03 0000111|0001111 0x038F
0x04 0000111|0010001 0x0391
0x05 0001001|0001100 0x048C
0x06 0100010|0101011 0x112B
BX = 110 Event : 39
0x00 0000010|0001101 0x010D
0x01 0000011|0001101 0x018D
BX = 111 Event : 40
0x00 0101010|1000001 0x1541
0x01 0101010|1000010 0x1542
BX = 000 Event : 41
0x00 0101001|0100110 0x14A6
BX = 001 Event : 42
0x00 0010010|0011000 0x0918
BX = 010 Event : 43
0x00 0000110|0010000 0x0310
0x01 0010100|0010000 0x0A10
0x02 0010100|0010111 0x0A17
0x03 0100001|0101101 0x10AD
0x04 0100001|0101110 0x10AE
0x05 0100010|0101011 0x112B
0x06 0100010|0101101 0x112D
0x07 0100010|0101110 0x112E
BX = 011 Event : 44
0x00 0000100|0000110 0x0206
0x01 0000110|0000110 0x0306
BX = 100 Event : 45
BX = 101 Event : 46
0x00 0010111|0100010 0x0BA2
0x01 0110000|0110100 0x1834
0x02 0110000|0111000 0x1838
BX = 110 Event : 47
BX = 111 Event : 48
0x00 0000110|0000111 0x0307
BX = 000 Event : 49
0x00 0000001|0000110 0x0086
0x01 0000001|1010101 0x00D5
0x02 0000100|0000110 0x0206
0x03 0111000|1000110 0x1C46
BX = 001 Event : 50
0x00 0000000|0000000 0x0000
0x01 0000000|1001000 0x0048
0x02 0001011|0010100 0x0594
0x03 0010011|0010100 0x0994
0x04 0010100|0010100 0x0A14
0x05 0010100|0011001 0x0A19
0x06 0100001|0101100 0x10AC
0x07 0111001|0000000 0x1C80
0x08 0111001|1001000 0x1CC8
BX = 010 Event : 51
0x00 0000101|0000100 0x0284
0x01 0100111|0011110 0x139E
BX = 011 Event : 52
0x00 0000100|1010011 0x0253
0x01 0010100|0010011 0x0A13
0x02 0010100|0010100 0x0A14
0x03 0011010|0010100 0x0D14
BX = 100 Event : 53
0x00 0110000|0110101 0x1835
0x01 0110000|0110110 0x1836
0x02 0110000|0111001 0x1839
0x03 0110011|0110101 0x19B5
0x04 0110011|0111001 0x19B9
0x05 0111010|0110101 0x1D35
0x06 0111010|0110110 0x1D36
0x07 0111010|0111001 0x1D39
0x08 0111011|0110101 0x1DB5
0x09 0111011|0110110 0x1DB6
0x0a 0111011|0111001 0x1DB9
BX = 101 Event : 54
BX = 110 Event : 55
0x00 0000110|0000011 0x0303
0x01 0010100|0011000 0x0A18
0x02 0010100|0011001 0x0A19
0x03 0010101|0100000 0x0AA0
BX = 111 Event : 56
0x00 0101000|0101111 0x142F
0x01 0101010|0101111 0x152F
0x02 0110111|0111000 0x1BB8
BX = 000 Event : 57
0x00 0000101|0001101 0x028D
0x01 0000101|0001110 0x028E
BX = 001 Event : 58
0x00 0000111|0001101 0x038D
BX = 010 Event : 59
BX = 011 Event : 60
0x00 0000101|0010000 0x0290
0x01 0001011|0010000 0x0590
0x02 0011101|0100101 0x0EA5
0x03 0011110|0100101 0x0F25
BX = 100 Event : 61
0x00 0010100|0010001 0x0A11
0x01 0100110|0011101 0x131D
0x02 0110000|0100010 0x1822
BX = 101 Event : 62
0x00 0010111|0011011 0x0B9B
0x01 0110001|0101001 0x18A9
0x02 0110001|0101100 0x18AC
0x03 0110001|0101110 0x18AE
BX = 110 Event : 63
0x00 0000100|0001000 0x0208
BX = 111 Event : 64
0x00 0000100|0000100 0x0204
0x01 1000011|1001011 0x21CB
BX = 000 Event : 65
0x00 0000000|0000000 0x0000
0x01 0000000|1000000 0x0040
0x02 0000001|0000000 0x0080
0x03 0000001|1000000 0x00C0
0x04 0000010|0000000 0x0100
0x05 0000010|1000000 0x0140
0x06 0000111|0010010 0x0392
0x07 0110010|0000000 0x1900
0x08 0110010|1000000 0x1940
BX = 001 Event : 66
0x00 0000101|0001011 0x028B
BX = 010 Event : 67
0x00 0000011|1001101 0x01CD
0x01 0001001|0010001 0x0491
0x02 0111111|1000110 0x1FC6
0x03 1000111|1001101 0x23CD
BX = 011 Event : 68
BX = 100 Event : 69
0x00 0010111|0100100 0x0BA4
0x01 0111100|1000010 0x1E42
BX = 101 Event : 70
0x00 0000011|0001010 0x018A
0x01 0000011|0001011 0x018B
0x02 0000011|0001101 0x018D
0x03 0001010|0011101 0x051D
0x04 0010000|0101000 0x0828
0x05 0010000|0101001 0x0829
BX = 110 Event : 71
0x00 0001001|0010000 0x0490
BX = 111 Event : 72
0x00 0000011|0001000 0x0188
0x01 0000011|0001100 0x018C
0x02 0000111|0001000 0x0388
0x03 0000111|0001100 0x038C
0x04 0001000|0001000 0x0408
0x05 0001000|0001100 0x040C
