BX = 000 Event : 1
BX = 001 Event : 2
0x01 0000111|0001010 0x038A
0x02 0010011|0011001 0x0999
0x03 0010110|0011001 0x0B19
0x04 0010111|0011001 0x0B99
0x05 0101000|0110000 0x1430
BX = 011 Event : 44
0x00 0010110|0011111 0x0B1F
0x01 0011000|0011111 0x0C1F
0x02 0011001|0011111 0x0C9F
BX = 100 Event : 45
0x00 0001100|0011000 0x0618
0x01 0010011|0011011 0x099B
0x02 0110101|0111001 0x1AB9
0x03 0110101|0111010 0x1ABA
0x04 0110111|0111001 0x1BB9
0x05 0110111|0111010 0x1BBA
0x06 0111011|0111110 0x1DBE
0x07 0111011|1000001 0x1DC1
0x08 0111110|1000011 0x1F43
0x09 0111111|1000011 0x1FC3
BX = 101 Event : 46
0x00 0100001|0100111 0x10A7
0x01 0100001|0101001 0x10A9
0x02 1000101|1001100 0x22CC
0x03 1000110|1001100 0x234C
BX = 110 Event : 47
0x00 0010000|0010110 0x0816
0x01 0010011|0010011 0x0993
0x02 0011100|0010110 0x0E16
0x03 0011111|0011001 0x0F99
0x04 0011111|0100000 0x0FA0
BX = 111 Event : 48
0x00 0101110|1000011 0x1743
0x01 0110010|0111100 0x193C
0x02 0110010|0111101 0x193D
0x03 0110101|1000011 0x1AC3
0x04 0110110|1000011 0x1B43
0x05 1000110|1001100 0x234C
0x06 1000110|1001101 0x234D
BX = 000 Event : 49
0x00 0100100|0100011 0x1223
BX = 001 Event : 50
0x00 0011000|0011101 0x0C1D
0x01 0100011|0100000 0x11A0
0x02 1000000|0111001 0x2039
0x03 1000000|0111011 0x203B
BX = 010 Event : 51
0x00 0001111|0010001 0x0791
0x01 0001111|0010110 0x0796
0x02 0001111|0011100 0x079C
BX = 011 Event : 52
0x00 0110010|0110101 0x1935
0x01 0110010|0110111 0x1937
0x02 0110011|0110111 0x19B7
0x03 1000000|0111111 0x203F
0x04 1000100|1000101 0x2245
BX = 100 Event : 53
0x00 0001111|0011000 0x0798
0x01 0001111|0011001 0x0799
BX = 101 Event : 54
0x00 0001100|0001110 0x060E
0x01 0001100|0001111 0x060F
0x02 0001101|0001110 0x068E
0x03 0001101|0001111 0x068F
0x04 0011110|0011101 0x0F1D
BX = 110 Event : 55
0x00 0001111|0010100 0x0794
0x01 0010010|0011011 0x091B
0x02 0010101|0011011 0x0A9B
0x03 0101110|0111010 0x173A
BX = 111 Event : 56
0x00 0000011|0010111 0x0197
0x01 0110010|1000000 0x1940
0x02 0110011|1000000 0x19C0
BX = 000 Event : 57
0x00 0001000|0011001 0x0419
0x01 0001000|0011100 0x041C
BX = 001 Event : 58
0x00 0001110|0001111 0x070F
0x01 0111010|1000010 0x1D42
0x02 0111010|1001010 0x1D4A
0x03 0111100|1000010 0x1E42
0x04 0111100|1001010 0x1E4A
BX = 010 Event : 59
0x00 0010000|0001110 0x080E
BX = 011 Event : 60
0x00 0111011|1100001 0x1DE1
0x01 1000010|1101100 0x216C
BX = 100 Event : 61
BX = 101 Event : 62
0x00 0010011|0001101 0x098D
0x01 0010011|0011000 0x0998
0x02 0010110|0011010 0x0B1A
0x03 0011101|0011010 0x0E9A
0x04 0111101|1000100 0x1EC4
0x05 0111110|1000100 0x1F44
0x06 0111111|1000100 0x1FC4
BX = 110 Event : 63
BX = 111 Event : 64
0x00 0010011|0010110 0x0996
0x01 0011010|0010110 0x0D16
0x02 0101011|0100101 0x15A5
0x03 0101011|0100111 0x15A7
0x04 1001101|1001000 0x26C8
0x05 1001110|1000110 0x2746
0x06 1001110|1001000 0x2748
0x07 1001110|1001011 0x274B
0x08 1001110|1010001 0x2751
BX = 000 Event : 65
0x00 0001110|0001111 0x070F
0x01 0001111|0010110 0x0796
0x02 0100011|0101101 0x11AD
0x03 0101000|0110100 0x1434
0x04 0101000|0110101 0x1435
0x05 0101000|0111000 0x1438
0x06 0101001|0110011 0x14B3
0x07 0101010|0110100 0x1534
0x08 0101010|0110101 0x1535
0x09 0101010|0110110 0x1536
0x0a 0110001|0110011 0x18B3
0x0b 0110010|0110100 0x1934
0x0c 0110010|0110101 0x1935
0x0d 0110010|0111000 0x1938
0x0e 0111000|0111110 0x1C3E
0x0f 0111000|1000000 0x1C40
0x10 0111000|1000010 0x1C42
BX = 001 Event : 66
0x00 0000110|0001100 0x030C
0x01 0000110|0011010 0x031A
0x02 0001111|0011000 0x0798
0x03 0101110|1000100 0x1744
0x04 0101110|1000001 0x1741
0x05 0101111|0110111 0x17B7
0x06 0101111|1000100 0x17C4
0x07 0111000|1000001 0x1C41
0x08 0111010|1000100 0x1D44
0x09 0111010|1000001 0x1D41
0x0a 0111110|1001110 0x1F4E
0x0b 1000000|1010000 0x2050
0x0c 1000000|1010001 0x2051
