BX = 000 Event : 1
BX = 100 Event : 29
0x00 0001001|0010001 0x0491
0x01 0110000|0110001 0x1831
BX = 101 Event : 30
0x00 0110110|0000001 0x1B01
BX = 110 Event : 31
0x00 0001001|0010101 0x0495
0x01 0100010|0000101 0x1105
0x02 0100010|0000110 0x1106
0x03 0100010|0000111 0x1107
0x04 0100010|0001000 0x1108
0x05 0100100|0000101 0x1205
0x06 0100100|0000110 0x1206
0x07 0100100|0000111 0x1207
0x08 0100100|0001000 0x1208
0x09 0110100|0111101 0x1A3D
BX = 111 Event : 32
0x00 0001001|0100001 0x04A1
0x01 0110011|1010101 0x19D5
0x02 0110111|1011110 0x1BDE
0x03 0110111|1011111 0x1BDF
0x04 0111001|1011110 0x1CDE
0x05 0111001|1011111 0x1CDF
0x06 0111010|1011111 0x1D5F
0x07 0111011|1100101 0x1DE5
0x08 1000000|1100101 0x2065
0x09 1000101|0000010 0x2282
0x0a 1000101|0000011 0x2283
0x0b 1000101|0000100 0x2284
BX = 000 Event : 33
BX = 001 Event : 34
0x00 0001111|0111010 0x07BA
0x01 0100110|0001011 0x130B
0x02 0100110|0001101 0x130D
0x03 0110011|0011111 0x199F
BX = 010 Event : 35
0x00 0100100|0000010 0x1202
BX = 011 Event : 36
0x00 0001011|0001110 0x058E
0x01 0001011|0001111 0x058F
0x02 0101000|0000001 0x1401
BX = 100 Event : 37
0x00 0010110|1010001 0x0B51
0x01 0010111|1010001 0x0BD1
0x02 0111100|0011110 0x1E1E
0x03 0111101|0011110 0x1E9E
0x04 0111111|0011110 0x1F9E
0x05 1001110|1010101 0x2755
0x06 1001110|1010111 0x2757
0x07 1010101|0000010 0x2A82
0x08 1010101|0000011 0x2A83
BX = 101 Event : 38
0x00 0011111|0000110 0x0F86
0x01 0100000|0001010 0x100A
0x02 0100000|0001011 0x100B
BX = 110 Event : 39
0x00 0000110|0001100 0x030C
0x01 0000110|0001101 0x030D
0x02 0110011|0100000 0x19A0
BX = 111 Event : 40
0x00 0100011|0010011 0x1193
0x01 0100110|0010011 0x1313
BX = 000 Event : 41
BX = 001 Event : 42
0x00 0001000|0100010 0x0422
0x01 0101010|0001011 0x150B
0x02 0101100|0001011 0x160B
BX = 010 Event : 43
0x00 0110000|0100110 0x1826
0x01 0110001|0100110 0x18A6
BX = 011 Event : 44
0x00 0010101|0100011 0x0AA3
0x01 0111111|0111001 0x1FB9
0x02 1000010|0111001 0x2139
BX = 100 Event : 45
0x00 0000110|0011100 0x031C
0x01 0110010|0111100 0x193C
0x02 0110011|0111100 0x19BC
0x03 0110101|0111100 0x1ABC
BX = 101 Event : 46
0x00 0010011|0101110 0x09AE
0x01 0111010|0001110 0x1D0E
0x02 1000000|0001110 0x200E
0x03 1000000|0010100 0x2014
0x04 1010100|1011001 0x2A59
BX = 110 Event : 47
0x00 0110000|0011010 0x181A
0x01 0110000|0011011 0x181B
0x02 0110111|0110110 0x1BB6
BX = 111 Event : 48
BX = 000 Event : 49
BX = 001 Event : 50
