BX = 000 Event : 1
0x00 0000011|1000101 0x01C5
0x01 0001010|1000101 0x0545
0x02 0001010|1001001 0x0549
0x03 0001010|1001011 0x054B
0x04 0001010|1001100 0x054C
0x05 0001010|1001101 0x054D
0x06 0010000|1001001 0x0849
0x07 0010000|1001011 0x084B
0x08 0010000|1001101 0x084D
BX = 010 Event : 51
0x00 0001100|1001110 0x064E
0x01 0001100|1001111 0x064F
0x02 0001100|1010010 0x0652
0x03 0010000|1001111 0x084F
0x04 0010000|1010010 0x0852
0x05 0010011|0010010 0x0992
BX = 011 Event : 52
0x00 0011110|0010111 0x0F17
0x01 0011110|0011010 0x0F1A
BX = 100 Event : 53
0x00 0001111|0010001 0x0791
0x01 0010000|0010001 0x0811
BX = 101 Event : 54
BX = 110 Event : 55
0x00 0000110|1001101 0x034D
0x01 0000110|1001111 0x034F
BX = 111 Event : 56
BX = 000 Event : 57
0x00 0101001|0100100 0x14A4
0x01 0101001|0100101 0x14A5
0x02 0101101|0100100 0x16A4
0x03 0101101|0100101 0x16A5
BX = 001 Event : 58
0x00 0001010|0001100 0x050C
0x01 0001111|0001100 0x078C
0x02 0010000|0001100 0x080C
0x03 0110111|0110001 0x1BB1
BX = 010 Event : 59
0x00 0010000|0001011 0x080B
0x01 0100110|0100010 0x1322
BX = 011 Event : 60
0x00 1000101|0101100 0x22AC
BX = 100 Event : 61
0x00 0000011|1010111 0x01D7
0x01 0000101|1010111 0x02D7
0x02 0010001|0010111 0x0897
0x03 0010001|0011011 0x089B
0x04 0010010|0010111 0x0917
0x05 0010010|0011011 0x091B
BX = 101 Event : 62
0x00 0010011|0010101 0x0995
0x01 0010011|0010110 0x0996
0x02 0010101|0010101 0x0A95
0x03 0010101|0010110 0x0A96
0x04 0010111|0010101 0x0B95
0x05 0010111|0010110 0x0B96
0x06 0011001|0010101 0x0C95
0x07 0011001|0010110 0x0C96
BX = 110 Event : 63
0x00 0000001|0110010 0x00B2
0x01 0000001|0110011 0x00B3
0x02 0000001|0110111 0x00B7
0x03 0000001|1000000 0x00C0
0x04 0000001|1000001 0x00C1
0x05 0000010|0110010 0x0132
0x06 0000010|0110011 0x0133
0x07 0000010|0110111 0x0137
0x08 0000010|1000000 0x0140
0x09 0000010|1000001 0x0141
0x0a 0000011|0110010 0x01B2
0x0b 0000011|0110011 0x01B3
0x0c 0000011|0110111 0x01B7
0x0d 0001011|0110010 0x05B2
0x0e 0001011|0110011 0x05B3
0x0f 0001011|0110111 0x05B7
0x10 0001011|1000000 0x05C0
0x11 0001011|1000001 0x05C1
0x12 0001100|0110010 0x0632
0x13 0001100|0110011 0x0633
0x14 0001100|0110111 0x0637
0x15 0001100|1000000 0x0640
0x16 0001101|0110010 0x06B2
0x17 0001101|0110011 0x06B3
0x18 0001101|0110111 0x06B7
0x19 0001101|1000000 0x06C0
0x1a 0001101|1000001 0x06C1
0x1b 0001110|0110010 0x0732
0x1c 0001110|0110011 0x0733
0x1d 0001110|0110111 0x0737
0x1e 0001110|1000000 0x0740
0x1f 0010000|0110111 0x0837
BX = 111 Event : 64
0x00 0010110|0011110 0x0B1E
0x01 0010110|0011111 0x0B1F
0x02 0010111|0011110 0x0B9E
0x03 0010111|0011111 0x0B9F
0x04 0011110|0100010 0x0F22
BX = 000 Event : 65
0x00 0001010|1011110 0x055E
BX = 001 Event : 66
0x00 0100111|0110111 0x13B7
BX = 010 Event : 67
BX = 011 Event : 68
0x00 0010100|0001101 0x0A0D
0x01 0010100|0001111 0x0A0F
BX = 100 Event : 69
0x00 1000111|1000110 0x23C6
0x01 1000111|1001000 0x23C8
BX = 101 Event : 70
0x00 0000010|0110011 0x0133
0x01 0000010|0110100 0x0134
0x02 0000010|0110110 0x0136
0x03 0000011|0110001 0x01B1
0x04 0000011|0110100 0x01B4
0x05 0000011|0110110 0x01B6
0x06 0000100|0110011 0x0233
0x07 0000100|0110100 0x0234
0x08 0001010|0001101 0x050D
0x09 0001011|0001101 0x058D
BX = 110 Event : 71
0x00 0100001|0011000 0x1098
0x01 0100010|0010101 0x1115
0x02 0100010|0011000 0x1118
BX = 111 Event : 72
0x00 0010100|0010001 0x0A11
BX = 000 Event : 73
0x00 0110100|1000111 0x1A47
0x01 0110100|1001010 0x1A4A
BX = 001 Event : 74
0x00 0000101|0101001 0x02A9
0x01 0001010|0000110 0x0506
0x02 0011011|0011010 0x0D9A
0x03 0011101|0011010 0x0E9A
BX = 010 Event : 75
0x00 0010101|0001111 0x0A8F
0x01 0010111|0001111 0x0B8F
0x02 0011000|0001111 0x0C0F
0x03 0011010|0011010 0x0D1A
BX = 011 Event : 76
0x00 0010011|0010011 0x0993
BX = 100 Event : 77
0x00 0000011|1000111 0x01C7
0x01 0000110|1000111 0x0347
BX = 101 Event : 78
0x00 0000010|0111011 0x013B
0x01 0000011|0111000 0x01B8
0x02 0000100|0111011 0x023B
0x03 0000101|0111000 0x02B8
0x04 0000110|0111011 0x033B
BX = 110 Event : 79
0x00 0000011|0111010 0x01BA
0x01 0000011|0111110 0x01BE
0x02 0000011|1000001 0x01C1
0x03 0000011|1000101 0x01C5
0x04 0010111|0100110 0x0BA6
0x05 0011001|0100110 0x0CA6
0x06 0011001|0101010 0x0CAA
0x07 0011010|0100110 0x0D26
0x08 0011010|0101010 0x0D2A
0x09 0011011|0100110 0x0DA6
0x0a 0011011|0101010 0x0DAA
0x0b 0011101|0100110 0x0EA6
0x0c 0011101|0101010 0x0EAA
BX = 111 Event : 80
0x00 0000111|1010100 0x03D4
0x01 0001001|1011110 0x04DE
0x02 0001001|1100000 0x04E0
0x03 0001001|1100110 0x04E6
0x04 0001010|1011110 0x055E
0x05 0001010|1100000 0x0560
0x06 0001010|1100110 0x0566
0x07 0101010|0110011 0x1533
0x08 0101011|0110011 0x15B3
BX = 000 Event : 81
0x00 0010010|0010001 0x0911
0x01 0010011|0010001 0x0991
0x02 0101111|0101001 0x17A9
BX = 001 Event : 82
0x00 0011000|0010110 0x0C16
0x01 0011001|0010110 0x0C96
0x02 0011010|0010110 0x0D16
0x03 0011011|0010110 0x0D96
BX = 010 Event : 83
0x00 0001010|0111010 0x053A
0x01 0011100|0001110 0x0E0E
BX = 011 Event : 84
0x00 0000100|1011001 0x0259
0x01 0000100|1100011 0x0263
0x02 0001000|1011001 0x0459
0x03 0001000|1100011 0x0463
0x04 0011100|0100111 0x0E27
0x05 0100010|0101000 0x1128
BX = 100 Event : 85
0x00 0000000|1001100 0x004C
0x01 0011110|0100001 0x0F21
0x02 0011111|0100001 0x0FA1
0x03 0100000|0100001 0x1021
0x04 1011010|1001100 0x2D4C
BX = 101 Event : 86
0x00 0001110|0110110 0x0736
BX = 110 Event : 87
0x00 0000111|0001110 0x038E
0x01 0010101|0010011 0x0A93
BX = 111 Event : 88
0x00 0100001|0100110 0x10A6
BX = 000 Event : 89
