BX = 000 Event : 1
0x00 1100010|0000001|01100000100110|010010001011|0000101001|111011001  0x6202C13245853D9
0x01 1100010|0000010|01110000011000|010011010101|0000011011|111010101  0x6204E0C26A837D5
0x02 1100010|0000011|01101110011010|010011101010|0000100000|111010011  0x6206DCD275041D3
0x03 1100010|0000100|01101110000010|010011101011|0000100001|111010011  0x6208DC1275843D3
BX = 001 Event : 2
0x00 1100010|0000000|01100101010010|010010100110|1111011100|000101001  0x6200CA92537B829
0x01 1100010|0000010|01101100110110|001110111011|1111010011|000100001  0x6204D9B1DDFA621
0x02 1100010|0000011|01101111111011|001110001011|1111011001|000011110  0x6206DFD9C5FB21E
0x03 1100010|0000100|01110000100100|001110000000|1111011010|000011101  0x6208E121C07B41D
0x04 1100010|0000101|01110000100011|001110001000|1111011010|000011110  0x620AE119C47B41E
0x05 1100010|0000110|01101100011100|001110111110|1111010010|000100001  0x620CD8E1DF7A421
0x06 1100010|0000111|01101111011101|001110001111|1111011000|000011110  0x620EDEE9C7FB01E
0x07 1100010|0001000|01110000000100|001110000101|1111011001|000011110  0x6210E021C2FB21E
0x08 1100010|0001001|01110000001000|001110001100|1111011001|000011110  0x6212E041C67B21E
BX = 010 Event : 3
0x00 1100010|0000000|01010100101010|001111010010|0000011101|111011111  0x6200A951E903BDF
0x01 1100010|0000001|01011110000111|001110111010|0000010001|111011101  0x6202BC39DD023DD
0x02 1100010|0000010|01110100110000|001110111110|1111100100|111100000  0x6204E981DF7C9E0
0x03 1100010|0000011|01101101101000|010000010111|1111101001|000100001  0x6206DB420BFD221
0x04 1100010|0000100|01111011110001|010000100110|1111110110|111011001  0x6208F78A137EDD9
0x05 1100010|0000101|01110110100011|010010101000|0000001000|111010101  0x620AED1A54011D5
0x06 1100010|0000110|01110100100101|001100110100|0000011011|111100100  0x620CE9299A037E4
0x07 1100010|0000111|01110100001011|001100101111|0000011100|111100101  0x620EE85997839E5
0x08 1100010|0001000|01110100110100|001100110110|0000011011|111100100  0x6210E9A19B037E4
0x09 1100010|0001001|01110100010101|001100110010|0000011100|111100100  0x6212E8A999039E4
BX = 011 Event : 4
0x00 1100010|0000000|01011111000010|001101110101|1111111001|000011101  0x6200BE11BAFF21D
BX = 100 Event : 5
