BX = 000 Event : 1
0x00 0100011|0000000|01101001000111110|11001010|1111100110|111010110  0x1180691F657CDD6
0x01 0100011|0000001|01101101101001110|01100110|1101000111|001001100  0x11816DA73368E4C
0x02 0100011|0000010|01101110011100000|11111001|1101000101|111101101  0x11826E707CE8BED
0x03 0100011|0000011|01101011111000100|10110000|1101110011|111000111  0x11836BE2586E7C7
0x04 0100011|0000100|01101010110011110|10110000|1101100011|111000111  0x11846ACF586C7C7
BX = 001 Event : 2
0x00 0100011|0000000|01100100101100100|00111001|0000000100|000100111  0x118064B21C80827
0x01 0100011|0000001|01100111101110000|01000111|0000101111|001000000  0x118167B82385E40
0x02 0100011|0000010|01100111101001110|01000100|1111111001|000100110  0x118267A7227F226
0x03 0100011|0000011|01100000001110010|10001110|1101111111|110101010  0x11836039476FFAA
0x04 0100011|0000100|01100110110111110|11000100|1110101010|111010001  0x118466DF62755D1
0x05 0100011|0000101|01111110111101100|11000110|0100011001|111010001  0x11857EF663233D1
0x06 0100011|0000111|01111100100110100|11000100|0011010100|111001001  0x11877C9A621A9C9
0x07 0100011|0001001|01110100001111100|11011101|0001101100|111101011  0x1189743E6E8D9EB
0x08 0100011|0001010|01101000011101100|10100011|1011100110|111000000  0x118A687651DCDC0
BX = 010 Event : 3
0x00 0100011|0000000|01111000100100010|11110000|0010011000|111110111  0x1180789178131F7
0x01 0100011|0000001|01111001011111000|11110000|0010100101|111110111  0x1181797C7814BF7
0x02 0100011|0000010|01111111011011110|11110000|0011110100|111110111  0x11827F6F781E9F7
0x03 0100011|0000011|01110001100111100|01010110|1111110100|000111000  0x1183719E2B7E838
0x04 0100011|0000101|01101100000100010|11101000|1100111010|111101001  0x11856C1174675E9
0x05 0100011|0000110|01101101010101010|11101000|1101001011|111101001  0x11866D5574697E9
0x06 0100011|0000111|01101110111110000|11110000|1101100001|111111000  0x11876EF8786C3F8
0x07 0100011|0001000|01111111000111000|00001100|0011000011|111111100  0x11887F1C06187FC
0x08 0100011|0001010|01101011001110100|10010110|1011111010|110110111  0x118A6B3A4B5F5B7
BX = 011 Event : 4
0x00 0100011|0000000|01011101101000000|01000101|1100000110|000101010  0x11805DA022E0C2A
0x01 0100011|0000001|01100101100111000|11110010|1011001011|111111100  0x1181659C79597FC
BX = 100 Event : 5
0x00 0100011|0000000|01110001101010100|11111100|0011110000|111111001  0x118071AA7E1E1F9
0x01 0100011|0000001|01101000101100000|00100111|1110110110|000011111  0x118168B013F6C1F
BX = 101 Event : 6
0x00 0100011|0000000|01010111110000100|00111100|1011000001|000110000  0x118057C21E58230
BX = 110 Event : 7
BX = 111 Event : 8
0x00 0100011|0000000|01011001010001100|01001001|1101000110|000110111  0x1180594624E8C37
0x01 0100011|0000001|01011100001111000|01000111|1110010000|000110001  0x11815C3C23F2031
0x02 0100011|0000010|01100100000101000|01010100|0000000100|001001000  0x118264142A00848
0x03 0100011|0000011|01010110111001110|01000101|1100001100|000101001  0x118356E722E1829
0x04 0100011|0000100|01011011010110010|01000100|1101111010|000101000  0x11845B59226F428
0x05 0100011|0000101|01100010110101100|01010000|1111100101|000111101  0x118562D6287CA3D
0x06 0100011|0000110|01100001001101110|11110000|1101110100|111110111  0x11866137786E9F7
0x07 0100011|0000111|01011100011000000|11101111|1011111011|111110110  0x11875C6077DF7F6
0x08 0100011|0001000|01011110010000000|11101111|1100010011|111110110  0x11885E4077E27F6
0x09 0100011|0001001|01011100100000000|11101100|1011111110|111101011  0x11895C80765FDEB
0x0a 0100011|0001010|01011110010110100|11101100|1100010110|111101011  0x118A5E5A7662DEB
0x0b 0100011|0001011|01011100100101010|11101010|1100000000|111100110  0x118B5C9575601E6
0x0c 0100011|0001100|01011110011011100|11101010|1100011000|111100110  0x118C5E6E75631E6
0x0d 0100011|0001111|01111010111011010|01001100|0001010000|000111010  0x118F7AED260A03A
0x0e 0100011|0010000|01110110101110000|01010101|0000010011|001001010  0x119076B82A8264A
0x0f 0100011|0010001|01111011111110110|01001100|0001101111|000111000  0x11917BFB260DE38
0x10 0100011|0010010|01110111110000010|01010100|0000110011|001001000  0x119277C12A06648
0x11 0100011|0010011|01101111011011100|01101000|1100100110|001000011  0x11936F6E3464C43
0x12 0100011|0010100|01110100110001000|11010111|1110011010|111100111  0x119474C46BF35E7
0x13 0100011|0010101|01110100110001000|11010111|1110011010|111100110  0x119574C46BF35E6
0x14 0100011|0010110|01111101010000000|11010101|0010011111|111011101  0x11967D406A93FDD
0x15 0100011|0010111|01111101010000000|11010100|0010011111|111011101  0x11977D406A13FDD
BX = 000 Event : 9
0x00 0100011|0000000|01011001110111010|00110110|1100000011|000011110  0x118059DD1B6061E
0x01 0100011|0000001|01010110010001010|01000100|1011010000|000111000  0x11815645225A038
0x02 0100011|0000010|01010111011111010|01000100|1011100001|000111000  0x1182577D225C238
0x03 0100011|0000011|01010110000100010|00111001|1010100111|000100111  0x118356111CD4E27
0x04 0100011|0000100|01110111101010100|00001100|0100001001|111111101  0x118477AA06213FD
0x05 0100011|0000101|01110111101100010|00011101|0010111100|000010110  0x118577B10E97816
0x06 0100011|0001000|01101010111100010|11100101|1101100011|111011111  0x11886AF172EC7DF
BX = 001 Event : 10
0x00 0100011|0000000|01101001110011010|00011010|0010000101|000000111  0x118069CD0D10A07
0x01 0100011|0000001|01100011000011000|11010011|1100011110|111011101  0x1181630C69E3DDD
BX = 010 Event : 11
0x00 0100011|0000000|01100001110011110|01100111|1100011000|001010110  0x118061CF33E3056
0x01 0100011|0000001|01011011001111100|11100000|1010100001|111101001  0x11815B3E70543E9
0x02 0100011|0000101|01111001000111010|11000011|1111101110|111010111  0x1185791D61FDDD7
0x03 0100011|0000110|01111001001100100|11000011|1111110001|111010111  0x1186793261FE3D7
BX = 011 Event : 12
0x00 0100011|0000000|01101011101110100|11111001|0010000001|000000011  0x11806BBA7C90203
0x01 0100011|0000001|01010101010110000|01110001|1011011100|001000001  0x1181555838DB841
0x02 0100011|0000100|01011100000010010|00011010|1010101001|000001000  0x11845C090D55208
BX = 100 Event : 13
0x00 0100011|0000000|01110001101110010|01011011|0010111110|000111111  0x118071B92D97C3F
0x01 0100011|0000001|01100111100101010|10110110|1011101110|111001110  0x118167955B5DDCE
BX = 101 Event : 14
0x00 0100011|0000001|01111010110111000|01001110|0001101001|001000011  0x11817ADC270D243
0x01 0100011|0000010|01111101100010000|01001000|0010111001|000101010  0x11827D88241722A
BX = 110 Event : 15
0x00 0100011|0000000|01100011100010100|11000011|0000010110|111001111  0x1180638A6182DCF
0x01 0100011|0000001|01100010100001100|11000011|0000000111|111001111  0x118162866180FCF
0x02 0100011|0000010|01100001101101000|11000011|1111111011|111001111  0x118261B461FF7CF
0x03 0100011|0000011|01011100001011100|11000001|1101011101|111001000  0x11835C2E60EBBC8
0x04 0100011|0000100|01011011001001110|11000001|1101001110|111001000  0x11845B2760E9DC8
0x05 0100011|0000101|01011010010100100|11000001|1101000011|111001000  0x11855A5260E87C8
0x06 0100011|0000110|01011100010111100|11000100|1101100010|111010001  0x11865C5E626C5D1
0x07 0100011|0000111|01011011011011100|11000100|1101010101|111010001  0x11875B6E626ABD1
0x08 0100011|0001000|01011010101010010|11000100|1101001011|111010001  0x11885AA962697D1
0x09 0100011|0001001|01011110001011100|00000000|1101100111|111110111  0x11895E2E006CFF7
0x0a 0100011|0001010|01110011000001110|11111110|0010101110|111110000  0x118A73077F15DF0
0x0b 0100011|0001101|01101011011011010|01111001|1011101110|001011010  0x118D6B6D3CDDC5A
0x0c 0100011|0001110|01101100100011100|00010001|1100110101|000010010  0x118E6C8E08E6A12
BX = 111 Event : 16
0x00 0100011|0000000|01011000111110000|11111101|1011000010|111111101  0x118058F87ED85FD
0x01 0100011|0000001|01011000111100110|11111101|1011000001|111111101  0x118158F37ED83FD
0x02 0100011|0000010|01101110010000110|00000111|0001010110|111111101  0x11826E43038ADFD
