BX = 000 Event : 1
0x00 0100010|0000000|01010111001100100|00110000|0010100010|000101011  0x11005732181442B
BX = 001 Event : 2
0x00 0100010|0000000|01001110010100110|11000101|0001000011|111001011  0x11004E5362887CB
0x01 0100010|0000001|01000100100111010|11000011|1100011101|111010000  0x1101449D61E3BD0
0x02 0100010|0000010|01001010101000110|11001111|1101110001|111100101  0x11024AA367EE3E5
BX = 010 Event : 3
0x00 0100010|0000110|01000101011011010|00101111|1011001000|000011000  0x1106456D17D9018
0x01 0100010|0001001|01011111010101000|00111011|0000110100|000101100  0x11095F541D8682C
0x02 0100010|0001011|01010101001011000|00110101|1100110010|000011010  0x110B552C1AE641A
BX = 011 Event : 4
0x00 0100010|0000001|01010100110100110|11111001|0001111011|111110010  0x110154D37C8F7F2
0x01 0100010|0000010|01011101101101110|01000011|0100101100|000100101  0x11025DB721A5825
0x02 0100010|0000011|01100010101010110|10011011|0001111101|110110011  0x110362AB4D8FBB3
0x03 0100010|0000100|01100010111100010|10011011|0010000001|110110011  0x110462F14D903B3
0x04 0100010|0000101|01110010011100110|10010111|0101100001|110111011  0x110572734BAC3BB
0x05 0100010|0000110|01010010001011110|01001010|1100100001|000101010  0x1106522F256422A
0x06 0100010|0001000|01001111111100010|10101101|1100010110|111001000  0x11084FF156E2DC8
BX = 100 Event : 5
0x00 0100010|0000000|01110001100001010|11111100|0101010111|111111011  0x110071857E2AFFB
BX = 101 Event : 6
0x00 0100010|0000000|01011011101101100|10011010|0100000110|111000010  0x11005BB64D20DC2
0x01 0100010|0000001|01001110010000000|10010010|1110101111|110101000  0x11014E404975FA8
0x02 0100010|0000010|01001110100000000|10010010|1110110011|110101000  0x11024E8049767A8
0x03 0100010|0000011|01100011100011010|11111011|0001111011|111110111  0x1103638D7D8F7F7
0x04 0100010|0000110|01101011010010000|00100110|0011100001|000011011  0x11066B48131C21B
0x05 0100010|0000111|01010000111110110|01111000|1011111110|001010111  0x110750FB3C5FC57
BX = 110 Event : 7
0x00 0100010|0000000|01000110001110100|01110000|0000100010|001001001  0x1100463A3804449
0x01 0100010|0000001|01000110011100100|01111000|0000100101|001011001  0x110146723C04A59
0x02 0100010|0000011|01001011010011110|00110110|0001001001|000100010  0x11034B4F1B09222
0x03 0100010|0000100|01001011111001000|00110101|0001011011|000100001  0x11044BE41A8B621
0x04 0100010|0000101|01001100101010110|00110101|0001110011|000100000  0x11054CAB1A8E620
0x05 0100010|0001000|01010000111010110|11001000|1101111111|111011101  0x110850EB646FFDD
