BX = 000 Event : 1
0x00 1110000|0000000|01000111110100|001111110101|0000011111|111010101  0x70008FA1FA83FD5
0x01 1110000|0000001|01100111011001|001111010111|1111010101|111010110  0x7002CEC9EBFABD6
0x02 1110000|0000010|01101011111010|010100010001|0000001011|111001011  0x7004D7D288817CB
0x03 1110000|0000011|01100010111001|010100000001|0000110100|111001101  0x7006C5CA80869CD
0x04 1110000|0000100|01110100111010|010101000000|0000000100|000110100  0x7008E9D2A000834
0x05 1110000|0000101|01110001101011|010101011010|1111110110|000110111  0x700AE35AAD7EC37
0x06 1110000|0000110|01101111001101|001111111010|0000000011|111010011  0x700CDE69FD007D3
0x07 1110000|0000111|01110011000100|010000001100|0000100001|111010101  0x700EE62206043D5
BX = 001 Event : 2
0x00 1110000|0000011|01100000110101|010101110001|0001010001|000111011  0x7006C1AAB88A23B
0x01 1110000|0000100|01100000110010|010101101111|0001010001|000111010  0x7008C192B78A23A
0x02 1110000|0000101|01000111101110|010101111110|0000110111|111000010  0x700A8F72BF06FC2
0x03 1110000|0000110|01101010001101|010001101110|0000001011|000101011  0x700CD46A370162B
0x04 1110000|0000111|01110010111000|010001111010|0000110011|000101101  0x700EE5C23D0662D
0x05 1110000|0001000|01011111001001|010001010110|1111011011|000101111  0x7010BE4A2B7B62F
BX = 010 Event : 3
0x00 1110000|0000010|01100111100110|010010111111|1111010000|111001111  0x7004CF325FFA1CF
BX = 011 Event : 4
0x00 1110000|0000011|01011001011010|010100001101|1111101011|111001000  0x7006B2D286FD7C8
0x01 1110000|0000100|01011000111001|010100100000|1111101100|111000110  0x7008B1CA907D9C6
0x02 1110000|0000101|01101011011100|010001001011|0000100101|111010010  0x700AD6E22584BD2
0x03 1110000|0000110|01111100111101|010010010000|1111010010|111010010  0x700CF9EA487A5D2
BX = 100 Event : 5
0x00 1110000|0000000|01101011101110|010001100100|1111010001|000101101  0x7000D772327A22D
BX = 101 Event : 6
0x00 1110000|0000000|01010010110111|010011011111|1111100111|000110101  0x7000A5BA6FFCE35
BX = 110 Event : 7
0x00 1110000|0000000|01010100000110|001111101010|0000110010|000101001  0x7000A831F506429
0x01 1110000|0000001|01011000010100|010100110111|0000000110|000110101  0x7002B0A29B80C35
